condition_id,from_state,to_state,transition_count
cond-0310221dd4f525ebbd94,weak_prototype_coverage,weak_prototype_coverage,2
cond-035b1b9f0c873b267eb4,clear_prototype,clear_prototype,2
cond-06d0a73fabed411b37fc,weak_prototype_coverage,weak_prototype_coverage,2
cond-0754ed1d08faa440d5bb,clear_prototype,clear_prototype,2
cond-0815667b5c439756a642,clear_prototype,clear_prototype,4
cond-109494aaf85c5b74f7dc,mixed_boundary,mixed_boundary,2
cond-129d83d07d674987662d,mixed_boundary,mixed_boundary,2
cond-1661f99ef69859e5d461,mixed_boundary,mixed_boundary,2
cond-17b0613b129bd2b9c16c,clear_prototype,clear_prototype,2
cond-1c1b79e78e1cf306ea1b,mixed_boundary,mixed_boundary,2
cond-1ef8768e78a1de56adf1,mixed_boundary,mixed_boundary,4
cond-213094df63d00ed2a194,weak_prototype_coverage,weak_prototype_coverage,2
cond-21e27f028b9d2c7391c4,weak_prototype_coverage,weak_prototype_coverage,2
cond-225db1900d966640512e,clear_prototype,clear_prototype,2
cond-22930995d28b411a802a,clear_prototype,clear_prototype,2
cond-235171408d34ddfd185e,weak_prototype_coverage,weak_prototype_coverage,2
cond-237ce059e3ec5c42e426,weak_prototype_coverage,weak_prototype_coverage,2
cond-27f20255d8711f744816,clear_prototype,clear_prototype,4
cond-2934cc7da1de670fd716,clear_prototype,clear_prototype,4
cond-2b31382cbb0741a77873,weak_prototype_coverage,weak_prototype_coverage,2
cond-2f7c5c4be6cf31156182,mixed_boundary,mixed_boundary,4
cond-33bae3c34e8ca2f62e55,clear_prototype,clear_prototype,2
cond-36f3dc2b7cc2196e32e8,mixed_boundary,mixed_boundary,4
cond-3a0c2ae45bc4fcdebff0,mixed_boundary,mixed_boundary,2
cond-3a3f69b12ed3afde9053,weak_prototype_coverage,weak_prototype_coverage,2
cond-3da59e1bcfb56a20168b,clear_prototype,clear_prototype,2
cond-3f66556ae8c298eab74d,mixed_boundary,mixed_boundary,2
cond-40aea493e6e3b117a24a,weak_prototype_coverage,weak_prototype_coverage,2
cond-40cccee0a49f23e922e5,clear_prototype,clear_prototype,2
cond-464dce3840415e29aed7,weak_prototype_coverage,weak_prototype_coverage,2
cond-474460353c8cb8a30093,mixed_boundary,mixed_boundary,2
cond-49c0893fa0327bc1ad95,clear_prototype,clear_prototype,4
cond-4ce68d2509565ea28322,clear_prototype,clear_prototype,2
cond-4f778474755e588e8aa1,mixed_boundary,mixed_boundary,4
cond-5e469422c082309ca012,clear_prototype,clear_prototype,4
cond-5faa3019b230f5846285,clear_prototype,clear_prototype,2
cond-626acafcfab45b04176a,mixed_boundary,mixed_boundary,2
cond-655121eb744d31a08ad7,weak_prototype_coverage,weak_prototype_coverage,2
cond-656e5fefb973b7da7046,clear_prototype,clear_prototype,2
cond-65b11355ad1f90ca6542,clear_prototype,clear_prototype,4
cond-6c9e6448bb422a2bdfa0,clear_prototype,clear_prototype,2
cond-70d7bcd7626b433cb422,mixed_boundary,mixed_boundary,2
cond-72bfefbb5c0254ea65c6,clear_prototype,clear_prototype,2
cond-75c7c8787cb7f09cef45,clear_prototype,clear_prototype,2
cond-786bf7b48205fb7374ea,clear_prototype,clear_prototype,2
cond-791c5fc733f60b39e7fe,clear_prototype,clear_prototype,2
cond-7a2af6ca1005b4f9873f,mixed_boundary,mixed_boundary,2
cond-7a5d985fe2a5157c737d,mixed_boundary,mixed_boundary,4
cond-7d0f79fc868b4ff8b06f,weak_prototype_coverage,weak_prototype_coverage,2
cond-7e08a2dad61485b9193f,weak_prototype_coverage,weak_prototype_coverage,2
cond-7e57e053af0e3e8768f3,mixed_boundary,mixed_boundary,2
cond-7e7bb6200a10d904a4ec,clear_prototype,clear_prototype,2
cond-8174a6833910222c7e23,clear_prototype,clear_prototype,2
cond-846d8b77c86400b75b64,clear_prototype,clear_prototype,2
cond-877228963f14a73f246c,weak_prototype_coverage,weak_prototype_coverage,4
cond-8c59d73c305c0c5ae78c,mixed_boundary,mixed_boundary,2
cond-8c64ffbc156a42d5de5e,clear_prototype,clear_prototype,4
cond-8dd5923c9b087c2d08c2,mixed_boundary,mixed_boundary,2
cond-8e10f074460e2452d761,clear_prototype,clear_prototype,2
