condition_id,repetition_count,minimum_completeness,median_completeness,complete_repetition_count,ambiguous_candidate_count,missing_applicable_evidence_count
cond-0310221dd4f525ebbd94,3,1.0,1.0,3,0,0
cond-035b1b9f0c873b267eb4,3,1.0,1.0,3,0,0
cond-06d0a73fabed411b37fc,3,1.0,1.0,3,0,0
cond-0754ed1d08faa440d5bb,3,1.0,1.0,3,0,0
cond-0815667b5c439756a642,5,1.0,1.0,5,0,0
cond-109494aaf85c5b74f7dc,3,1.0,1.0,3,0,0
cond-129d83d07d674987662d,3,1.0,1.0,3,0,0
cond-1661f99ef69859e5d461,3,1.0,1.0,3,0,0
cond-17b0613b129bd2b9c16c,3,1.0,1.0,3,0,0
cond-1c1b79e78e1cf306ea1b,3,1.0,1.0,3,0,0
cond-1ef8768e78a1de56adf1,5,1.0,1.0,5,0,0
cond-213094df63d00ed2a194,3,1.0,1.0,3,0,0
cond-21e27f028b9d2c7391c4,3,1.0,1.0,3,0,0
cond-225db1900d966640512e,3,1.0,1.0,3,0,0
cond-22930995d28b411a802a,3,1.0,1.0,3,0,0
cond-235171408d34ddfd185e,3,1.0,1.0,3,0,0
cond-237ce059e3ec5c42e426,3,1.0,1.0,3,0,0
cond-27f20255d8711f744816,5,1.0,1.0,5,0,0
cond-2934cc7da1de670fd716,5,1.0,1.0,5,0,0
cond-2b31382cbb0741a77873,3,1.0,1.0,3,0,0
cond-2f7c5c4be6cf31156182,5,1.0,1.0,5,0,0
cond-33bae3c34e8ca2f62e55,3,1.0,1.0,3,0,0
cond-36f3dc2b7cc2196e32e8,5,1.0,1.0,5,0,0
cond-3a0c2ae45bc4fcdebff0,3,1.0,1.0,3,0,0
cond-3a3f69b12ed3afde9053,3,1.0,1.0,3,0,0
cond-3da59e1bcfb56a20168b,3,1.0,1.0,3,0,0
cond-3f66556ae8c298eab74d,3,1.0,1.0,3,0,0
cond-40aea493e6e3b117a24a,3,1.0,1.0,3,0,0
cond-40cccee0a49f23e922e5,3,1.0,1.0,3,0,0
cond-464dce3840415e29aed7,3,1.0,1.0,3,0,0
cond-474460353c8cb8a30093,3,1.0,1.0,3,0,0
cond-49c0893fa0327bc1ad95,5,1.0,1.0,5,0,0
cond-4ce68d2509565ea28322,3,1.0,1.0,3,0,0
cond-4f778474755e588e8aa1,5,1.0,1.0,5,0,0
cond-5e469422c082309ca012,5,1.0,1.0,5,0,0
cond-5faa3019b230f5846285,3,1.0,1.0,3,0,0
cond-626acafcfab45b04176a,3,1.0,1.0,3,0,0
cond-655121eb744d31a08ad7,3,1.0,1.0,3,0,0
cond-656e5fefb973b7da7046,3,1.0,1.0,3,0,0
cond-65b11355ad1f90ca6542,5,1.0,1.0,5,0,0
cond-6c9e6448bb422a2bdfa0,3,1.0,1.0,3,0,0
cond-70d7bcd7626b433cb422,3,1.0,1.0,3,0,0
cond-72bfefbb5c0254ea65c6,3,1.0,1.0,3,0,0
cond-75c7c8787cb7f09cef45,3,1.0,1.0,3,0,0
cond-786bf7b48205fb7374ea,3,1.0,1.0,3,0,0
cond-791c5fc733f60b39e7fe,3,1.0,1.0,3,0,0
cond-7a2af6ca1005b4f9873f,3,1.0,1.0,3,0,0
cond-7a5d985fe2a5157c737d,5,1.0,1.0,5,0,0
cond-7d0f79fc868b4ff8b06f,3,1.0,1.0,3,0,0
cond-7e08a2dad61485b9193f,3,1.0,1.0,3,0,0
cond-7e57e053af0e3e8768f3,3,1.0,1.0,3,0,0
cond-7e7bb6200a10d904a4ec,3,1.0,1.0,3,0,0
cond-8174a6833910222c7e23,3,1.0,1.0,3,0,0
cond-846d8b77c86400b75b64,3,1.0,1.0,3,0,0
cond-877228963f14a73f246c,5,1.0,1.0,5,0,0
cond-8c59d73c305c0c5ae78c,3,1.0,1.0,3,0,0
cond-8c64ffbc156a42d5de5e,5,1.0,1.0,5,0,0
cond-8dd5923c9b087c2d08c2,3,1.0,1.0,3,0,0
cond-8e10f074460e2452d761,3,1.0,1.0,3,0,0
cond-8e785df292aebfd07c13,3,1.0,1.0,3,0,0
cond-92a1bd311fb0048702ea,3,1.0,1.0,3,0,0
cond-93b3ada989afb7c59810,3,1.0,1.0,3,0,0
cond-95138c034ddd84d6c91e,3,1.0,1.0,3,0,0
cond-9698597d895bf28c92c9,3,1.0,1.0,3,0,0
cond-98277f4a3e908871b5eb,3,1.0,1.0,3,0,0
cond-98688e66ad42e812aef9,3,1.0,1.0,3,0,0
cond-9c359776cfbd26e1209f,3,1.0,1.0,3,0,0
cond-9e0bc2458da5ed44af3d,3,1.0,1.0,3,0,0
cond-b269be3e505ece7d383d,5,1.0,1.0,5,0,0
cond-b2fdb86400597d671700,3,1.0,1.0,3,0,0
cond-b42d73a6d849ff95d8a6,3,1.0,1.0,3,0,0
cond-b459da930a353f2ec5e0,3,1.0,1.0,3,0,0
cond-b77c7d171a33f4a835f2,3,1.0,1.0,3,0,0
cond-b95414a49e47e1e18e23,5,1.0,1.0,5,0,0
cond-ba07470531ca335e20aa,5,1.0,1.0,5,0,0
cond-bb2c7ac9eb6cbc37169c,3,1.0,1.0,3,0,0
cond-bb861cdd5341ce6892be,3,1.0,1.0,3,0,0
cond-bd140430ae62137804c5,5,1.0,1.0,5,0,0
cond-bf30004dc48a40699fc7,5,1.0,1.0,5,0,0
cond-c0092f66631f1ae01fc6,3,1.0,1.0,3,0,0
cond-c2354b18983fde954627,3,1.0,1.0,3,0,0
cond-c5b1cb80a15ad5f221e3,3,1.0,1.0,3,0,0
cond-c640c975692de84cae06,3,1.0,1.0,3,0,0
cond-c7752535b0651ad3a347,5,1.0,1.0,5,0,0
cond-cca388d51eb3c5986b3a,3,1.0,1.0,3,0,0
cond-d183514acf4239fd7160,3,1.0,1.0,3,0,0
cond-d440ac0b04f4bf5b7186,3,1.0,1.0,3,0,0
cond-d58a1a7d57bc70acde3c,3,1.0,1.0,3,0,0
cond-d5afdbe598daf23c73c0,3,1.0,1.0,3,0,0
cond-d80fba772498162ebbf6,3,1.0,1.0,3,0,0
cond-da01e051b792b0e29b50,3,1.0,1.0,3,0,0
cond-ea1310ef7a785f25ad14,3,1.0,1.0,3,0,0
cond-f461d0b4d2ee745f8be9,3,1.0,1.0,3,0,0
cond-f852b03bbba6d24405e1,3,1.0,1.0,3,0,0
cond-fb730b7faa8045049194,5,1.0,1.0,5,0,0
cond-fe7077a5b6b17cc15c54,3,1.0,1.0,3,0,0
