condition_id,feature,observed_repetitions,median,mad,robust_relative_dispersion,minimum,maximum
cond-0310221dd4f525ebbd94,remote_path_share,3,0.9998731409868784,1.9467960203911616e-06,2.886685979079748e-06,0.999871194190858,0.9998793847791908
cond-0310221dd4f525ebbd94,remote_to_final_rows_ratio,3,2.0,0.0,0.0,2.0,2.0
cond-0310221dd4f525ebbd94,wan_output_to_final_rows_ratio,3,2.0,0.0,0.0,2.0,2.0
cond-0310221dd4f525ebbd94,drf_bytes_proxy,3,200000.0,0.0,0.0,200000.0,200000.0
cond-0310221dd4f525ebbd94,global_group_merge_ratio,3,2.0,0.0,0.0,2.0,2.0
cond-0310221dd4f525ebbd94,temp_bytes_to_wan_bytes_ratio,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,temp_blocks_per_wan_row,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,temp_blocks_per_final_row,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,spill_per_wan_mb,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,hash_batches_max,3,1.0,0.0,0.0,1.0,1.0
cond-0310221dd4f525ebbd94,remote_region_rows_isf,3,1.0,0.0,0.0,1.0,1.0
cond-0310221dd4f525ebbd94,worker_task_scan_rows_isf,3,1.504,0.0,0.0,1.504,1.504
cond-0310221dd4f525ebbd94,worker_task_scan_actual_rows_max_share,3,0.0235,0.0,0.0,0.0235,0.0235
cond-0310221dd4f525ebbd94,task_count_to_shard_count_ratio,3,2.0,0.0,0.0,2.0,2.0
cond-0310221dd4f525ebbd94,active_task_share,3,1.0,0.0,0.0,1.0,1.0
cond-0310221dd4f525ebbd94,citus_repartition_query,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,worker_task_seq_scan_share,3,1.0,0.0,0.0,1.0,1.0
cond-0310221dd4f525ebbd94,root_rows_estimate_error_log,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,foreign_scan_rows_estimate_error_log,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,aggregate_rows_estimate_error_log,3,0.0,0.0,,0.0,0.0
cond-0310221dd4f525ebbd94,remote_root_rows_estimate_error_log,3,0.0,0.0,,0.0,0.0
cond-035b1b9f0c873b267eb4,remote_path_share,3,0.0,0.0,,0.0,0.0
cond-035b1b9f0c873b267eb4,remote_to_final_rows_ratio,0,,,,,
cond-035b1b9f0c873b267eb4,wan_output_to_final_rows_ratio,0,,,,,
cond-035b1b9f0c873b267eb4,drf_bytes_proxy,0,,,,,
cond-035b1b9f0c873b267eb4,global_group_merge_ratio,0,,,,,
cond-035b1b9f0c873b267eb4,temp_bytes_to_wan_bytes_ratio,0,,,,,
cond-035b1b9f0c873b267eb4,temp_blocks_per_wan_row,0,,,,,
cond-035b1b9f0c873b267eb4,temp_blocks_per_final_row,3,0.0,0.0,,0.0,0.0
cond-035b1b9f0c873b267eb4,spill_per_wan_mb,0,,,,,
cond-035b1b9f0c873b267eb4,hash_batches_max,3,1.0,0.0,0.0,1.0,1.0
cond-035b1b9f0c873b267eb4,remote_region_rows_isf,0,,,,,
cond-035b1b9f0c873b267eb4,worker_task_scan_rows_isf,0,,,,,
cond-035b1b9f0c873b267eb4,worker_task_scan_actual_rows_max_share,0,,,,,
cond-035b1b9f0c873b267eb4,task_count_to_shard_count_ratio,0,,,,,
cond-035b1b9f0c873b267eb4,active_task_share,0,,,,,
cond-035b1b9f0c873b267eb4,citus_repartition_query,3,0.0,0.0,,0.0,0.0
cond-035b1b9f0c873b267eb4,worker_task_seq_scan_share,0,,,,,
cond-035b1b9f0c873b267eb4,root_rows_estimate_error_log,3,0.0,0.0,,0.0,0.0
cond-035b1b9f0c873b267eb4,foreign_scan_rows_estimate_error_log,0,,,,,
cond-035b1b9f0c873b267eb4,aggregate_rows_estimate_error_log,3,0.0,0.0,,0.0,0.0
cond-035b1b9f0c873b267eb4,remote_root_rows_estimate_error_log,0,,,,,
cond-06d0a73fabed411b37fc,remote_path_share,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,remote_to_final_rows_ratio,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,wan_output_to_final_rows_ratio,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,drf_bytes_proxy,3,200000.0,0.0,0.0,200000.0,200000.0
cond-06d0a73fabed411b37fc,global_group_merge_ratio,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,temp_bytes_to_wan_bytes_ratio,3,0.0,0.0,,0.0,0.0
cond-06d0a73fabed411b37fc,temp_blocks_per_wan_row,3,0.0,0.0,,0.0,0.0
cond-06d0a73fabed411b37fc,temp_blocks_per_final_row,3,0.0,0.0,,0.0,0.0
cond-06d0a73fabed411b37fc,spill_per_wan_mb,3,0.0,0.0,,0.0,0.0
cond-06d0a73fabed411b37fc,hash_batches_max,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,remote_region_rows_isf,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,worker_task_scan_rows_isf,3,1.248,0.0,0.0,1.248,1.248
cond-06d0a73fabed411b37fc,worker_task_scan_actual_rows_max_share,3,0.039,0.0,0.0,0.039,0.039
cond-06d0a73fabed411b37fc,task_count_to_shard_count_ratio,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,active_task_share,3,1.0,0.0,0.0,1.0,1.0
cond-06d0a73fabed411b37fc,citus_repartition_query,3,0.0,0.0,,0.0,0.0
cond-06d0a73fabed411b37fc,worker_task_seq_scan_share,3,1.0,0.0,0.0,1.0,1.0
