condition_id,repetition_count,fingerprint_count,dominant_fingerprint,dominant_fingerprint_share
cond-0310221dd4f525ebbd94,3,1,094f9b206593fc8f449ca13ae58a5a45b1938ea59ca04b5be8843c2d6e90c5ef,1.0
cond-035b1b9f0c873b267eb4,3,1,f1ba53ed73322ef2733f474b5b2fa23e41b4b3b6c61cefc906575d68089346b1,1.0
cond-06d0a73fabed411b37fc,3,1,ffb63fa206350b47e8c842e31593a39da64d73d45189ec5733bb768632302488,1.0
cond-0754ed1d08faa440d5bb,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-0815667b5c439756a642,5,1,eed28bbbd899d9cd8c8865a70548bd848f07a275881b1a5032b45606899c3ad9,1.0
cond-109494aaf85c5b74f7dc,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
cond-129d83d07d674987662d,3,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0
cond-1661f99ef69859e5d461,3,1,a06d4c20eed1c4c4ed318c04134cf1cdb07eee489eccd4c3298e03039af1d8f2,1.0
cond-17b0613b129bd2b9c16c,3,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0
cond-1c1b79e78e1cf306ea1b,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-1ef8768e78a1de56adf1,5,1,a4093f93bf558726ff8df96f998a76869738ad8c2a24a488f119d803915b5516,1.0
cond-213094df63d00ed2a194,3,1,e07801afe9c17dec9638ce7fee4b18c71d75bdd3998afd0d505b01650c770232,1.0
cond-21e27f028b9d2c7391c4,3,1,e07801afe9c17dec9638ce7fee4b18c71d75bdd3998afd0d505b01650c770232,1.0
cond-225db1900d966640512e,3,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0
cond-22930995d28b411a802a,3,1,1f7e67cc6ea09efb80c5695ddbd695b137f1c132f0cedbd577f7fd43f672abc7,1.0
cond-235171408d34ddfd185e,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
cond-237ce059e3ec5c42e426,3,1,094f9b206593fc8f449ca13ae58a5a45b1938ea59ca04b5be8843c2d6e90c5ef,1.0
cond-27f20255d8711f744816,5,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-2934cc7da1de670fd716,5,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-2b31382cbb0741a77873,3,1,e07801afe9c17dec9638ce7fee4b18c71d75bdd3998afd0d505b01650c770232,1.0
cond-2f7c5c4be6cf31156182,5,1,bdfca485aa65d92fcbb2e852bdda362394cf31488e71885ae984fe8d8ed2637f,1.0
cond-33bae3c34e8ca2f62e55,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-36f3dc2b7cc2196e32e8,5,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0
cond-3a0c2ae45bc4fcdebff0,3,1,a06d4c20eed1c4c4ed318c04134cf1cdb07eee489eccd4c3298e03039af1d8f2,1.0
cond-3a3f69b12ed3afde9053,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-3da59e1bcfb56a20168b,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-3f66556ae8c298eab74d,3,1,0f7dd07f6bfadf62a14fa18bcd759310c87f7c506ff641e84b93051dd642bd17,1.0
cond-40aea493e6e3b117a24a,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-40cccee0a49f23e922e5,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-464dce3840415e29aed7,3,1,e07801afe9c17dec9638ce7fee4b18c71d75bdd3998afd0d505b01650c770232,1.0
cond-474460353c8cb8a30093,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-49c0893fa0327bc1ad95,5,1,40aa2dd0572bb2e4e6642361426e0e5db0be5c3ff0dc046b49e2dd0439f8994e,1.0
cond-4ce68d2509565ea28322,3,1,f1ba53ed73322ef2733f474b5b2fa23e41b4b3b6c61cefc906575d68089346b1,1.0
cond-4f778474755e588e8aa1,5,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-5e469422c082309ca012,5,1,1f7e67cc6ea09efb80c5695ddbd695b137f1c132f0cedbd577f7fd43f672abc7,1.0
cond-5faa3019b230f5846285,3,1,a49881c3e18e41cb64c5ce256d6072f48852108c5846f3de12ca1b0163e9c345,1.0
cond-626acafcfab45b04176a,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-655121eb744d31a08ad7,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-656e5fefb973b7da7046,3,1,e008c26fcecc6ffa4e57882a6489ba4a4dcf62f06573b76261be8d398b41a98b,1.0
cond-65b11355ad1f90ca6542,5,1,42f9d29d6d391c95df572fd0138ad6ef8733927ccbaa8f3e1e6fb363007ba973,1.0
cond-6c9e6448bb422a2bdfa0,3,1,0914b69a9ec4adcafd4187e94889f978fc7828e5e70ba0b441e3875f45330c49,1.0
cond-70d7bcd7626b433cb422,3,1,495f2d2b7009c5050d6a375d7e6b011b91612d3faf4ebd0909f3d3239422db0f,1.0
cond-72bfefbb5c0254ea65c6,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-75c7c8787cb7f09cef45,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-786bf7b48205fb7374ea,3,1,eed28bbbd899d9cd8c8865a70548bd848f07a275881b1a5032b45606899c3ad9,1.0
cond-791c5fc733f60b39e7fe,3,1,e008c26fcecc6ffa4e57882a6489ba4a4dcf62f06573b76261be8d398b41a98b,1.0
cond-7a2af6ca1005b4f9873f,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
cond-7a5d985fe2a5157c737d,5,1,a06d4c20eed1c4c4ed318c04134cf1cdb07eee489eccd4c3298e03039af1d8f2,1.0
cond-7d0f79fc868b4ff8b06f,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-7e08a2dad61485b9193f,3,1,eed28bbbd899d9cd8c8865a70548bd848f07a275881b1a5032b45606899c3ad9,1.0
cond-7e57e053af0e3e8768f3,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
cond-7e7bb6200a10d904a4ec,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-8174a6833910222c7e23,3,1,db4ed3d9a591bd04a004580f3e91a0acb28c98c15abf9b58c3020a2a8c2ff009,1.0
cond-846d8b77c86400b75b64,3,1,5f95d7d45ef0ac2b5b3fa855af821e6ac14bdcdcec6284b972d0e640c5aad5f1,1.0
cond-877228963f14a73f246c,5,1,eed28bbbd899d9cd8c8865a70548bd848f07a275881b1a5032b45606899c3ad9,1.0
cond-8c59d73c305c0c5ae78c,3,1,0f7dd07f6bfadf62a14fa18bcd759310c87f7c506ff641e84b93051dd642bd17,1.0
cond-8c64ffbc156a42d5de5e,5,1,ec53a25ba9da91cbb684540ad7c025b2c9a153b45a6a3644c765890694c95b2e,1.0
cond-8dd5923c9b087c2d08c2,3,1,8b2261d3fb2d47cecc5dbf1f4d6cf256fa8eb686e3f77b3778f69660e9f872d2,1.0
