scope,metric,value
overall,condition_count,96.0
overall,attempt_row_count,328.0
overall,resolved_execution_count,328.0
overall,plan_stable_condition_count,96.0
overall,minimum_evidence_completeness,1.0
overall,ambiguous_candidate_count,0.0
overall,minimum_dominant_cluster_agreement,1.0
overall,median_mean_membership_l1,7.971167298289281e-05
overall,p95_mean_membership_l1,0.0005965350737801231
overall,maximum_membership_l1,0.05897142250493623
overall,off_diagonal_display_transition_count,0.0
display_state,clear_prototype_condition_count,42.0
display_state,mixed_boundary_condition_count,34.0
display_state,weak_prototype_coverage_condition_count,20.0
overall,feature_condition_row_count,2016.0
overall,zero_mad_feature_condition_share,0.9228278467350243
overall,median_feature_rrd,0.0
overall,p95_feature_rrd,0.00011104545835615349
overall,maximum_feature_rrd,0.008923092203488235
overall,not_applicable_feature_condition_count,163.0
elapsed_seconds,median_coefficient_of_variation,0.04374672149312176
elapsed_seconds,p95_coefficient_of_variation,0.14714211839015742
elapsed_seconds,maximum_coefficient_of_variation,0.2522691983310655
main_root_actual_total_time_ms,median_coefficient_of_variation,0.04889754859121306
main_root_actual_total_time_ms,p95_coefficient_of_variation,0.15953190775933448
main_root_actual_total_time_ms,maximum_coefficient_of_variation,0.24626279916772192
