pair_key,logical_question_id,execution_strategy,balanced_query_run_id,skew_query_run_id,semantic_feature_l2,membership_l1,dominant_cluster_changed,gac_visible_rms_delta_v1,topology_only_rms_delta_v1
mr_top_tenants_default__dataset-X__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-1__limit_k-50,top_tenants,multiregion_union,20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,20260626T172142Z-clean-run-eu-us-gac-v1__pilot-skew-h--bca38edf9056--ultiregion_top_tenants__lookback_days-1__limit_k-50,0.06637819796429739,0.005077595326764225,0,0.0077081475123339,0.6497762939656495
fdw_global_user_default__dataset-X__runtime-default__gac_fdw_global_user_join__lookback_days-3__limit_k-10,global_user_topk,fdw_raw,20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,20260626T194944Z-clean-run-eu-us-gac-v1__pilot-skew-h--4e2fb4af6788--c_fdw_global_user_join__lookback_days-3__limit_k-10,0.12351829061561442,0.002466887662262065,0,0.0077498362635346,0.9559573771226468
fdw_user_segment_default__dataset-X__runtime-default__gac_fdw_user_segment_join__lookback_days-30__limit_k-25,user_segment_topk,fdw_raw,20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,20260626T195124Z-clean-run-eu-us-gac-v1__pilot-skew-h--cb3f25e141d4--fdw_user_segment_join__lookback_days-30__limit_k-25,0.09023187181577838,0.0008006201110496692,0,0.0102774586961991,0.9559573771226468
mr_daily_rollup_default__dataset-X__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-14__min_value-900__limit_k-25,daily_tenant_rollup,multiregion_union,20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,20260626T191557Z-clean-run-eu-us-gac-v1__pilot-skew-h--4c12a950c771--rollup__lookback_days-14__min_value-900__limit_k-25,0.0657333157895561,0.03183975928925172,0,0.070949249487324,0.6419667005690587
fdw_top_tenants_default__dataset-X__runtime-default__gac_fdw_top_tenants__lookback_days-14__limit_k-50,top_tenants,fdw_raw,20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,20260626T175633Z-clean-run-eu-us-gac-v1__pilot-skew-h--c3156d49ab12--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,0.1520413013264025,0.020650734808201426,0,0.0002902859394163,0.7226436113065383
mr_tenant_point_default__dataset-X__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-5__us_tenant_id-10010__lookback_days-14,tenant_point_rollup,multiregion_union,20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,20260626T200149Z-clean-run-eu-us-gac-v1__pilot-skew-h--8a6385309f30--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,0.5111061680294458,1.229355930076183,1,1.0963920367912847,1.2294008378429888
mr_tenant_point_default__dataset-X__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1000__us_tenant_id-10100__lookback_days-7,tenant_point_rollup,multiregion_union,20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,20260626T185836Z-clean-run-eu-us-gac-v1__pilot-skew-h--9145423202a4--tenant_id-1000__us_tenant_id-10100__lookback_days-7,0.028846453074966045,0.028043931050359724,0,0.1886472927892011,0.0682478256471256
mr_tenant_tier_default__dataset-X__runtime-default__gac_fdw_multiregion_tenant_tier_join__lookback_days-30__limit_k-50,tenant_tier_daily_join,multiregion_union,20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,20260626T195620Z-clean-run-eu-us-gac-v1__pilot-skew-h--6fb099c70afd--gion_tenant_tier_join__lookback_days-30__limit_k-50,0.06776708246110198,0.006046426827409702,0,0.0114703813655006,0.6666426274920644
mr_daily_rollup_default__dataset-X__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-30__min_value-900__limit_k-50,daily_tenant_rollup,multiregion_union,20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,20260626T171411Z-clean-run-eu-us-gac-v1__pilot-skew-h--0bbb0492bd74--rollup__lookback_days-30__min_value-900__limit_k-50,0.06569869457071534,0.030119579959337478,0,0.0727633074320286,0.6419667005690587
etl_user_segment_default__dataset-X__runtime-default__gac_etl_user_segment_topk__lookback_days-1__limit_k-25,user_segment_topk,etl_materialized,20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,20260626T181300Z-clean-run-eu-us-gac-v1__pilot-skew-h--5dc260b85243--_etl_user_segment_topk__lookback_days-1__limit_k-25,0.0,0.0,0,0.0,0.0
fdw_user_segment_default__dataset-X__runtime-default__gac_fdw_user_segment_join__lookback_days-3__limit_k-100,user_segment_topk,fdw_raw,20260626T114026Z-clean-run-eu-us-gac-v1__pilot-balanc--9ae2eee364f6--fdw_user_segment_join__lookback_days-3__limit_k-100,20260626T181810Z-clean-run-eu-us-gac-v1__pilot-skew-h--c677f9d498ff--fdw_user_segment_join__lookback_days-3__limit_k-100,0.09023089686923122,0.0008656289429064873,0,0.0089788570731443,0.9559573771226468
mr_tenant_point_default__dataset-X__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-100__us_tenant_id-10100__lookback_days-7,tenant_point_rollup,multiregion_union,20260626T114047Z-clean-run-eu-us-gac-v1__pilot-balanc--7ff82d8a65bb--_tenant_id-100__us_tenant_id-10100__lookback_days-7,20260626T180918Z-clean-run-eu-us-gac-v1__pilot-skew-h--a3d0ef21ad92--_tenant_id-100__us_tenant_id-10100__lookback_days-7,0.026829795295636272,0.024704747575600972,0,0.1696970842772275,0.0682478256471256
fdw_multi_dimension_default__dataset-X__runtime-default__gac_fdw_multi_dimension_rollup__lookback_days-7__limit_k-25,multi_dimension_rollup,fdw_raw,20260626T114102Z-clean-run-eu-us-gac-v1__pilot-balanc--cf58a22247ac--multi_dimension_rollup__lookback_days-7__limit_k-25,20260626T200552Z-clean-run-eu-us-gac-v1__pilot-skew-h--3fbbc82c65d7--multi_dimension_rollup__lookback_days-7__limit_k-25,0.09356888564965936,0.0012353034713707958,0,0.0052649185014754,0.967590375994772
fdw_top_tenants_default__dataset-X__runtime-default__gac_fdw_top_tenants__lookback_days-7__limit_k-50,top_tenants,fdw_raw,20260626T114121Z-clean-run-eu-us-gac-v1__pilot-balanc--18e4a849bf0b--t__gac_fdw_top_tenants__lookback_days-7__limit_k-50,20260626T165606Z-clean-run-eu-us-gac-v1__pilot-skew-h--c3a334ab5219--t__gac_fdw_top_tenants__lookback_days-7__limit_k-50,0.15204130276982356,0.02066355579988826,0,0.0005746568979082,0.7226436113065383
mr_multi_dimension_default__dataset-X__runtime-default__gac_fdw_multiregion_multi_dimension_rollup__lookback_days-3__limit_k-50,multi_dimension_rollup,multiregion_union,20260626T114141Z-clean-run-eu-us-gac-v1__pilot-balanc--c5f0b3a0235d--multi_dimension_rollup__lookback_days-3__limit_k-50,20260626T170734Z-clean-run-eu-us-gac-v1__pilot-skew-h--31d080fca6a6--multi_dimension_rollup__lookback_days-3__limit_k-50,0.04088023519892139,0.005993539914809377,0,0.0019160778445057,0.8752201854547506
mr_daily_rollup_default__dataset-X__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-30__min_value-900__limit_k-100,daily_tenant_rollup,multiregion_union,20260626T114208Z-clean-run-eu-us-gac-v1__pilot-balanc--87ab183b9917--ollup__lookback_days-30__min_value-900__limit_k-100,20260626T193618Z-clean-run-eu-us-gac-v1__pilot-skew-h--e8e312090741--ollup__lookback_days-30__min_value-900__limit_k-100,0.06571335760976271,0.03028380463777549,0,0.0736030718131624,0.6419667005690587
fdw_multi_dimension_default__dataset-X__runtime-default__gac_fdw_multi_dimension_rollup__lookback_days-30__limit_k-10,multi_dimension_rollup,fdw_raw,20260626T114226Z-clean-run-eu-us-gac-v1__pilot-balanc--d3c81087e30d--ulti_dimension_rollup__lookback_days-30__limit_k-10,20260626T173427Z-clean-run-eu-us-gac-v1__pilot-skew-h--70393561db8b--ulti_dimension_rollup__lookback_days-30__limit_k-10,0.09358389189441652,0.0014937811464487954,0,0.0086409858396333,0.967590375994772
fdw_raw_wide_default__dataset-X__runtime-default__gac_fdw_event_raw_wide_sample__lookback_days-1__min_value-500__limit_k-100__payload_repeat-64__payload_width-512,event_raw_wide_sample,fdw_raw,20260626T114249Z-clean-run-eu-us-gac-v1__pilot-balanc--e5ccb3819851--__limit_k-100__payload_repeat-64__payload_width-512,20260626T175709Z-clean-run-eu-us-gac-v1__pilot-skew-h--3c735e59e4d7--__limit_k-100__payload_repeat-64__payload_width-512,0.15284718946925593,0.007738586195427832,0,0.0011728154571251,0.7177704787997702
mr_daily_rollup_default__dataset-X__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-14__min_value-900__limit_k-100,daily_tenant_rollup,multiregion_union,20260626T114304Z-clean-run-eu-us-gac-v1__pilot-balanc--068c334e695d--ollup__lookback_days-14__min_value-900__limit_k-100,20260626T185028Z-clean-run-eu-us-gac-v1__pilot-skew-h--9118c4940765--ollup__lookback_days-14__min_value-900__limit_k-100,0.06573619301085526,0.03192947793005831,0,0.0708864913079451,0.6419667005690587
mr_user_segment_default__dataset-X__runtime-default__gac_fdw_multiregion_user_segment_join__lookback_days-7__limit_k-25,user_segment_topk,multiregion_union,20260626T114320Z-clean-run-eu-us-gac-v1__pilot-balanc--3defc2041615--gion_user_segment_join__lookback_days-7__limit_k-25,20260626T172911Z-clean-run-eu-us-gac-v1__pilot-skew-h--fa63d9136c4d--gion_user_segment_join__lookback_days-7__limit_k-25,0.039889275605015984,0.005314470770003583,0,0.0363189512283344,0.8646453311843929
fdw_daily_rollup_default__dataset-X__runtime-default__gac_fdw_daily_rollup__lookback_days-1__min_value-100,daily_tenant_rollup,fdw_raw,20260626T114349Z-clean-run-eu-us-gac-v1__pilot-balanc--bfb7f603474b--ac_fdw_daily_rollup__lookback_days-1__min_value-100,20260626T180822Z-clean-run-eu-us-gac-v1__pilot-skew-h--a3113b5f666a--ac_fdw_daily_rollup__lookback_days-1__min_value-100,0.1522502637304109,0.023695285253527612,0,0.0093381359368472,0.715168640981157
fdw_user_segment_default__dataset-X__runtime-default__gac_fdw_user_segment_join__lookback_days-30__limit_k-50,user_segment_topk,fdw_raw,20260626T114408Z-clean-run-eu-us-gac-v1__pilot-balanc--aa7d9a00723a--fdw_user_segment_join__lookback_days-30__limit_k-50,20260626T191149Z-clean-run-eu-us-gac-v1__pilot-skew-h--cf498f4f5af4--fdw_user_segment_join__lookback_days-30__limit_k-50,0.09028025957985196,0.0006921859433791598,0,0.0179290689929826,0.9559573771226468
fdw_tenant_point_default__dataset-X__runtime-default__gac_fdw_tenant_point_rollup__tenant_id-100__lookback_days-1,tenant_point_rollup,fdw_raw,20260626T114429Z-clean-run-eu-us-gac-v1__pilot-balanc--f77810cb1b3a--tenant_point_rollup__tenant_id-100__lookback_days-1,20260626T183641Z-clean-run-eu-us-gac-v1__pilot-skew-h--8b88a1b7f875--tenant_point_rollup__tenant_id-100__lookback_days-1,0.06448188899069011,0.005639676487119893,0,0.1542000350609665,0.0682478256471256
fdw_global_user_default__dataset-X__runtime-default__gac_fdw_global_user_join__lookback_days-1__limit_k-100,global_user_topk,fdw_raw,20260626T114444Z-clean-run-eu-us-gac-v1__pilot-balanc--ac2093b36f03--_fdw_global_user_join__lookback_days-1__limit_k-100,20260626T194442Z-clean-run-eu-us-gac-v1__pilot-skew-h--74ebcf52a55f--_fdw_global_user_join__lookback_days-1__limit_k-100,0.12353581768741016,0.0023900431892048277,0,0.0108342811392932,0.9559573771226468
etl_tenant_point_default__dataset-X__runtime-default__gac_etl_tenant_point_rollup__tenant_id-1000__lookback_days-1,tenant_point_rollup,etl_materialized,20260626T114505Z-clean-run-eu-us-gac-v1__pilot-balanc--de704aced79b--enant_point_rollup__tenant_id-1000__lookback_days-1,20260626T175129Z-clean-run-eu-us-gac-v1__pilot-skew-h--97c28b47ee8f--enant_point_rollup__tenant_id-1000__lookback_days-1,0.0,0.0,0,0.0,0.0
