scope,pair_count,median_semantic_feature_l2,median_membership_l1,p90_membership_l1,dominant_cluster_change_share
all,865,0.06638544427198247,0.005981268629363405,0.9512630214157481,0.11445086705202312
question:daily_tenant_rollup,125,0.06650683574290421,0.007804411972017322,0.036760421356514486,0.0
question:event_filter_summary,60,0.06642976155103036,0.003675481137947912,0.02299024424096311,0.0
question:event_full_scan_summary,3,0.06636796729209253,0.017499212539362208,0.019314004271016337,0.0
question:event_raw_wide_sample,32,0.10868643952006103,0.013217431149118941,0.024142786913416057,0.0
question:global_user_topk,80,0.023414923136791978,0.0011962243984115343,0.004427616350976099,0.0
question:multi_dimension_rollup,80,0.036117905516387216,0.0023044042571489674,0.01250250490909504,0.0
question:tenant_point_rollup,190,0.5106534866883171,0.9452826630307318,1.2382654864270255,0.5210526315789473
question:tenant_tier_daily_join,75,0.06775812134786152,0.006413395057392225,0.024275782745510607,0.0
question:top_tenants,80,0.06636797088899521,0.004572735022491201,0.020654774538452023,0.0
question:user_segment_topk,80,0.02827540824404,0.0008604504234073602,0.006822110617111701,0.0
question:user_value_topk,60,0.06715741372968638,0.00625839936493817,0.021063384052705997,0.0
