query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,1,0.9871845073818629,0.07993415933382195,0.057660307634266585,0.13664806402502963,0.9795397030244354,0.004036625105615514,0.9871845073818629,0.007644804357427538,0.0011340631550939336
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,1,0.9916427006168846,0.05587704417832499,0.04030676726780149,0.1238343830208218,0.986816836749329,0.0027423086850809635,0.9916427006168846,0.00482586386755568,0.0007891268304787322
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,1,0.9854518621164252,0.08925063648262561,0.06438072532483378,0.1528357188304983,0.9771396648406776,0.004828115090045927,0.9854518621164252,0.008312197275747576,0.001407825517781368
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,2,0.8843647236225617,0.461356786269855,0.3327985738159946,0.26698211232984514,0.8167168730203115,0.06764785060225022,0.037847133376830856,0.8843647236225617,0.010140292398357205
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,1,0.9890654508615452,0.06989228798967513,0.050416628639543784,0.12671740778997914,0.9824960232644906,0.003417631019618623,0.9890654508615452,0.0065694275970546055,0.0009474905217816507
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,0,0.8253826449071827,0.5995651005130126,0.4324947986001081,0.29927643107930046,0.6997205557251184,0.8253826449071827,0.029645985689754375,0.1256620891820643,0.01930928022099867
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,0,0.8314777163709787,0.5851812690189573,0.42211905741738004,0.29460408571051566,0.7101717473252821,0.8314777163709787,0.028535905664285488,0.12130596904569657,0.018680408919039257
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,1,0.9271057646460914,0.3293125542109222,0.2375487944312877,0.28315306508604365,0.8876779580005512,0.025834560321617097,0.9271057646460914,0.0394278066455403,0.007631868386751243
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,2,0.8810755809002626,0.47135392139983173,0.34000998245355174,0.2704555500214559,0.8117331172409473,0.06934246365931529,0.03893191806908178,0.8810755809002626,0.010650037371340397
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,3,0.9980100548540298,0.01640952819658147,0.011836972476267851,0.09272521226971447,0.9970552357180337,0.000954819135996145,0.00035738955557197504,0.00067773645440206,0.9980100548540298
20260626T114026Z-clean-run-eu-us-gac-v1__pilot-balanc--9ae2eee364f6--fdw_user_segment_join__lookback_days-3__limit_k-100,1,0.9882818079105611,0.07436443943932429,0.0536426039988004,0.13952879483561645,0.981519733268794,0.003854028170203005,0.9882818079105611,0.006762074641767072,0.0011020892774689654
20260626T114047Z-clean-run-eu-us-gac-v1__pilot-balanc--7ff82d8a65bb--_tenant_id-100__us_tenant_id-10100__lookback_days-7,0,0.8341106186250745,0.578896438451051,0.41758551047080716,0.2925887426237015,0.7146926670506843,0.8341106186250745,0.028059980543451594,0.11941795157439013,0.018411449257083705
