check,artifact,artifact_mtime_utc,holdout_started_utc,sha256,status,note
feature_extractor_frozen_before_holdout,src/master_regimes/feature_matrix.py,2026-07-26T11:17:54.183559+00:00,2026-07-26T11:29:55+00:00,4026f67207fc883dc8ff2ab330bec74b68a9c4a89f323a23ebafa294b6c48306,PASS,one-second tolerance reflects run IDs without subsecond precision
query_sweep_indexer_frozen_before_holdout,src/master_regimes/extract/query_sweep_index.py,2026-07-26T11:18:05.675557+00:00,2026-07-26T11:29:55+00:00,fcef022dc9bd6d011b073e4158df1e09c9478da70c7d0e450e7f69a303475a49,PASS,one-second tolerance reflects run IDs without subsecond precision
semantic_contract_frozen_before_holdout,configs/features/feature_semantic_contract_v2.yml,2026-07-27T14:50:23.521035+00:00,2026-07-26T11:29:55+00:00,762df5a8bcc488bd5ca50d297957a8b2a5f062ecaf575b3dd13cf74caee34446,INFO,post-holdout finalization revision; numerical equivalence is checked separately
semantic_audit_script_frozen_before_holdout,analysis/scripts/agent/61_feature_semantic_contract_audit.py,2026-07-26T11:19:28.951546+00:00,2026-07-26T11:29:55+00:00,a8d31f4151b2bf38aaf2ba86cba51b83d6f63203996bda496ffd43f68d3f66f2,PASS,one-second tolerance reflects run IDs without subsecond precision
model_freeze_script_frozen_before_holdout,analysis/scripts/agent/62_freeze_semantic_v2_model.py,2026-07-27T14:50:23.521035+00:00,2026-07-26T11:29:55+00:00,013110e24883db5d012f96a15d2f59d9e34eb5e07df7d7a97ccd13077ef521cb,INFO,post-holdout finalization revision; numerical equivalence is checked separately
frozen_model_manifest_frozen_before_holdout,analysis/reports/semantic-v2-model-freeze/semantic_v2_model_manifest.yml,2026-07-27T14:52:05.089023+00:00,2026-07-26T11:29:55+00:00,a7f441ff6e937a9615b3128c220752739d9380382e971d7f56eebd05d879941d,INFO,post-holdout finalization revision; numerical equivalence is checked separately
holdout_selection_frozen_before_holdout,external/stats-ceb/query-selection.semantic-v2b-holdout.yml,2026-07-26T11:29:53.735465+00:00,2026-07-26T11:29:55+00:00,fe72cb0196b97fac5960795366c4fa013fa2e9bf619017860646fec5757ce382,PASS,one-second tolerance reflects run IDs without subsecond precision
rendered_execution_plan_frozen_before_holdout,generated/corpus/stats-ceb-semantic-v2b-holdout/corpus_execution_plan.yml,2026-07-26T11:29:55.163465+00:00,2026-07-26T11:29:55+00:00,766a0b86a54dc72c56480b35325361685c58bbecc5afc6373e31ca3bbe865713,PASS,one-second tolerance reflects run IDs without subsecond precision
contract_hash_matches_freeze,,,2026-07-26T11:29:55+00:00,762df5a8bcc488bd5ca50d297957a8b2a5f062ecaf575b3dd13cf74caee34446,PASS,expected=762df5a8bcc488bd5ca50d297957a8b2a5f062ecaf575b3dd13cf74caee34446
contract_hash_matches_holdout,,,2026-07-26T11:29:55+00:00,762df5a8bcc488bd5ca50d297957a8b2a5f062ecaf575b3dd13cf74caee34446,PASS,expected=762df5a8bcc488bd5ca50d297957a8b2a5f062ecaf575b3dd13cf74caee34446
model_manifest_hash_matches_holdout,,,2026-07-26T11:29:55+00:00,a7f441ff6e937a9615b3128c220752739d9380382e971d7f56eebd05d879941d,PASS,expected=a7f441ff6e937a9615b3128c220752739d9380382e971d7f56eebd05d879941d
finalization_refreeze_equivalent_holdout_projection,analysis/reports/stats-ceb-semantic-v2b-holdout/holdout_projection.csv,2026-07-27T15:18:52.732812+00:00,2026-07-26T11:29:55+00:00,e658a314d3d97e6583784f0f7ff2ef1e1e334e44d222394fbd70f0d7a90790e5,PASS,byte-identical before and after no-refit finalization reprojection
finalization_refreeze_equivalent_holdout_semantic_weighted,analysis/reports/stats-ceb-semantic-v2b-holdout/holdout_semantic_weighted.csv,2026-07-27T15:18:52.708812+00:00,2026-07-26T11:29:55+00:00,107f12c738028f1d7fcc9ceb2d7eacbc82ffc19f6a9998a21ae96136fb7ba99f,PASS,byte-identical before and after no-refit finalization reprojection
finalization_refreeze_equivalent_holdout_v1_v2_comparison,analysis/reports/stats-ceb-semantic-v2b-holdout/holdout_v1_v2_comparison.csv,2026-07-27T15:18:53.068812+00:00,2026-07-26T11:29:55+00:00,bf4b3d0a3d551538c40da091778b342e448176a2265e33886d5428cbdf358fcf,PASS,byte-identical before and after no-refit finalization reprojection
finalization_refreeze_equivalent_holdout_gate,analysis/reports/stats-ceb-semantic-v2b-holdout/holdout_gate.csv,2026-07-27T15:18:53.072812+00:00,2026-07-26T11:29:55+00:00,8642387614f1b53f9562f6fd18443e5c5e8a89c1d2bdac863a18f1b523065eb8,PASS,byte-identical before and after no-refit finalization reprojection
holdout_projection_without_model_refit,analysis/reports/stats-ceb-semantic-v2b-holdout/holdout_summary.json,2026-07-27T15:18:53.072812+00:00,2026-07-26T11:29:55+00:00,8d51736a6c66a3e99c2b9f459028db0034201751c7cbfb9ddd903ce9baf9613f,PASS,model_refit_performed must remain false
freeze_declares_post_holdout_changes_prohibited,,,2026-07-26T11:29:55+00:00,,PASS,
