dataset,query_run_id,nearest_cluster,rank,feature,family,weighted_value,center_value,squared_distance,distance_contribution_share
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,1,remote_region_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0116047992404111,0.3200679367680578,0.3047245865614313
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,2,worker_task_scan_rows_isf_normalized,skew_imbalance,0.5773502691896258,0.0117629576996488,0.3198890069184604,0.30455423421376215
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,3,worker_scan_rows_cv_normalized,skew_imbalance,0.5773502691896258,0.0126778636065261,0.3188549256270047,0.3035697244962577
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,4,foreign_scan_time_to_root_ratio,remote_fanin_fetch,0.22256032256167047,0.0784779973498858,0.020759716438434477,0.01976454146801567
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,5,remote_root_rows_estimate_error_log,estimate_error,0.47033775845242265,0.3284649502361073,0.0201278937111834,0.019163006927299643
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,6,foreign_scan_rows_estimate_error_log,estimate_error,0.44123249592303826,0.306496905476921,0.018153679332863847,0.017283432027383902
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,7,task_count_to_shard_count_ratio,citus_topology_normalized,0.0192738269154615,0.1132573232053271,0.008832897574867181,0.008409467967394002
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,8,active_task_share,citus_topology_normalized,0.0192738269154615,0.1106980677042581,0.00835839180380786,0.00795770895533199
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,9,aggregate_rows_estimate_error_log,estimate_error,0.15353428952027387,0.2250377754480471,0.005112748499823264,0.00486765462524363
validation_holdout_195,20260706T021859Z-clean-run-eu-us-gac-validation-holdo--ad9a8880807b--_tenant_id-800__us_tenant_id-10800__lookback_days-7,0,10,remote_to_final_rows_ratio,remote_fanin_fetch,0.50884825662058,0.4392964667554916,0.004837451473437409,0.004605554730470937
