condition_id,repetition_count,logical_question_id,execution_strategy,dataset_id,runtime_config_id,display_state,mean_top_membership,mean_top2_margin,mean_membership_entropy,mean_pairwise_feature_l2,max_pairwise_feature_l2,mean_pairwise_membership_l1,max_pairwise_membership_l1,dominant_cluster_agreement
cond-0310221dd4f525ebbd94,3,event_full_scan_summary,multiregion_union,pilot-balanced-v1,default,mixed_boundary,0.5601327983107138,0.3198951828682271,1.126517362341177,6.779086115053327e-07,1.016862917257999e-06,1.9259287170614314e-07,2.888893075592147e-07,1.0
cond-035b1b9f0c873b267eb4,3,daily_tenant_rollup,etl_materialized,pilot-skew-heavy-v1,default,clear_prototype,0.9987722931936394,0.998176006706237,0.010712137365637609,0.0,0.0,0.0,0.0,1.0
cond-06d0a73fabed411b37fc,3,event_full_scan_summary,fdw_raw,pilot-balanced-v1,default,mixed_boundary,0.45009031184579545,0.20011565296519582,1.2694045806589083,0.0,0.0,0.0,0.0,1.0
cond-0754ed1d08faa440d5bb,3,event_raw_wide_sample,multiregion_union,pilot-balanced-v1,wan_100ms,clear_prototype,0.9789498543704397,0.9658913704971099,0.12020004580055517,4.802986038592962e-06,7.189706115162707e-06,1.0791367740086803e-07,1.6187051610130204e-07,1.0
cond-0815667b5c439756a642,5,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,clear_prototype,0.8179661294559779,0.6870306284868027,0.6167637550250641,5.439124381016458e-05,0.0001090994109557708,6.968799416118693e-05,0.0001397813036740428,1.0
cond-109494aaf85c5b74f7dc,3,event_filter_summary,multiregion_union,pilot-region-local-skew-asymmetric-medium-v1,wan_0ms,clear_prototype,0.9380394025696117,0.8984344746061425,0.2842247023932503,8.741266925475513e-05,0.00013042390355549004,3.306331858045006e-05,4.9573352159445506e-05,1.0
cond-129d83d07d674987662d,3,global_user_topk,multiregion_union,pilot-region-imbalanced-v1,default,clear_prototype,0.6738827565683582,0.4890699732486012,0.9371569284858325,0.000571691843480284,0.000857520041398675,4.753159020531398e-05,7.129738530797097e-05,1.0
cond-1661f99ef69859e5d461,3,daily_tenant_rollup,fdw_raw,pilot-balanced-v1,default,clear_prototype,0.7889197512943967,0.6549477871597483,0.6959649663644423,0.00012468812818131864,0.0001790574033547017,6.86240332458075e-06,9.239481941387268e-06,1.0
cond-17b0613b129bd2b9c16c,3,global_user_topk,multiregion_union,pilot-skew-heavy-v1,default,clear_prototype,0.9890115822184261,0.9826582201284665,0.07046100170878439,8.373817611127299e-05,0.00012164039600680491,3.6531093721116465e-06,5.4796640581674695e-06,1.0
cond-1c1b79e78e1cf306ea1b,3,daily_tenant_rollup,multiregion_union,pilot-region-imbalanced-v1,work_mem_high,clear_prototype,0.6329485435824512,0.4176845838192021,0.9947786474240146,0.0001711134110041985,0.0002566696254581997,1.2983049484383002e-05,1.9474574226574504e-05,1.0
