query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3,condition_id,repetition_index,logical_question_id,execution_strategy,dataset_id,runtime_config_id,display_state
20260724T223007Z-repeatability-v1__pilot-balanced-v1_--24ccfd75cda8--_etl_global_user_topk__lookback_days-14__limit_k-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34646571047972613,0.25,0.34646571047972613,0.25,3,0.9980100548540298,0.01640952819658147,0.011836972476267851,0.09272521226971447,0.9970552357180337,0.000954819135996145,0.00035738955557197504,0.00067773645440206,0.9980100548540298,cond-8e10f074460e2452d761,2,global_user_topk,etl_materialized,pilot-balanced-v1,default,clear_prototype
20260724T223022Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,0.22137361762620741,0.5443634106384603,0.22277801565215352,0.9428650850072934,0.5,0.3052071112950713,0.45088339701488656,0.0,0.0,0.004825614190241603,0.005979355349028155,0.2678897959435212,0.19624080872494817,0.0,0.5,0.057050255215247286,0.43777817509311406,0.03556954607718463,0.477122181908488,1,0.8524670705762892,0.5554004689729957,0.40063675114737274,0.3675879836736978,0.7724567622881443,0.05291550176219862,0.8524670705762892,0.08001030828814493,0.014607119373367063,cond-2f7c5c4be6cf31156182,1,tenant_tier_daily_join,multiregion_union,pilot-balanced-v1,default,clear_prototype
20260724T223038Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,0.22014437476914073,0.5332406852750635,0.22277801565215352,0.9235999595592552,0.0,0.0,0.0,0.0,0.007561141624794636,0.0038481527180242087,0.008129804875101357,0.2649461597478896,0.19293142095945223,0.0,0.5,0.25,0.451428341905762,0.45279098958858355,0.08783332806498906,2,0.8879281990707626,0.45035188528089437,0.32486021577487084,0.2629188185714837,0.8220106670409437,0.06591753202981888,0.036555839079419554,0.8879281990707626,0.009598429819998951,cond-4f778474755e588e8aa1,1,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,clear_prototype
20260724T223052Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,0.22161628375571082,0.5366210129334394,0.22277801565215352,0.9294548588097926,0.5,0.3054617762148651,0.4276035201922874,0.0,0.0,0.004618802153517007,0.007071067811865424,0.2649461597478896,0.19293142095945223,0.0,0.5,0.25,0.46609243817419044,0.4526733292456318,0.3464651729614107,1,0.9835075677678956,0.09869046906476145,0.0711901251513685,0.15056494944348445,0.9736604676401907,0.0051711561417865665,0.9835075677678956,0.009847100127704934,0.0014741759626129228,cond-2934cc7da1de670fd716,4,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,clear_prototype
20260724T223108Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,0.2217018427639199,0.5266783542068653,0.22277801565215352,0.912233668733048,0.0,0.0,0.0,0.0,0.0,0.004768141942712489,0.016582159592623078,0.19293142095945223,0.19293142095945223,0.0,0.5,0.06855514951318495,0.4577650279809882,0.06855514951318495,0.08899272939174618,2,0.8200078122950432,0.6255610913790257,0.45124694215280403,0.3207506484010092,0.7059981824946683,0.11400962980037492,0.05053809854844717,0.8200078122950432,0.015444459356134662,cond-7a5d985fe2a5157c737d,0,daily_tenant_rollup,fdw_raw,pilot-balanced-v1,default,clear_prototype
20260724T223122Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,0.22151757964696056,0.5266783542068653,0.22277801565215352,0.912233668733048,0.0,0.0,0.0,0.0,0.0,0.004768141942712489,0.016582159592623078,0.19293142095945223,0.19293142095945223,0.0,0.5,0.06855514951318495,0.4577638214374653,0.06855514951318495,0.08899272939174618,2,0.8199965787327197,0.6255810668609172,0.45126135141713614,0.3207452674369976,0.7059728435561199,0.11402373517659986,0.05053510127078248,0.8199965787327197,0.015444584819897966,cond-7a5d985fe2a5157c737d,4,daily_tenant_rollup,fdw_raw,pilot-balanced-v1,default,clear_prototype
20260724T223137Z-repeatability-v1__pilot-balanced-v1_--29477138269d--_event_filter_summary__lookback_days-3__min_value-0,0.22240633120008307,0.5473051085948707,0.22277801565215352,0.9479602553283177,0.5,0.3184361702711856,0.4566126424293898,0.0,0.0,0.004618802153517007,0.017320508075688773,0.19293142095945223,0.19293142095945223,0.0,0.5,0.25,0.462783050626451,0.25,0.3464651729614107,1,0.9932644868097544,0.04637567795049724,0.03345298029852301,0.10895575992728657,0.9892922271552519,0.0021806241307862784,0.9932644868097544,0.003972259654502504,0.0005826294049568279,cond-fb730b7faa8045049194,4,event_filter_summary,fdw_raw,pilot-balanced-v1,default,clear_prototype
20260724T223152Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,0.20743115165670586,0.5338227017332962,0.22277801565215352,0.9246080416357554,0.5,0.3761854860331728,0.4362455293434658,0.0,0.0,0.005062586315655295,0.014361946994766775,0.19624080872494817,0.19624080872494817,0.0,0.5,0.23363563184462444,0.4689462388033425,0.06018856474743317,0.477122181908488,1,0.9119546145241066,0.37994644320210214,0.2740734247055365,0.2955059034022281,0.8640924383501765,0.031272785935416214,0.9119546145241066,0.04786217617393019,0.008910423366546905,cond-1ef8768e78a1de56adf1,2,tenant_tier_daily_join,fdw_raw,pilot-balanced-v1,default,clear_prototype
20260724T223207Z-repeatability-v1__pilot-balanced-v1_--2eb038d165f6--_rollup__lookback_days-7__min_value-500__limit_k-50,0.2204695835631924,0.5332480381480014,0.22277801565215352,0.9236126951087651,0.5,0.3055815169515816,0.4146976061334381,0.0,0.0019923166615363128,0.004539842065604365,0.007012541654880754,0.2649461597478896,0.19293142095945223,0.0,0.5,0.25,0.4671091377916836,0.4608947694817842,0.2494132380251841,1,0.964387798899964,0.1848669219782524,0.13335329578121585,0.19526723565080498,0.9425714545497428,0.010693044830096459,0.964387798899964,0.021816344350221156,0.003102811919718525,cond-6c9e6448bb422a2bdfa0,1,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,clear_prototype
20260724T223223Z-repeatability-v1__pilot-balanced-v1_--f19771bc7362--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,0.22238227018431425,0.50884825662058,0.30593347330240334,0.8813510338096907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192738269154615,0.009791833335309523,0.0,0.0,0.25,0.4599207302501056,0.25,0.47033775845242265,0,0.8179631153411436,0.6167705961422124,0.44490594021024976,0.30497391454407163,0.6870254252475885,0.8179631153411436,0.031013656637042728,0.13093769009355516,0.020085537928258474,cond-0815667b5c439756a642,2,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,clear_prototype
