fuzzifier,seed,objective,iterations,converged,ari_with_final,nmi_with_final,center_shift_mean,center_shift_max
1.5,0,162.71033355508936,15,True,1.0,1.0,0.015195419365181236,0.027767957307129526
1.5,1,179.13522739608726,15,True,0.5788626433119042,0.7766123110837299,0.24607286797636196,0.7545466002639963
1.5,2,162.7103329244635,16,True,1.0,1.0,0.015194801857680948,0.027764402278591605
1.5,3,162.7103316875428,16,True,1.0,1.0,0.015193669434352679,0.027757885327513217
1.5,4,162.71034151005847,14,True,1.0,1.0,0.015201413939801386,0.027802647980855702
1.5,5,162.71032547401975,21,True,1.0,1.0,0.01516078434705638,0.02756614114102539
1.5,6,162.71034052695248,16,True,1.0,1.0,0.015200956007365624,0.027799963328391623
1.5,7,162.71032685651346,15,True,1.0,1.0,0.01518862341110809,0.02772876865859444
1.5,8,162.71033599821567,20,True,1.0,1.0,0.015151525468945312,0.027512019296982965
1.5,9,162.7103312342996,13,True,1.0,1.0,0.015193005525964044,0.027754322421515584
1.7,0,145.54346454183627,33,True,0.8720591306479925,0.8244275857144039,0.1385779851043007,0.4059053495075233
1.7,1,152.61070317288295,16,True,0.5788626433119042,0.7766123110837299,0.23295713812766197,0.7441016048893447
1.7,2,142.89010110978808,19,True,1.0,1.0,7.920741456758824e-05,0.00017814364868578352
1.7,3,142.89009669212072,20,True,1.0,1.0,6.355093113557179e-05,0.00013703369517021946
1.7,4,142.89009780888702,20,True,1.0,1.0,6.763360754229473e-05,0.00014732570063707615
1.7,5,142.89008418336866,20,True,1.0,1.0,2.2965864067909566e-16,2.4097695144631847e-16
1.7,6,142.89010978804635,20,True,1.0,1.0,0.0001070323445810862,0.0002489123212199995
1.7,7,142.89009872533018,19,True,1.0,1.0,7.090974441522205e-05,0.00015584201606773634
1.7,8,142.89008904391034,23,True,1.0,1.0,3.4029587309902204e-05,6.751976161816868e-05
1.7,9,142.8900974385887,18,True,1.0,1.0,6.62649810551876e-05,0.00014417934970283847
2.0,0,111.3017318294366,35,True,1.0,1.0,0.022446504751399976,0.03811251994311889
2.0,1,111.49196014529582,31,True,0.8576303353019284,0.8102882203239422,0.1542219177028173,0.4429386530179514
2.0,2,114.4300662675162,20,True,0.5788626433119042,0.7766123110837299,0.2278390564688392,0.73499504075791
2.0,3,114.4300979196138,22,True,0.5788626433119042,0.7766123110837299,0.2277701271296801,0.7348905246054407
2.0,4,111.4919413829746,33,True,0.8576303353019284,0.8102882203239422,0.1542705470362114,0.44310016692553944
2.0,5,111.49195324526704,41,True,0.8576303353019284,0.8102882203239422,0.15423877175395492,0.44299464330377447
2.0,6,111.30170989364574,26,True,1.0,1.0,0.022406327527020722,0.03803394034708002
2.0,7,111.30170463952723,27,True,1.0,1.0,0.022395678548251988,0.03801155116738304
2.0,8,111.30173866713227,36,True,1.0,1.0,0.022458147993304492,0.03813583142567672
2.0,9,111.30171538951919,31,True,1.0,1.0,0.02241674294234152,0.038053087670297504
