query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,3,1,0.9936149131800286,0.13980602596999533,0.9884986134352688,0.0012687870752116153,1.440012179283584,0.9936149131800286,0.13980602596999533,0.005116299744759829,0.8839295104186575
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,3,1,0.9955387572713474,0.1284260288232052,0.9919924999433035,0.0009149854006085176,1.4841522547969765,0.9955387572713474,0.1284260288232052,0.003546257328043952,0.9237486732372092
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,3,1,0.9923972199203323,0.15657512510057237,0.9863754151048743,0.0015809752642098767,1.4925845083783742,0.9923972199203323,0.15657512510057237,0.0060218048154579516,0.9346701430672035
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,3,2,0.6690930835842837,0.5701603310126914,0.40844995438442316,0.07026378721585581,1.2547616685061127,0.2606431291998605,0.7930509483177898,0.6690930835842837,0.5701603310126914
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,3,1,0.9948072072297363,0.12773648015007094,0.9906303254353148,0.0010159109758422396,1.4227352422668875,0.9948072072297363,0.12773648015007094,0.004176881794421482,0.8674117545217446
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,3,2,0.9408240755080383,0.30134313617733915,0.905197190692087,0.023549039676010398,1.0954653145320306,0.03562688481595125,0.9476915411732697,0.9408240755080383,0.30134313617733915
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,3,2,0.9427052574258517,0.29758876109525595,0.9082812528957931,0.022870738044089737,1.0937045974562902,0.034424004530058554,0.9478652767219108,0.9427052574258517,0.29758876109525595
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,3,1,0.9610135584119283,0.2837913984801672,0.9303087000012825,0.008281583177426012,1.4983555455140938,0.9610135584119283,0.2837913984801672,0.030704858410645717,0.9471790283826408
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,3,2,0.6668365899628416,0.5723097926689017,0.4055978763389308,0.07192469641324764,1.2477588580234154,0.26123871362391077,0.7944651239793671,0.6668365899628416,0.5723097926689017
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,3,0,0.9980071503666029,0.10797003418638475,0.9965765181405118,0.9980071503666029,0.10797003418638475,0.0005622174073060482,1.4809265409890975,0.0014306322260910613,1.067985155181742
20260626T114026Z-clean-run-eu-us-gac-v1__pilot-balanc--9ae2eee364f6--fdw_user_segment_join__lookback_days-3__limit_k-100,3,1,0.9940018107019726,0.14244652151167334,0.9892279532281281,0.0012243318241828645,1.4858421065008585,0.9940018107019726,0.14244652151167334,0.0047738574738445646,0.9228541143486693
20260626T114047Z-clean-run-eu-us-gac-v1__pilot-balanc--7ff82d8a65bb--_tenant_id-100__us_tenant_id-10100__lookback_days-7,3,2,0.9434974078345645,0.29599454574013967,0.9095811483401695,0.02258633267104049,1.0929415965830669,0.033916259494395,0.9479821832313476,0.9434974078345645,0.29599454574013967
20260626T114102Z-clean-run-eu-us-gac-v1__pilot-balanc--cf58a22247ac--multi_dimension_rollup__lookback_days-7__limit_k-25,3,1,0.970154013309879,0.2537380796927139,0.9466254870810782,0.0063174604613199644,1.4777126870038053,0.970154013309879,0.2537380796927139,0.023528526228800917,0.9326565286974141
