query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2,membership_c3,distance_c3
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,4,1,0.9871845073818629,0.1366480640250296,0.9795397030244354,0.004036625105615515,0.9365618281712408,0.9871845073818629,0.1366480640250296,0.0076448043574275405,0.7489704228343439,0.0011340631550939336,1.4605615544451598
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,4,1,0.9916427006168846,0.12383438302082185,0.986816836749329,0.0027423086850809682,0.9732509870047692,0.9916427006168846,0.12383438302082185,0.004825863867555689,0.7985724036200557,0.0007891268304787333,1.5050959533855113
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,4,1,0.985451862116425,0.15283571883049837,0.9771396648406774,0.0048281150900459395,0.9832752191839734,0.985451862116425,0.15283571883049837,0.008312197275747595,0.8130115479384041,0.0014078255177813709,1.5135792578033889
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,4,2,0.8843647236225618,0.26698211232984503,0.8167168730203116,0.0676478506022502,0.656469053358395,0.03784713337683082,0.8044362111368134,0.8843647236225618,0.26698211232984503,0.010140292398357205,1.2755147678104557
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,4,1,0.9890654508615452,0.1267174077899792,0.9824960232644906,0.0034176310196186305,0.9212154875671242,0.9890654508615452,0.1267174077899792,0.006569427597054616,0.7328758409917684,0.0009474905217816525,1.443324006734727
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,4,0,0.8253826449071828,0.29927643107930035,0.6997205557251186,0.8253826449071828,0.29927643107930035,0.029645985689754344,0.9587686381036684,0.1256620891820642,0.5783362120760664,0.01930928022099866,1.1139963115087625
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,4,0,0.8314777163709789,0.29460408571051555,0.7101717473252824,0.8314777163709789,0.29460408571051555,0.028535905664285457,0.9589575868475076,0.1213059690456964,0.577866769176884,0.018680408919039257,1.1122470129430224
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,4,1,0.9271057646460912,0.2831530650860437,0.8876779580005508,0.02583456032161714,0.9913936652170949,0.9271057646460912,0.2831530650860437,0.03942780664554033,0.85503836041254,0.007631868386751252,1.5191326935880687
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,4,2,0.8810755809002625,0.2704555500214559,0.8117331172409472,0.0693424636593153,0.6584165853152586,0.03893191806908176,0.805830081479491,0.8810755809002625,0.2704555500214559,0.010650037371340397,1.2684624330863898
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,4,3,0.9980100548540298,0.09272521226971445,0.9970552357180337,0.0009548191359961437,1.0566293430504046,0.00035738955557197444,1.4903744864812776,0.0006777364544020592,1.1913071843652727,0.9980100548540298,0.09272521226971445
20260626T114026Z-clean-run-eu-us-gac-v1__pilot-balanc--9ae2eee364f6--fdw_user_segment_join__lookback_days-3__limit_k-100,4,1,0.9882818079105611,0.13952879483561653,0.981519733268794,0.0038540281702030147,0.9723036448625701,0.9882818079105611,0.13952879483561653,0.0067620746417670855,0.7986272732262278,0.0011020892774689678,1.5069410083149297
20260626T114047Z-clean-run-eu-us-gac-v1__pilot-balanc--7ff82d8a65bb--_tenant_id-100__us_tenant_id-10100__lookback_days-7,4,0,0.8341106186250749,0.2925887426237014,0.7146926670506849,0.8341106186250749,0.2925887426237014,0.02805998054345156,0.9590810545968499,0.11941795157438995,0.577712180146635,0.018411449257083698,1.111488820147545
20260626T114102Z-clean-run-eu-us-gac-v1__pilot-balanc--cf58a22247ac--multi_dimension_rollup__lookback_days-7__limit_k-25,4,1,0.9436652970565245,0.24941249079004665,0.9118137221050786,0.018851495603752957,0.9811455990219878,0.9436652970565245,0.24941249079004665,0.03185157495144591,0.8165986826656896,0.005631632388276603,1.497553994043519
20260626T114121Z-clean-run-eu-us-gac-v1__pilot-balanc--18e4a849bf0b--t__gac_fdw_top_tenants__lookback_days-7__limit_k-50,4,1,0.9890954490593741,0.12652526474189948,0.9825460667930228,0.0034106104996361633,0.920490651826615,0.9890954490593741,0.12652526474189948,0.006549382266351292,0.7325554557463361,0.000944558174638348,1.4427150994328781
20260626T114141Z-clean-run-eu-us-gac-v1__pilot-balanc--c5f0b3a0235d--multi_dimension_rollup__lookback_days-3__limit_k-50,4,1,0.9354145676358764,0.2657988825106612,0.8989535379609385,0.02158474069445233,0.9941529450978877,0.9354145676358764,0.2657988825106612,0.03646102967493791,0.8274932706716861,0.006539661994733401,1.5099419119249333
20260626T114208Z-clean-run-eu-us-gac-v1__pilot-balanc--87ab183b9917--ollup__lookback_days-30__min_value-900__limit_k-100,4,2,0.8825365832999867,0.268711245533745,0.8140062341799029,0.06853034912008382,0.6572540371763855,0.038214944518471974,0.8063259951465862,0.8825365832999867,0.268711245533745,0.010718123061457432,1.2582030517868557
20260626T114226Z-clean-run-eu-us-gac-v1__pilot-balanc--d3c81087e30d--ulti_dimension_rollup__lookback_days-30__limit_k-10,4,1,0.8811426819400668,0.3633895163169482,0.8174328778765739,0.041378132376292794,1.0599094585598448,0.8811426819400668,0.3633895163169482,0.06370980406349291,0.911310518739892,0.01376938162014721,1.5578244815845228
20260626T114249Z-clean-run-eu-us-gac-v1__pilot-balanc--e5ccb3819851--__limit_k-100__payload_repeat-64__payload_width-512,4,1,0.43161188026590036,0.823931354509456,0.18367264101541067,0.16929492442202254,1.1432687652751465,0.43161188026590036,0.823931354509456,0.2479392392504897,1.0003520678783666,0.15115395606158746,1.1895340699821146
20260626T114304Z-clean-run-eu-us-gac-v1__pilot-balanc--068c334e695d--ollup__lookback_days-14__min_value-900__limit_k-100,4,2,0.8875542283196586,0.2633349327573469,0.8217303733384944,0.06582385498116419,0.6545495502767794,0.03642285557042831,0.8051852143668177,0.8875542283196586,0.2633349327573469,0.01019906112874891,1.2571312441035174
20260626T114320Z-clean-run-eu-us-gac-v1__pilot-balanc--3defc2041615--gion_user_segment_join__lookback_days-7__limit_k-25,4,1,0.9474058759004261,0.24814691606045852,0.9176702501709084,0.017693562510387683,0.9994501981519005,0.9474058759004261,0.24814691606045852,0.029735625729517757,0.8333923880844433,0.00516493585966844,1.5378847190667178
