feature,family,transform,neutral,missing_count,missing_share,semantic_min,semantic_median,semantic_p99,semantic_max,dropped_as_redundant,redundant_with,family_feature_count,family_energy_weight
foreign_scan_time_to_root_ratio,remote_fanin_fetch,nonnegative_log_atan,0.0,0,0.0,0.012760477670285738,0.38584841310354434,0.3858626950974346,0.38586270367875986,False,,3,0.5773502691896258
remote_to_final_rows_ratio,remote_fanin_fetch,nonnegative_log_atan,0.0,0,0.0,0.38586284191890446,0.38586284191890446,0.9608139809680539,0.9643104017412721,False,,3,0.5773502691896258
regional_input_to_wan_rows_ratio,remote_fanin_fetch,nonnegative_log_atan,0.0,0,0.0,0.0007216687947409978,0.38586284191890446,0.9559212330061185,0.955962553223187,False,,3,0.5773502691896258
global_group_merge_ratio,regional_reduction,nonnegative_log_atan,0.0,0,0.0,0.38586284191890446,0.38586284191890446,0.9608139809680539,0.9643104017412721,False,,1,1.0
spill_present,normalized_spill_pressure,binary,0.0,0,0.0,0.0,0.0,1.0,1.0,False,,4,0.5
spill_bytes_to_wan_bytes_ratio,normalized_spill_pressure,nonnegative_log_atan,0.0,0,0.0,0.0,0.0,0.9303160480385834,0.9348202005437322,False,,4,0.5
temp_blocks_per_final_row,normalized_spill_pressure,nonnegative_log_atan,0.0,0,0.0,0.0,0.0,0.9558550195255145,0.9586253191413429,False,,4,0.5
hash_batch_excess,normalized_spill_pressure,nonnegative_log_atan,0.0,0,0.0,0.0,0.0,0.8988110550874787,0.9087845498131958,False,,4,0.5
remote_region_rows_isf_normalized,skew_imbalance,bounded_share,0.0,0,0.0,0.0,0.0,0.0,0.0,False,,3,0.5773502691896258
worker_task_scan_rows_isf_normalized,skew_imbalance,bounded_share,0.0,52,0.4,0.0,0.0009886897386613002,0.2243848147485112,0.3749342392401083,False,,3,0.5773502691896258
worker_scan_rows_cv_normalized,skew_imbalance,bounded_share,0.0,52,0.4,0.0,0.0003440800682337,0.27180605026015087,0.4449719996865339,False,,3,0.5773502691896258
task_count_to_shard_count_ratio,citus_topology_normalized,nonnegative_log_atan,0.0,0,0.0,0.09048650725422959,0.5298923194957792,0.5298923194957792,0.5298923194957792,False,,4,0.5
active_task_share,citus_topology_normalized,nonnegative_log_atan,0.0,0,0.0,0.04709251569337577,0.38586284191890446,0.38586284191890446,0.38586284191890446,False,,4,0.5
citus_repartition_observed_v2,citus_topology_normalized,binary,0.0,0,0.0,0.0,0.0,1.0,1.0,False,,4,0.5
worker_task_seq_scan_share,citus_topology_normalized,bounded_share,0.0,52,0.4,0.0,0.3333333333333333,1.0,1.0,False,,4,0.5
root_rows_estimate_error_log,estimate_error,signed_atan,0.5,0,0.0,0.5,0.5,0.5,0.5,False,,4,0.5
foreign_scan_rows_estimate_error_log,estimate_error,signed_atan,0.5,0,0.0,0.5,0.5,0.971935337500698,0.9724468606691128,False,,4,0.5
aggregate_rows_estimate_error_log,estimate_error,signed_atan,0.5,74,0.5692307692307692,0.5,0.5,0.5,0.5,False,,4,0.5
remote_root_rows_estimate_error_log,estimate_error,signed_atan,0.5,0,0.0,0.07206466339431633,0.5,0.9718742889487613,0.9718742889487613,False,,4,0.5
