query_run_id,k,dominant_cluster,nearest_center,nearest_center_distance,frozen_p99_threshold,ood_above_frozen_p99,max_membership,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2,membership_c3,distance_c3,query_id,table_count_stratum,execution_status,comparison_status,plan_fingerprint,remote_plan_fingerprint
20260727T115549Z-stats-ceb-full-no-refit-v1__stats-ce--6ad9e47ac3c4--l_no_refit__stats_ceb_multiregion_count__query_id-1,3,2,2,0.5109862452566315,0.9794666794909843,False,0.7081966298282146,0.46719367814948165,0.05080041849305239,1.2850188782067284,0.24100295167873295,0.745169778095755,0.7081966298282146,0.5109862452566315,,,1,2,completed,passed,1b7f46eaa898c44ab92b5aaf27f6c326cfa87884e2c69ec59d17ff1ad961a892,8a03e9825460266c1c5ee6b8115fa4d46cc72fa4e44bea59b3694a1eb82ca698
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,3,2,2,0.6834807458795825,0.9794666794909843,False,0.528709190605357,0.2045446949912108,0.32416449561414623,0.8111184484839066,0.14712631378049673,1.0694501895143713,0.528709190605357,0.6834807458795825,,,2,2,completed,passed,a61e765b750266651be18049831f4d520db4ce84c984e9f99093f87fd948b4b1,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,0,0,0.7515661781623841,0.9794666794909843,False,0.46844416625284746,0.05545733261908797,0.46844416625284746,0.7515661781623841,0.11856900011339315,1.2156472302158983,0.4129868336337595,0.7854522676238795,,,3,2,completed,passed,64790af6df6f8a86d63bc52560bcdc24f162667988c855776f540685a0c84c52,ec06ae4326c16ee501174319925a70a441aaea975b2991d87836835405075474
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,3,0,0,0.751566185307196,0.9794666794909843,False,0.46844416205139494,0.055457326347664815,0.46844416205139494,0.751566185307196,0.11856900224487506,1.215647230307775,0.4129868357037301,0.7854522712472986,,,4,2,completed,passed,73ff659f068119a4d56c0093c084293660d444cef14141610aef50dfaf372bec,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,3,0,0,0.7515661387088224,0.9794666794909843,False,0.4684441894532234,0.05545736724982253,0.4684441894532234,0.7515661387088224,0.11856898834337583,1.2156472297085648,0.4129868222034009,0.7854522476154117,,,5,2,completed,passed,57b85d27a5f8a070105f5fcd9bd17528ce2d4c7dfdf94a380911013b63125a00,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,3,2,2,0.6819919395779819,0.9794666794909843,False,0.5287063613556117,0.2040378056543949,0.3246685557012168,0.8089100834981878,0.14662508294317142,1.0683939856102633,0.5287063613556117,0.6819919395779819,,,6,2,completed,passed,93b0cc62f1504adf379208285a7f2914ae8145a59621baeda34f85d7b89ac94c,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,3,0,0,0.7515662038348068,0.9794666794909843,False,0.46844415115637517,0.05545731008489002,0.46844415115637517,0.7515662038348068,0.11856900777213973,1.215647230546028,0.41298684107148514,0.7854522806433909,,,7,3,completed,passed,3d328c39b00b8e4acb3138224a49b9b217c7d245fe80bad2c7fadd4defe66180,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb
20260727T115842Z-stats-ceb-full-no-refit-v1__stats-ce--f8f54b110303--l_no_refit__stats_ceb_multiregion_count__query_id-8,3,0,0,0.7515661000870839,0.9794666794909843,False,0.4684442121644632,0.0554574011504379,0.4684442121644632,0.7515661000870839,0.11856897682151159,1.215647229211943,0.4129868110140253,0.7854522280288059,,,8,3,completed,passed,8fd53776ecb8506af48a295c2d90bf1787bce1c3aa7ecbcc11646600c0e4d6ca,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb
20260727T115914Z-stats-ceb-full-no-refit-v1__stats-ce--12174756d103--l_no_refit__stats_ceb_multiregion_count__query_id-9,3,1,1,0.40346337529536513,0.9794666794909843,False,0.8777211028986095,0.7786726353773257,0.023230429580106807,1.4383311038712527,0.8777211028986095,0.40346337529536513,0.0990484675212838,0.8658291243118815,,,9,3,completed,passed,1c55e777bb92043d09ee71038733d480fed686ce4cb09af6be8d774f142f601a,8a03e9825460266c1c5ee6b8115fa4d46cc72fa4e44bea59b3694a1eb82ca698
20260727T115933Z-stats-ceb-full-no-refit-v1__stats-ce--d73e9910fa0f--_no_refit__stats_ceb_multiregion_count__query_id-10,3,0,0,0.7515661874542746,0.9794666794909843,False,0.4684441607888215,0.05545732446304713,0.4684441607888215,0.7515661874542746,0.11856900288540409,1.215647230335385,0.4129868363257744,0.785452272336168,,,10,3,completed,passed,abb5c8c34b7648e3ea61615119f5fa25b72554ab166b5080db6ccc255f16032a,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb
