query_run_id,query_id,execution_status,collection_error_count,fdw_remote_probe_status,plan_fingerprint,remote_plan_fingerprint,table_count_stratum,expected_count,selection_hash,region_fragment_count,worker_task_fragment_count,plan_file_count,baseline_status,eu_status,us_status,comparison_status,database_result_rows_persisted
20260727T115549Z-stats-ceb-full-no-refit-v1__stats-ce--6ad9e47ac3c4--l_no_refit__stats_ceb_multiregion_count__query_id-1,1,completed,0.0,disabled,1b7f46eaa898c44ab92b5aaf27f6c326cfa87884e2c69ec59d17ff1ad961a892,8a03e9825460266c1c5ee6b8115fa4d46cc72fa4e44bea59b3694a1eb82ca698,2,79851,f30813695fed647c35a6f7b3be8b4d0593eb249570117c2849371829bf38ca76,4.0,4.0,5.0,passed,passed,passed,passed,False
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,2,completed,0.0,disabled,a61e765b750266651be18049831f4d520db4ce84c984e9f99093f87fd948b4b1,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5,2,10220614,01445b220974f44e87bfb481461fe9ed49484e90c9cadde11e7d5378d454fd06,2.0,64.0,3.0,passed,passed,passed,passed,False
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,3,completed,0.0,disabled,64790af6df6f8a86d63bc52560bcdc24f162667988c855776f540685a0c84c52,ec06ae4326c16ee501174319925a70a441aaea975b2991d87836835405075474,2,1458075,5ee229b294e6ec8e3e80e9eaa709d9daaf0e6a6646771d111be2c6da222144e2,2.0,0.0,27.0,passed,passed,passed,passed,False
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,4,completed,0.0,disabled,73ff659f068119a4d56c0093c084293660d444cef14141610aef50dfaf372bec,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb,2,1709781,0170375706ce730fac13565fda6f891b3e0c6b735f3b2a386b27fa182c6aa177,2.0,0.0,27.0,passed,passed,passed,passed,False
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,5,completed,0.0,disabled,57b85d27a5f8a070105f5fcd9bd17528ce2d4c7dfdf94a380911013b63125a00,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb,2,7491903,d66a94e4c75da31575ed996fbc8064f8841e403e652ca4ae1675d963567a7473,2.0,0.0,27.0,passed,passed,passed,passed,False
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,6,completed,0.0,disabled,93b0cc62f1504adf379208285a7f2914ae8145a59621baeda34f85d7b89ac94c,53ef019da633214c1a4aefc987769626492e4f2acfd3604842e698cc16067cc5,2,428612,8e8a31024020b99623644b6bdc1f217ceb9640ecc35422c5caf0cf3aded4c848,2.0,64.0,3.0,passed,passed,passed,passed,False
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,7,completed,0.0,disabled,3d328c39b00b8e4acb3138224a49b9b217c7d245fe80bad2c7fadd4defe66180,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb,3,699302,a62315fd31fc65119e5b84cf5d6e8085d188819a6c46333b5c454b75f05de3d8,2.0,0.0,25.0,passed,passed,passed,passed,False
20260727T115842Z-stats-ceb-full-no-refit-v1__stats-ce--f8f54b110303--l_no_refit__stats_ceb_multiregion_count__query_id-8,8,completed,0.0,disabled,8fd53776ecb8506af48a295c2d90bf1787bce1c3aa7ecbcc11646600c0e4d6ca,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb,3,481420,4f5fa6b58f5064f727f954397e81a86779e3d4420394095af7cab490ecde0023,2.0,0.0,25.0,passed,passed,passed,passed,False
20260727T115914Z-stats-ceb-full-no-refit-v1__stats-ce--12174756d103--l_no_refit__stats_ceb_multiregion_count__query_id-9,9,completed,0.0,disabled,1c55e777bb92043d09ee71038733d480fed686ce4cb09af6be8d774f142f601a,8a03e9825460266c1c5ee6b8115fa4d46cc72fa4e44bea59b3694a1eb82ca698,3,698213,829da9a41de4e241237a33f79a521ef518d73a1a6d2bed135d17214a11ceb52e,4.0,128.0,5.0,passed,passed,passed,passed,False
20260727T115933Z-stats-ceb-full-no-refit-v1__stats-ce--d73e9910fa0f--_no_refit__stats_ceb_multiregion_count__query_id-10,10,completed,0.0,disabled,abb5c8c34b7648e3ea61615119f5fa25b72554ab166b5080db6ccc255f16032a,2b7ad0128b6e38cb5c9322eeea6a7031da4940d1e7db976c53a9c328230da0eb,3,780683,ae0a32be685c2939913c629083632df16b96a0a1dfaf95987e3c2e20a197da5f,2.0,0.0,26.0,passed,passed,passed,passed,False
