query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260727T115549Z-stats-ceb-full-no-refit-v1__stats-ce--6ad9e47ac3c4--l_no_refit__stats_ceb_multiregion_count__query_id-1,0.3660007658669615,0.9457048282456145,0.38586284191890446,0.9457048282456145,0.0,0.0,0.0,0.0,0.0,0.1096336484267518,0.0,0.5298923194957792,0.38586284191890446,0.0,1.0,0.5,0.9164365791200187,0.5,0.9718742889487613
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,0.3858569376806456,0.38586284191890446,0.9462483478648464,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0008427132998948,0.0001969549416687,0.5298923194957792,0.38586284191890446,0.0,0.5,0.5,0.5,0.5,0.5
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,0.385861784145531,0.38586284191890446,0.38586284191890446,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298923194957792,0.38586284191890446,1.0,0.0,0.5,0.5,0.5,0.5
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,0.3858618273599362,0.38586284191890446,0.38586284191890446,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298923194957792,0.38586284191890446,1.0,0.0,0.5,0.5,0.5,0.5
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,0.38586154551604185,0.38586284191890446,0.38586284191890446,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298923194957792,0.38586284191890446,1.0,0.0,0.5,0.5,0.5,0.5
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,0.3858495960549394,0.38586284191890446,0.9404300695827946,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0006981641091667,0.0021502803321773,0.5298923194957792,0.38586284191890446,0.0,0.5,0.5,0.5,0.5,0.5
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,0.3858619394216038,0.38586284191890446,0.38586284191890446,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298923194957792,0.38586284191890446,1.0,0.0,0.5,0.5,0.5,0.5
20260727T115842Z-stats-ceb-full-no-refit-v1__stats-ce--f8f54b110303--l_no_refit__stats_ceb_multiregion_count__query_id-8,0.385861311917586,0.38586284191890446,0.38586284191890446,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298923194957792,0.38586284191890446,1.0,0.0,0.5,0.5,0.5,0.5
20260727T115914Z-stats-ceb-full-no-refit-v1__stats-ce--12174756d103--l_no_refit__stats_ceb_multiregion_count__query_id-9,0.3597219761767197,0.9514026173844953,0.4241194749974117,0.9514026173844953,1.0,0.8280353195931957,0.9321294410019052,0.38586284191890446,0.0,0.0007756757294913,0.0016627817530749,0.5298923194957792,0.38586284191890446,0.0,0.3333333333333333,0.5,0.9526286192527023,0.5,0.7664613461098057
20260727T115933Z-stats-ceb-full-no-refit-v1__stats-ce--d73e9910fa0f--_no_refit__stats_ceb_multiregion_count__query_id-10,0.38586184034624366,0.38586284191890446,0.38586284191890446,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298923194957792,0.38586284191890446,1.0,0.0,0.5,0.5,0.5,0.5
