query_run_id,foreign_scan_time_to_root_ratio,remote_to_final_rows_ratio,regional_input_to_wan_rows_ratio,global_group_merge_ratio,spill_present,spill_bytes_to_wan_bytes_ratio,temp_blocks_per_final_row,hash_batch_excess,remote_region_rows_isf_normalized,worker_task_scan_rows_isf_normalized,worker_scan_rows_cv_normalized,task_count_to_shard_count_ratio,active_task_share,citus_repartition_observed_v2,worker_task_seq_scan_share,root_rows_estimate_error_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,remote_root_rows_estimate_error_log
20260727T115549Z-stats-ceb-full-no-refit-v1__stats-ce--6ad9e47ac3c4--l_no_refit__stats_ceb_multiregion_count__query_id-1,0.21131064069689945,0.5460029371615345,0.22277801565215352,0.9457048282456145,0.0,0.0,0.0,0.0,0.0,0.06329701643142595,0.0,0.2649461597478896,0.19293142095945223,0.0,0.5,0.25,0.4582182895600094,0.25,0.48593714447438063
20260727T115605Z-stats-ceb-full-no-refit-v1__stats-ce--efd1bcfe46ec--l_no_refit__stats_ceb_multiregion_count__query_id-2,0.22277460683860542,0.22277801565215352,0.5463167383600077,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0004865407505439407,0.000113711988590651,0.2649461597478896,0.19293142095945223,0.0,0.25,0.25,0.25,0.25,0.25
20260727T115622Z-stats-ceb-full-no-refit-v1__stats-ce--bac3f3236be8--l_no_refit__stats_ceb_multiregion_count__query_id-3,0.22277740494641163,0.22277801565215352,0.22277801565215352,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649461597478896,0.19293142095945223,0.5,0.0,0.25,0.25,0.25,0.25
20260727T115653Z-stats-ceb-full-no-refit-v1__stats-ce--191e461955c5--l_no_refit__stats_ceb_multiregion_count__query_id-4,0.2227774298962601,0.22277801565215352,0.22277801565215352,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649461597478896,0.19293142095945223,0.5,0.0,0.25,0.25,0.25,0.25
20260727T115724Z-stats-ceb-full-no-refit-v1__stats-ce--359439826350--l_no_refit__stats_ceb_multiregion_count__query_id-5,0.22277726717361182,0.22277801565215352,0.22277801565215352,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649461597478896,0.19293142095945223,0.5,0.0,0.25,0.25,0.25,0.25
20260727T115756Z-stats-ceb-full-no-refit-v1__stats-ce--dd2302266d0c--l_no_refit__stats_ceb_multiregion_count__query_id-6,0.22277036814902765,0.22277801565215352,0.542957553827645,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.00040308523636592956,0.0012414649286157224,0.2649461597478896,0.19293142095945223,0.0,0.25,0.25,0.25,0.25,0.25
20260727T115811Z-stats-ceb-full-no-refit-v1__stats-ce--1a7eeba369e7--l_no_refit__stats_ceb_multiregion_count__query_id-7,0.22277749459509405,0.22277801565215352,0.22277801565215352,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649461597478896,0.19293142095945223,0.5,0.0,0.25,0.25,0.25,0.25
20260727T115842Z-stats-ceb-full-no-refit-v1__stats-ce--f8f54b110303--l_no_refit__stats_ceb_multiregion_count__query_id-8,0.22277713230548046,0.22277801565215352,0.22277801565215352,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649461597478896,0.19293142095945223,0.5,0.0,0.25,0.25,0.25,0.25
20260727T115914Z-stats-ceb-full-no-refit-v1__stats-ce--12174756d103--l_no_refit__stats_ceb_multiregion_count__query_id-9,0.20768557977905328,0.549292557254653,0.24486549305831842,0.9514026173844953,0.5,0.4140176597965978,0.4660647205009526,0.19293142095945223,0.0,0.0004478365912256615,0.0009600074927413916,0.2649461597478896,0.19293142095945223,0.0,0.16666666666666666,0.25,0.47631430962635113,0.25,0.3832306730549028
20260727T115933Z-stats-ceb-full-no-refit-v1__stats-ce--d73e9910fa0f--_no_refit__stats_ceb_multiregion_count__query_id-10,0.2227774373939082,0.22277801565215352,0.22277801565215352,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649461597478896,0.19293142095945223,0.5,0.0,0.25,0.25,0.25,0.25
20260727T120003Z-stats-ceb-full-no-refit-v1__stats-ce--4c6ad677a93d--_no_refit__stats_ceb_multiregion_count__query_id-11,0.22277727442958384,0.22277801565215352,0.22277801565215352,0.38586284191890446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649461597478896,0.19293142095945223,0.5,0.0,0.25,0.25,0.25,0.25
