global_slot,trajectory_id,logical_question_id,physical_shape,step_index,repeat_index,slot_role,action_binding,included_in_expected_count,included_in_maximum_count,requires_pre_outcome_decision,dataset_binding,topology_binding,hard_timeout_seconds,live_execution
1,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,0,1,origin_baseline,none,True,True,False,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
2,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,0,2,origin_baseline,none,True,True,False,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
3,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,0,3,origin_baseline,none,True,True,False,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
4,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,1,1,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
5,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,1,2,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
6,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,1,3,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
7,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,2,1,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
8,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,2,2,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
9,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,2,3,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
10,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,3,1,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
11,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,3,2,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
12,trajectory_aggregate_full_flow,event_full_scan_summary,aggregate_full_flow,3,3,adaptive_state,decision_log_action_locked_before_execution,True,True,True,inherit_current_locked_compatible_dataset,existing_eu_us_gac_no_change,900,False
