query_id,repetition_index,mitigation_action,baseline_seconds,action_seconds,paired_log2_gain
q16_event_value_squared,0,increase_gac_work_mem,5.320223,5.230425,0.024558540408379886
q16_event_value_squared,1,increase_gac_work_mem,5.283216,5.29784,-0.00398787903808805
q16_event_value_squared,2,increase_gac_work_mem,5.36034,5.321217,0.01056827398508478
q16_event_value_squared,3,increase_gac_work_mem,5.296819,5.31609,-0.005239318774725691
q16_event_value_squared,4,increase_gac_work_mem,5.332447,5.253613,0.02148779118414945
q16_event_value_squared,0,regional_topk_candidates,5.320223,1.373492,1.9536382109698245
q16_event_value_squared,1,regional_topk_candidates,5.283216,1.429878,1.8855243358328235
q16_event_value_squared,2,regional_topk_candidates,5.36034,1.438619,1.8976399488423454
q16_event_value_squared,3,regional_topk_candidates,5.296819,1.38713,1.9330232090119877
q16_event_value_squared,4,regional_topk_candidates,5.332447,1.450843,1.8779063119064028
q16_event_value_squared,0,mitigate_remote_path_bundle,5.320223,1.071525,2.3118212080680944
q16_event_value_squared,1,mitigate_remote_path_bundle,5.283216,1.178205,2.1648258139582732
q16_event_value_squared,2,mitigate_remote_path_bundle,5.36034,1.107102,2.2755363647723175
q16_event_value_squared,3,mitigate_remote_path_bundle,5.296819,1.231742,2.1044261089235543
q16_event_value_squared,4,mitigate_remote_path_bundle,5.332447,1.106143,2.2692598150542342
q17_event_log_value,0,increase_gac_work_mem,9.908341,9.462022,0.06649500519439222
q17_event_log_value,1,increase_gac_work_mem,9.334101,9.299699,0.0053270563370543264
q17_event_log_value,2,increase_gac_work_mem,9.368504,9.340198,0.00436555748097714
q17_event_log_value,3,increase_gac_work_mem,9.366519,9.306836,0.009222195082227226
q17_event_log_value,4,increase_gac_work_mem,9.272271,9.349226,-0.011924200176132752
q17_event_log_value,0,regional_topk_candidates,9.908341,1.544191,2.681792310763257
q17_event_log_value,1,regional_topk_candidates,9.334101,1.496716,2.6407105803491784
q17_event_log_value,2,regional_topk_candidates,9.368504,1.519333,2.624380583628193
q17_event_log_value,3,regional_topk_candidates,9.366519,1.526217,2.6175528786969497
q17_event_log_value,4,regional_topk_candidates,9.272271,1.507621,2.6206489366189127
q17_event_log_value,0,mitigate_remote_path_bundle,9.908341,1.841569,2.4277080672148803
q17_event_log_value,1,mitigate_remote_path_bundle,9.334101,1.676716,2.4768727303599705
q17_event_log_value,2,mitigate_remote_path_bundle,9.368504,1.800425,2.37948118831453
q17_event_log_value,3,mitigate_remote_path_bundle,9.366519,1.671252,2.486583693362301
q17_event_log_value,4,mitigate_remote_path_bundle,9.272271,1.594562,2.5397625387383886
q18_event_recent_high_value,0,increase_gac_work_mem,17.173701,17.587434,-0.034344030208250484
q18_event_recent_high_value,1,increase_gac_work_mem,17.332283,17.168936,0.013661063262701265
q18_event_recent_high_value,2,increase_gac_work_mem,17.057288,17.077958,-0.0017471976115204773
q18_event_recent_high_value,3,increase_gac_work_mem,17.563217,17.039538,0.043670903344634575
q18_event_recent_high_value,4,increase_gac_work_mem,17.052308,17.251405,-0.016746844861040933
q18_event_recent_high_value,0,regional_topk_candidates,17.173701,5.146569,1.7385181052346028
q18_event_recent_high_value,1,regional_topk_candidates,17.332283,5.062499,1.7755400750926682
q18_event_recent_high_value,2,regional_topk_candidates,17.057288,5.022036,1.7640440099943362
q18_event_recent_high_value,3,regional_topk_candidates,17.563217,4.973206,1.8203090262901234
q18_event_recent_high_value,4,regional_topk_candidates,17.052308,4.997665,1.7706409146613165
q18_event_recent_high_value,0,mitigate_remote_path_bundle,17.173701,2.60528,2.720690641059948
q18_event_recent_high_value,1,mitigate_remote_path_bundle,17.332283,2.726029,2.668588883119397
q18_event_recent_high_value,2,mitigate_remote_path_bundle,17.057288,2.663228,2.6791404369391874
q18_event_recent_high_value,3,mitigate_remote_path_bundle,17.563217,2.511726,2.8058061263247653
q18_event_recent_high_value,4,mitigate_remote_path_bundle,17.052308,2.447235,2.800742468226115
q19_event_old_low_value,0,increase_gac_work_mem,29.35946,29.19572,0.008068543268873766
q19_event_old_low_value,1,increase_gac_work_mem,29.608008,29.721526,-0.005520759879986188
q19_event_old_low_value,2,increase_gac_work_mem,29.098829,29.788474,-0.03379312216619692
q19_event_old_low_value,3,increase_gac_work_mem,29.06182,28.866074,0.009750151053396959
q19_event_old_low_value,4,increase_gac_work_mem,29.07799,29.416306,-0.016688542007762718
q19_event_old_low_value,0,regional_topk_candidates,29.35946,7.791997,1.9137604062749078
q19_event_old_low_value,1,regional_topk_candidates,29.608008,7.712351,1.9407448132968486
q19_event_old_low_value,2,regional_topk_candidates,29.098829,7.712388,1.9157115585455522
q19_event_old_low_value,3,regional_topk_candidates,29.06182,7.868911,1.8848891585834033
q19_event_old_low_value,4,regional_topk_candidates,29.07799,7.741128,1.909311837812333
q19_event_old_low_value,0,mitigate_remote_path_bundle,29.35946,4.510282,2.702535889156083
q19_event_old_low_value,1,mitigate_remote_path_bundle,29.608008,4.672856,2.6636109460449098
q19_event_old_low_value,2,mitigate_remote_path_bundle,29.098829,4.376743,2.7330315198255986
q19_event_old_low_value,3,mitigate_remote_path_bundle,29.06182,4.108791,2.82233920217858
q19_event_old_low_value,4,mitigate_remote_path_bundle,29.07799,3.950209,2.8799266558197485
q20_event_tenant_weighted,0,increase_gac_work_mem,5.278371,5.370604,-0.02499159199682575
q20_event_tenant_weighted,1,increase_gac_work_mem,5.362179,5.343989,0.0049023419107728
q20_event_tenant_weighted,2,increase_gac_work_mem,5.294866,5.259685,0.009617773832158297
q20_event_tenant_weighted,3,increase_gac_work_mem,5.306172,5.310148,-0.001080629775810293
q20_event_tenant_weighted,4,increase_gac_work_mem,5.410179,5.211999,0.053839520431124714
q20_event_tenant_weighted,0,regional_topk_candidates,5.278371,1.655747,1.6726105124424258
q20_event_tenant_weighted,1,regional_topk_candidates,5.362179,1.698465,1.6585878909658232
q20_event_tenant_weighted,2,regional_topk_candidates,5.294866,1.692105,1.645775078998554
q20_event_tenant_weighted,3,regional_topk_candidates,5.306172,1.680572,1.6587190886894552
q20_event_tenant_weighted,4,regional_topk_candidates,5.410179,1.57904,1.776628609743189
q20_event_tenant_weighted,0,mitigate_remote_path_bundle,5.278371,1.111349,2.2477808153062715
q20_event_tenant_weighted,1,mitigate_remote_path_bundle,5.362179,1.166764,2.2003066017982174
q20_event_tenant_weighted,2,mitigate_remote_path_bundle,5.294866,1.09973,2.2674448093985338
q20_event_tenant_weighted,3,mitigate_remote_path_bundle,5.306172,1.215046,2.12666050805239
q20_event_tenant_weighted,4,mitigate_remote_path_bundle,5.410179,1.365357,1.986398105481252
q21_tenant_value_range,0,increase_gac_work_mem,9.06257,9.176293,-0.01799122394610025
q21_tenant_value_range,1,increase_gac_work_mem,9.212206,9.254052,-0.0065385331471824095
q21_tenant_value_range,2,increase_gac_work_mem,9.184275,9.191153,-0.0010800136959687652
q21_tenant_value_range,3,increase_gac_work_mem,9.015641,9.407148,-0.06132733303908981
q21_tenant_value_range,4,increase_gac_work_mem,9.06416,9.025044,0.006239362127612962
q21_tenant_value_range,0,regional_topk_candidates,9.06257,1.327511,2.7711964180323068
q21_tenant_value_range,1,regional_topk_candidates,9.212206,1.294032,2.8316733784668457
q21_tenant_value_range,2,regional_topk_candidates,9.184275,1.372828,2.742014957284214
q21_tenant_value_range,3,regional_topk_candidates,9.015641,1.392349,2.694909192959754
q21_tenant_value_range,4,regional_topk_candidates,9.06416,1.310292,2.790284973994161
q21_tenant_value_range,0,mitigate_remote_path_bundle,9.06257,1.528503,2.5678008497354075
q21_tenant_value_range,1,mitigate_remote_path_bundle,9.212206,1.574809,2.54836980990857
q21_tenant_value_range,2,mitigate_remote_path_bundle,9.184275,1.534848,2.581070051714952
q21_tenant_value_range,3,mitigate_remote_path_bundle,9.015641,1.434151,2.652233137360722
q21_tenant_value_range,4,mitigate_remote_path_bundle,9.06416,1.524772,2.571579795932279
q22_tenant_distinct_users,0,increase_gac_work_mem,18.560551,17.942027,0.04889665194207793
q22_tenant_distinct_users,1,increase_gac_work_mem,18.053592,18.017707,0.0028704887296432963
q22_tenant_distinct_users,2,increase_gac_work_mem,17.890628,18.044944,-0.012390636020513834
q22_tenant_distinct_users,3,increase_gac_work_mem,17.81216,17.998563,-0.01501925065925126
q22_tenant_distinct_users,4,increase_gac_work_mem,17.746011,17.639652,0.008672668585627688
q22_tenant_distinct_users,0,regional_topk_candidates,18.560551,1.521649,3.608532025135058
q22_tenant_distinct_users,1,regional_topk_candidates,18.053592,1.454225,3.6339635011523534
q22_tenant_distinct_users,2,regional_topk_candidates,17.890628,1.585967,3.495769372418724
q22_tenant_distinct_users,3,regional_topk_candidates,17.81216,1.521161,3.549617714741294
q22_tenant_distinct_users,4,regional_topk_candidates,17.746011,1.479438,3.5843736251414793
q22_tenant_distinct_users,0,mitigate_remote_path_bundle,18.560551,4.273804,2.118646888336243
q22_tenant_distinct_users,1,mitigate_remote_path_bundle,18.053592,3.50454,2.3649889127973664
q22_tenant_distinct_users,2,mitigate_remote_path_bundle,17.890628,3.192915,2.4862579781059213
q22_tenant_distinct_users,3,mitigate_remote_path_bundle,17.81216,3.128136,2.5094873338782686
q22_tenant_distinct_users,4,mitigate_remote_path_bundle,17.746011,3.15098,2.4936222654920583
q23_tenant_even_user_count,0,increase_gac_work_mem,29.811851,29.502291,0.015058962894251333
q23_tenant_even_user_count,1,increase_gac_work_mem,29.893206,29.288971,0.02946012375356547
q23_tenant_even_user_count,2,increase_gac_work_mem,29.895466,30.016374,-0.005823009569079799
q23_tenant_even_user_count,3,increase_gac_work_mem,29.599166,29.942771,-0.016651212823685604
q23_tenant_even_user_count,4,increase_gac_work_mem,29.453869,29.482165,-0.0013853155444305935
q23_tenant_even_user_count,0,regional_topk_candidates,29.811851,1.502417,4.3105287566330395
q23_tenant_even_user_count,1,regional_topk_candidates,29.893206,1.477575,4.338514365212625
q23_tenant_even_user_count,2,regional_topk_candidates,29.895466,1.602352,4.2216636845944
q23_tenant_even_user_count,3,regional_topk_candidates,29.599166,1.581633,4.226069743640218
q23_tenant_even_user_count,4,regional_topk_candidates,29.453869,1.488734,4.306299247890095
q23_tenant_even_user_count,0,mitigate_remote_path_bundle,29.811851,4.666793,2.6753825724461664
q23_tenant_even_user_count,1,mitigate_remote_path_bundle,29.893206,4.406077,2.7622510194069543
q23_tenant_even_user_count,2,mitigate_remote_path_bundle,29.895466,4.862534,2.6201464563805255
q23_tenant_even_user_count,3,mitigate_remote_path_bundle,29.599166,4.733399,2.6446080826502847
q23_tenant_even_user_count,4,mitigate_remote_path_bundle,29.453869,4.340871,2.7624007009785423
q24_tenant_midband_sum,0,increase_gac_work_mem,5.204738,5.150654,0.015069912961463337
q24_tenant_midband_sum,1,increase_gac_work_mem,5.234779,5.184927,0.013804954181167771
q24_tenant_midband_sum,2,increase_gac_work_mem,5.165454,5.20314,-0.01048737075231567
q24_tenant_midband_sum,3,increase_gac_work_mem,5.120225,5.104061,0.004561637276033717
q24_tenant_midband_sum,4,increase_gac_work_mem,5.142721,5.163389,-0.005786404584753181
q24_tenant_midband_sum,0,regional_topk_candidates,5.204738,1.278061,2.0258688462164485
q24_tenant_midband_sum,1,regional_topk_candidates,5.234779,1.305921,2.0030610057105864
q24_tenant_midband_sum,2,regional_topk_candidates,5.165454,1.356269,1.9292518069909412
q24_tenant_midband_sum,3,regional_topk_candidates,5.120225,1.270033,2.0113412246548052
q24_tenant_midband_sum,4,regional_topk_candidates,5.142721,1.253117,2.0370107662200194
q24_tenant_midband_sum,0,mitigate_remote_path_bundle,5.204738,1.03907,2.3245326929874173
q24_tenant_midband_sum,1,mitigate_remote_path_bundle,5.234779,1.017044,2.3637465359362944
q24_tenant_midband_sum,2,mitigate_remote_path_bundle,5.165454,1.016275,2.3456043129171067
q24_tenant_midband_sum,3,mitigate_remote_path_bundle,5.120225,0.95487,2.4228309714301823
q24_tenant_midband_sum,4,mitigate_remote_path_bundle,5.142721,0.999541,2.3631942365799783
q25_tenant_day_avg,0,increase_gac_work_mem,9.33809,9.169846,0.026229988112353695
q25_tenant_day_avg,1,increase_gac_work_mem,9.242151,9.170911,0.011163608480438481
q25_tenant_day_avg,2,increase_gac_work_mem,9.317676,9.147154,0.026647224780365537
q25_tenant_day_avg,3,increase_gac_work_mem,9.195846,9.134974,0.00958168323485623
q25_tenant_day_avg,4,increase_gac_work_mem,9.103481,9.102088,0.00022077576327124006
q25_tenant_day_avg,0,regional_topk_candidates,9.33809,8.070924,0.21039364331526972
q25_tenant_day_avg,1,regional_topk_candidates,9.242151,7.965166,0.21452423181518368
q25_tenant_day_avg,2,regional_topk_candidates,9.317676,8.011012,0.21798566083128523
q25_tenant_day_avg,3,regional_topk_candidates,9.195846,7.942606,0.2113698669805856
q25_tenant_day_avg,4,regional_topk_candidates,9.103481,7.984052,0.18929719331809086
q25_tenant_day_avg,0,mitigate_remote_path_bundle,9.33809,1.582605,2.56082627294324
q25_tenant_day_avg,1,mitigate_remote_path_bundle,9.242151,1.756677,2.3953797131619297
q25_tenant_day_avg,2,mitigate_remote_path_bundle,9.317676,1.748449,2.413894449935588
q25_tenant_day_avg,3,mitigate_remote_path_bundle,9.195846,1.628883,2.497099324727703
q25_tenant_day_avg,4,mitigate_remote_path_bundle,9.103481,1.609751,2.499580764074212
q26_tenant_hour_count,0,increase_gac_work_mem,5.253596,5.202329,0.01414762240156945
q26_tenant_hour_count,1,increase_gac_work_mem,5.246021,5.217872,0.007762029039851885
q26_tenant_hour_count,2,increase_gac_work_mem,5.19855,5.185613,0.003594734674387491
q26_tenant_hour_count,3,increase_gac_work_mem,5.147852,5.1341,0.0038591804421430065
q26_tenant_hour_count,4,increase_gac_work_mem,5.239518,5.133129,0.029595582554744905
q26_tenant_hour_count,0,regional_topk_candidates,5.253596,4.372726,0.26477231157514847
q26_tenant_hour_count,1,regional_topk_candidates,5.246021,4.384445,0.2588293504603846
q26_tenant_hour_count,2,regional_topk_candidates,5.19855,4.408906,0.23768855886323728
q26_tenant_hour_count,3,regional_topk_candidates,5.147852,4.414176,0.22182642364220506
q26_tenant_hour_count,4,regional_topk_candidates,5.239518,4.39703,0.2529047239556116
