episode_id,query_id,query_shape,scenario_order,topology_id,region_count,dataset_profile_id,profile,baseline_median_seconds,baseline_iqr_seconds,normalized_sql_hash,before__elapsed_seconds,before__result_row_count,before__result_output_byte_count,before__shared_blks_hit_sum,before__shared_blks_read_sum,before__temp_blks_written_sum,before__estimated_result_bytes,before__estimated_remote_output_bytes,before__estimated_fanin_bytes,before__coordinator_main_plan_total_time_ms,before__coordinator_foreign_scan_time_ms_sum,before__coordinator_non_foreign_time_share_proxy,before__coordinator_fanin_rows,before__coordinator_fanin_bytes_estimated,before__coordinator_final_rows,before__coordinator_final_bytes_estimated,before__coordinator_blocking_input_rows_sum,before__coordinator_temp_written_blocks,before__coordinator_hash_batches_max,before__coordinator_sort_input_rows_sum,before__coordinator_sort_time_ms_max,before__coordinator_aggregate_input_rows_sum,before__coordinator_aggregate_time_ms_max,before__coordinator_join_input_rows_sum,before__coordinator_join_time_ms_max,before__task_count,before__task_time_mean_ms,before__task_time_cv,before__task_rows_mean,before__task_rows_cv,before__remote_region_actual_rows_sum,before__remote_region_actual_rows_cv,before__remote_region_actual_rows_max_share,before__remote_region_actual_time_sum,before__remote_region_actual_time_cv,before__remote_region_actual_time_max_share,before__remote_region_tuple_bytes_sum,before__remote_region_tuple_bytes_cv,before__remote_region_tuple_bytes_max_share,before__regional_temp_written_blocks_sum,before__regional_spill_present,before__remote_citus_map_merge_job_count_sum,before__remote_citus_dependent_map_task_count_sum,before__remote_citus_repartition_fanout_ratio_max,before__citus_repartition_observed_v2,before__worker_task_actual_rows_sum,before__worker_task_actual_rows_cv,before__worker_task_actual_rows_max_share,before__worker_task_scan_actual_rows_sum,before__worker_task_scan_actual_rows_cv,before__worker_task_scan_actual_rows_max_share,before__worker_task_actual_time_sum,before__worker_task_actual_time_cv,before__worker_task_actual_time_max_share,before__worker_task_seq_scan_share,before__worker_task_index_scan_share,before__worker_task_join_node_count,before__worker_task_aggregate_node_count,before__worker_task_sort_node_count,before__worker_task_spill_count,before__worker_task_temp_written_sum,before__worker_task_within_region_worker_scan_rows_cv_max,before__worker_task_within_region_worker_scan_rows_max_share_max,before__regional_coordinator_tx_bytes_sum,before__analytics_rx_bytes_sum,before__worker_tx_bytes_sum,before__os_cpu_busy_pct_mean,before__os_cpu_busy_pct_max,before__os_mem_used_peak_bytes_max,before__os_disk_read_bytes_sum,before__os_disk_written_bytes_sum,before__os_net_rx_bytes_sum,before__os_net_tx_bytes_sum,before__os_tcp_retrans_segs_sum,before__os_tcp_timeouts_sum,before__edge_count,before__edge_remote_rows_sum,before__edge_remote_rows_max_share,before__edge_remote_bytes_sum,before__edge_remote_bytes_max_share,before__edge_foreign_scan_time_ms_sum,before__edge_regional_plan_time_ms_sum,before__edge_boundary_wait_ms_sum,before__edge_estimated_fetch_cycles_sum,before__edge_rtt_context_median_ms_mean,before__edge_rtt_context_median_ms_max,before__edge_source_tx_bytes_sum,before__edge_source_tx_bps_mean,before__edge_source_tx_bps_min,before__edge_qdisc_drops_sum,before__edge_qdisc_overlimits_sum,before__edge_tcp_retrans_sum,before__edge_available_share
confirmatory::q16_event_value_squared,q16_event_value_squared,event_value_squared,1,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,5.320223,0.03562799999999999,8f3951854f1f316fb9ae90c4e76299c6a4cec377f5f6673a41191b8be8e52467,5.320223,25.0,1473.0,9.0,0.0,910.0,2000.0,5144200.0,9259560.0,4662.986,4421.992,0.0528481993376877,128605.0,9259560.0,25.0,2000.0,128605.0,910.0,,128605.0,4662.982,,,,,192.0,,,,,128605.0,0.351796812809479,0.4991718828972435,589.397,0.2215631883387634,0.4329992613483749,5144576.0,0.3518647790648545,0.4992038216560509,850.0,1.0,,,,0.0,128605.0,0.4160183736425696,0.0109171494109871,257210.0,0.4160183736425696,0.0109171494109871,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0494423328556296,0.5247211664278149,10092178.0,9724938.0,9585232.0,5.5487,13.438,739147776.0,0.0,3563520.0,19824873.0,19823739.0,42.0,0.0,3.0,128605.0,0.4991718828972435,9259560.0,0.4991718828972435,4421.992,589.397,3843.207,131.0,15.450000000000001,15.5,10091944.0,5057983.471745451,3919998.090305613,0.0,0.0,40.0,1.0
confirmatory::q17_event_log_value,q17_event_log_value,event_log_value,2,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,9.366519,0.034402999999999295,5b3eea03fac9921eeb2e8430e462234fcd7f102c14f1f8c537a4547925b347a4,9.366519,50.0,2814.0,9.0,0.0,1825.0,4000.0,10310960.0,18559728.0,8707.568,8335.58,0.0433023890640832,257774.0,18559728.0,50.0,4000.0,257774.0,1825.0,,257774.0,8707.562,,,,,192.0,,,,,257774.0,0.3539402644703692,0.5001823302582883,829.217,0.2954308138008421,0.4723161691899679,10309632.0,0.353974872762603,0.5001986491855384,1700.0,1.0,,,,0.0,257774.0,0.4146656983934309,0.0105208438399528,515548.0,0.4146656983934309,0.0105208438399528,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0426729954860626,0.5213364977430314,19920769.0,19472584.0,18780665.0,4.843500000000001,11.704,739823616.0,0.0,22306816.0,38977742.0,38978660.0,71.0,0.0,3.0,257774.0,0.5001823302582883,18559728.0,0.5001823302582883,8335.58,829.217,7506.362999999999,259.0,15.5,15.5,19920285.0,5675351.368799116,4360976.309558068,0.0,0.0,48.0,1.0
confirmatory::q18_event_recent_high_value,q18_event_recent_high_value,event_recent_high_value,3,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,17.173701,0.27499500000000054,dcb7ab12d5caba2c616f9c240aa95aee7d154102cccb7e51a54f7d7b1151c799,17.173701,100.0,5890.0,9.0,0.0,3649.0,8000.0,20617200.0,37110960.0,16504.042,16164.179,0.0194402061166165,515430.0,37110960.0,100.0,8000.0,129048.0,3649.0,,129048.0,16504.034,,,,,192.0,,,,,515430.0,0.3543765237479582,0.5003880255320801,1239.865,0.3726506962104784,0.5089987900161028,20617216.0,0.3543962766495963,0.5003973378364954,3399.0,1.0,,,,0.0,515430.0,0.4156005505905378,0.0104437071959334,1030860.0,0.4156005505905378,0.0104437071959334,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0406141558265319,0.520307077913266,39523845.0,38917025.0,37049989.0,4.1387,9.823,743084032.0,253952.0,51920896.0,77138002.0,77136984.0,83.0,0.0,3.0,515430.0,0.5003880255320801,37110960.0,0.5003880255320801,16164.179,1239.865,14911.295,516.0,15.466666666666667,15.5,39523533.0,6132701.77853141,4703786.562954601,0.0,0.0,57.0,1.0
confirmatory::q19_event_old_low_value,q19_event_old_low_value,event_old_low_value,4,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,29.098829,0.2814699999999988,39172139dbcdd0df692be10c8101edac06095f33ca3101c8b825327ac2466ef6,29.098829,250.0,14598.0,9.0,0.0,6382.0,20000.0,36057720.0,64903896.0,28406.506,27896.552,0.0192738593053295,901443.0,64903896.0,250.0,20000.0,224870.0,6382.0,,224870.0,28406.474,,,,,192.0,,,,,901443.0,0.3548229699901384,0.500598484873697,2051.608,0.4185852001089714,0.5306560893907796,35832832.0,0.3481884093441759,0.4974709227559797,5943.0,1.0,,,,0.0,901443.0,0.4159440478551399,0.0103278854015173,1745678.0,0.4742649694225087,0.0106663428192369,,,,0.0696378830083565,0.0,0.0,0.0,0.0,0.0,,0.0404976277586585,0.5202488138793293,68949562.0,68048468.0,64377408.0,3.6382,9.295,751063040.0,57344.0,161202176.0,134262216.0,134260768.0,93.0,0.0,3.0,901443.0,0.500598484873697,64903896.0,0.500598484873697,27896.552,2051.6079999999997,25891.077,904.0,15.450000000000001,15.5,68948360.0,6316785.874785546,4833583.646957065,0.0,0.0,58.0,1.0
confirmatory::q20_event_tenant_weighted,q20_event_tenant_weighted,event_tenant_weighted,5,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,5.306172,0.0673130000000004,cf9a4e1af589a4bf2df9b8c1622dc247dddf3c7863a67aec08aaced8322504c6,5.306172,500.0,27115.0,9.0,0.0,910.0,40000.0,5144200.0,9259560.0,4648.873,4413.778,0.0531495237912698,128605.0,9259560.0,500.0,40000.0,128605.0,910.0,,128605.0,4648.844,,,,,192.0,,,,,128605.0,0.351796812809479,0.4991718828972435,563.732,0.2902978922431676,0.4696132204664628,5144576.0,0.3518647790648545,0.4992038216560509,850.0,1.0,,,,0.0,128605.0,0.4160183736425696,0.0109171494109871,257210.0,0.4160183736425696,0.0109171494109871,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0494423328556296,0.5247211664278149,10106810.0,9725232.0,9572040.0,5.6850000000000005,13.249,737280000.0,0.0,4513792.0,19831790.0,19831344.0,43.0,0.0,3.0,128605.0,0.4991718828972435,9259560.0,0.4991718828972435,4413.778,563.732,3837.008,131.0,15.449999999999998,15.5,10106142.0,5079609.17964966,3925388.01983803,0.0,0.0,42.0,1.0
confirmatory::q21_tenant_value_range,q21_tenant_value_range,tenant_value_range,6,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,9.06416,0.1217050000000004,233c7941d2c116230e1e2ec5ca919d8f5fcd417bae18cf46239afa1e5bd735bd,9.06416,25.0,498.0,9.0,0.0,1825.0,2000.0,10310960.0,18559728.0,8404.156,8224.56,0.0218366142265815,257774.0,18559728.0,25.0,2000.0,261774.0,1825.0,1.0,4000.0,8404.149,257774.0,8403.483,,,192.0,,,,,257774.0,0.3539402644703692,0.5001823302582883,712.313,0.3437991536300394,0.4953482528045957,10309632.0,0.353974872762603,0.5001986491855384,1700.0,1.0,,,,0.0,257774.0,0.4146656983934309,0.0105208438399528,515548.0,0.4146656983934309,0.0105208438399528,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0426729954860626,0.5213364977430314,19916270.0,19472322.0,18744663.0,4.6498,9.761,740298752.0,24576.0,13320192.0,38944798.0,38939695.0,50.0,0.0,3.0,257774.0,0.5001823302582883,18559728.0,0.5001823302582883,8224.56,712.313,7512.246999999999,259.0,15.466666666666667,15.5,19915966.0,5858040.752443324,4506010.485251805,0.0,0.0,37.0,1.0
confirmatory::q22_tenant_distinct_users,q22_tenant_distinct_users,tenant_distinct_users,7,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,17.890628,0.24143199999999965,50435e188305e252b1834a331106b4c59c25f4100f84bd42296b1172e0b185ad,17.890628,50.0,827.0,9.0,0.0,10264.0,4000.0,20617200.0,37110960.0,17218.034,16156.765,0.0607609433797989,515430.0,37110960.0,50.0,4000.0,1034860.0,10264.0,,519430.0,17218.026,515430.0,17217.096,,,192.0,,,,,515430.0,0.3543765237479582,0.5003880255320801,1293.834,0.3918013991297108,0.5177024255043537,20617216.0,0.3543962766495963,0.5003973378364954,3399.0,1.0,,,,0.0,515430.0,0.4156005505905378,0.0104437071959334,1030860.0,0.4156005505905378,0.0104437071959334,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0406141558265319,0.520307077913266,39538768.0,38917553.0,37063920.0,4.342499999999999,12.856,743464960.0,8192.0,27738112.0,77131102.0,77131908.0,92.0,0.0,3.0,515430.0,0.5003880255320801,37110960.0,0.5003880255320801,16156.765,1293.8339999999998,14854.171000000002,516.0,15.466666666666667,15.5,39538318.0,5895975.926613644,4523049.274737589,0.0,0.0,55.0,1.0
confirmatory::q23_tenant_even_user_count,q23_tenant_even_user_count,tenant_even_user_count,8,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,29.811851,0.29403999999999897,c393deb7d436c2017dd560a6644dba3d3af7bb144d4d31ccd50cb3bfef24de1a,29.811851,100.0,1658.0,9.0,0.0,10840.0,8000.0,36057720.0,64903896.0,29134.426,28229.93,0.031045609067431,901443.0,64903896.0,100.0,8000.0,906504.0,10840.0,,455252.0,29134.416,451252.0,29133.441,,,192.0,,,,,901443.0,0.3548229699901384,0.500598484873697,2151.332,0.4076429279139261,0.5225283684712542,35832832.0,0.3481884093441759,0.4974709227559797,5943.0,1.0,,,,0.0,901443.0,0.4159440478551399,0.0103278854015173,1745678.0,0.4742649694225087,0.0106663428192369,,,,0.0696378830083565,0.0,0.0,0.0,0.0,0.0,,0.0404976277586585,0.5202488138793293,68916016.0,68047488.0,64366213.0,3.9074,10.878,751009792.0,8192.0,123789312.0,134304905.0,134303273.0,91.0,0.0,3.0,901443.0,0.500598484873697,64903896.0,0.500598484873697,28229.93,2151.332,26038.055999999997,904.0,15.466666666666667,15.5,68914904.0,6164147.718748941,4718717.264486529,0.0,0.0,59.0,1.0
confirmatory::q24_tenant_midband_sum,q24_tenant_midband_sum,tenant_midband_sum,9,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,5.165454,0.06201699999999999,25633ee7b9505ef3e8075e54f4b03cf03a9cb0ba1650651e8fddbd19db03d6dd,5.165454,250.0,5415.0,9.0,0.0,1469.0,20000.0,5144200.0,9259560.0,4509.179,4375.0,0.0291801109661798,128605.0,9259560.0,250.0,20000.0,132480.0,1469.0,,68240.0,4509.16,64240.0,4508.297,,,192.0,,,,,128605.0,0.351796812809479,0.4991718828972435,541.691,0.2007191430537559,0.4278084738347139,5144576.0,0.3518647790648545,0.4992038216560509,850.0,1.0,,,,0.0,128605.0,0.4160183736425696,0.0109171494109871,257210.0,0.4160183736425696,0.0109171494109871,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0494423328556296,0.5247211664278149,10097048.0,9724638.0,9565252.0,5.4145,11.434,740175872.0,0.0,15384576.0,19806974.0,19806920.0,42.0,0.0,3.0,128605.0,0.4991718828972435,9259560.0,0.4991718828972435,4375.0,541.691,3832.1180000000004,131.0,15.466666666666667,15.5,10096814.0,5212482.25873918,4030679.200705301,0.0,0.0,36.0,1.0
confirmatory::q25_tenant_day_avg,q25_tenant_day_avg,tenant_day_avg,10,eu_us_apac_gac,3,topology-isolation-large-n3-v1,balanced,9.242151,0.12183000000000099,624c43b40195e7659be1ca7ec6692e985d18b9c1b8cc91037db7d85f22eafb54,9.242151,500.0,22609.0,12.0,0.0,3965.0,40000.0,10310960.0,18559728.0,8580.084,8296.235,0.0334223763019111,257774.0,18559728.0,500.0,40000.0,265776.0,3965.0,5.0,8002.0,8580.047,257774.0,8578.457,,,192.0,,,,,257774.0,0.3539402644703692,0.5001823302582883,773.689,0.2704981383901446,0.4608379070084272,10309632.0,0.353974872762603,0.5001986491855384,1700.0,1.0,,,,0.0,257774.0,0.4146656983934309,0.0105208438399528,515548.0,0.4146656983934309,0.0105208438399528,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0426729954860626,0.5213364977430314,19911539.0,19472476.0,18764024.0,4.6919,11.356,739823616.0,0.0,9445376.0,38959831.0,38959157.0,64.0,0.0,3.0,257774.0,0.5001823302582883,18559728.0,0.5001823302582883,8296.235,773.6890000000001,7528.897000000001,259.0,15.483333333333334,15.5,19910969.0,5744974.014526849,4414824.211376768,0.0,0.0,48.0,1.0
