evaluation,distance_metric,neighbors,coverage_quantile,coverage_threshold,episode_count,recommendation_count,abstention_count,coverage,correct_count,top1_accuracy,mean_regret_log2
E2,euclidean,5,0.9,1.365205642254646,45,36,9,0.8,36,1.0,0.0
E2,euclidean,5,0.95,1.6243914528713777,45,40,5,0.8888888888888888,37,0.925,0.021930219616021256
E2,euclidean,5,0.99,1.9533554892194176,45,41,4,0.9111111111111111,38,0.926829268292683,0.021395336210752444
E2,euclidean,5,1.0,2.056915703364297,45,41,4,0.9111111111111111,38,0.926829268292683,0.021395336210752444
E3,euclidean,5,0.9,1.365205642254646,15,0,15,0.0,0,,
E3,euclidean,5,0.95,1.6243914528713777,15,0,15,0.0,0,,
E3,euclidean,5,0.99,1.9533554892194176,15,0,15,0.0,0,,
E3,euclidean,5,1.0,2.056915703364297,15,0,15,0.0,0,,
E4,euclidean,5,0.9,1.365205642254646,15,9,6,0.6,8,0.8888888888888888,0.007804860751003407
E4,euclidean,5,0.95,1.6243914528713777,15,14,1,0.9333333333333333,11,0.7857142857142857,0.24716974606270076
E4,euclidean,5,0.99,1.9533554892194176,15,15,0,1.0,12,0.8,0.23069176299185404
E4,euclidean,5,1.0,2.056915703364297,15,15,0,1.0,12,0.8,0.23069176299185404
