scenario,n2_raw_sql_sha256,n3_phase_a_raw_sql_sha256,n3_phase_b_raw_sql_sha256,n2_normalized_sql_hash,n3_phase_a_normalized_sql_hash,n3_phase_b_normalized_sql_hash,topology_independent_canonical_sha256,logical_query_hash,query_id,memory_key,memory_key_definition,n2_n3_raw_sql_equal,n2_n3_normalized_sql_equal,n2_n3_logical_hash_equal,canonical_sql_matches_after_topology_removal
q01_event_value_desc,b7701345d75628c7b89bc968a86a337844d4288a0dfc37a4baf59777e39851db,46d79e21a9348c6433a920554bd6898c4984b0d5699987037c30eeba5222bb2e,46d79e21a9348c6433a920554bd6898c4984b0d5699987037c30eeba5222bb2e,ad7f1beefcb86b44e6bcd60f1e092a838d67200996b3cf5a69df119b546d5ed5,100f4f577adf6d1cef3def298aa4664775d6462bce54835dc9652427a2804fa5,100f4f577adf6d1cef3def298aa4664775d6462bce54835dc9652427a2804fa5,de37f44bf801b26728c43d44eacfebd3e2d26f9d40a29b6eecf5d2c9d7b3a259,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,q01_event_value_desc,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q02_event_value_asc,ee7150b62b512247215b7b1a4d9c6651c0de9d54f3dc3e2e428c52b064eb2e01,f54ede14503d27cf850026a7f4208baa43948d067762c5ee0a530ae675ca29d9,f54ede14503d27cf850026a7f4208baa43948d067762c5ee0a530ae675ca29d9,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,6f893c3519ff8984a1b3bddc62385b7f3c5bf64be94e1cea1035c6ec176d3fb2,6f893c3519ff8984a1b3bddc62385b7f3c5bf64be94e1cea1035c6ec176d3fb2,7280ade10a8947c04e284b81446256408a3bebc295086f5663c9999dbc366458,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,q02_event_value_asc,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q03_event_recent,bbb7cf7cfed083da74f6fe1f291e0ad9837eb316e427edcaabbb2315bcb7cdcc,5d333bb683fbe7e77a41cab12eb2cd65fc68fc32460aace22ccf0fa3f7fe590f,5d333bb683fbe7e77a41cab12eb2cd65fc68fc32460aace22ccf0fa3f7fe590f,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,f164edf7253e2cd39218cea629152274187d37d0aed659b9587d959187db77e3,f164edf7253e2cd39218cea629152274187d37d0aed659b9587d959187db77e3,5d436050036d3af1e75dec15c458c8238a067c4b55f37c594822c69243f22826,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,q03_event_recent,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q04_event_oldest,bdc889a923c6dee3e4cbd835e38564551b984f2194d618de37063830d1b1cd4a,48d8cf556f6191cc9f07dbc7d851bf4de88ea38a98823e3c79f340e6df752f07,48d8cf556f6191cc9f07dbc7d851bf4de88ea38a98823e3c79f340e6df752f07,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,02de0c7ab994811478c6ca5d8922daa72e26d887e9726dbb08013b2602fa0704,02de0c7ab994811478c6ca5d8922daa72e26d887e9726dbb08013b2602fa0704,77c7816755cc9220b600955eda3d91b774b9ca795ed12ee0d0b3c94d7d096968,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,q04_event_oldest,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q05_event_deviation,af1a086b41503069c241449ca3541af653239dbf6a797cbb359de29128148b4e,de24c9054460ace8bc5eb96c1ba358bbacbd8a32b67e6aa20bf58c9cbd5b4eb3,de24c9054460ace8bc5eb96c1ba358bbacbd8a32b67e6aa20bf58c9cbd5b4eb3,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,93e774cc2cd80d5228fe2508ec6d8e14c7e7e1aa8f49e5470fd696d65c5b346d,93e774cc2cd80d5228fe2508ec6d8e14c7e7e1aa8f49e5470fd696d65c5b346d,57ce6fa279404a008625fb9e9b06372653d25fd8c9000073ad935fcc2bde627a,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,q05_event_deviation,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q06_tenant_sum,5168311047e7fee5beaa4ddfceab40de7aa2c81f9f40062677ecd5f08f5280ac,d820fe5b8d76db0a43890638b6ee8f90eb5a63550bc8883049ad75cf516ab6cf,d820fe5b8d76db0a43890638b6ee8f90eb5a63550bc8883049ad75cf516ab6cf,82a4b1652b8883fb8dad714052530b1788280c0ae3dd3cb8823fe3b0d8dea3ac,dfa23b6cdb474dcdb49c71118007c38cfc8a87a71128aa2e4357f1f4167188e0,dfa23b6cdb474dcdb49c71118007c38cfc8a87a71128aa2e4357f1f4167188e0,7a447a17d88965af655b02403fc99a55493470011ad3f358b9e5bb2028ff39c0,f191e4e54c9891e70a6ea25f5072e629ad857314cdbc2ee05dca066eda638e00,q06_tenant_sum,f191e4e54c9891e70a6ea25f5072e629ad857314cdbc2ee05dca066eda638e00,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q07_tenant_count,94b6c01d534b549a33f57235da64b47992574b1d3bd4a3ab3750fe2e2a34585b,a9d7dbac8a71be90a8ab97745ac5221ea97baef1fff9bb6e1de935faa54af35a,a9d7dbac8a71be90a8ab97745ac5221ea97baef1fff9bb6e1de935faa54af35a,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,9bcd10890840ff166e6d6d8c5109439f5f76bb24c8ebfbf38a55a1f2d9a0af63,9bcd10890840ff166e6d6d8c5109439f5f76bb24c8ebfbf38a55a1f2d9a0af63,8fcd8431ba2b3400ab559ed115c4cabeecaac31ab316ac732885c757b345924f,83407397bd0c3a1d071ff599cd0c692ae7fc61021485d5033bafeeb8a8a95e3b,q07_tenant_count,83407397bd0c3a1d071ff599cd0c692ae7fc61021485d5033bafeeb8a8a95e3b,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q08_tenant_avg,733afd34600029b3b7efc731ca9429be07fa1747d857eb17dcebf4a5b6d3ee22,fa193ee23b0bceaffc482fd640bb0cd17bb8aa7179b69f96573ef603a5d028a0,fa193ee23b0bceaffc482fd640bb0cd17bb8aa7179b69f96573ef603a5d028a0,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,022ab7557b1080c8bb59486dde9f399810195cc03db6ec1586ad77861980547a,022ab7557b1080c8bb59486dde9f399810195cc03db6ec1586ad77861980547a,5ca046185703160f2828c9fce6066070bf253f062b70aae02c76ed75a9c987aa,eba1ec0d96424a03d44b3e9e306d4103e68db78ef6d132729c2f2492e48acda3,q08_tenant_avg,eba1ec0d96424a03d44b3e9e306d4103e68db78ef6d132729c2f2492e48acda3,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q09_tenant_max,1492a7cc3a67cba496fa1bb98c84b2cce8f24c26ca5a4bf7a070465e3912fb3b,033690ec991c66f1bc993d1662a83f08dea70e4bb2a6175fa7bc17dc5d55b372,033690ec991c66f1bc993d1662a83f08dea70e4bb2a6175fa7bc17dc5d55b372,4014faad162c2d85240fd3628f1ed3c20223b339905f97262c0543a4b86a4d56,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,0a1845d5eee8a966fc7841a83bbfa0c28f21ecba6942182b9a8b2e287f92f63b,2cc50bfb6b2beaa20e523915d7b6bb88974fc6de8098d8d84abb3b3ab6cb41c3,ef321334db0dd2faca8d4552ceaaa10d5688a821afa59dc67ff503fe605d9dc1,q09_tenant_max,ef321334db0dd2faca8d4552ceaaa10d5688a821afa59dc67ff503fe605d9dc1,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q10_tenant_min,ba132a130288bb935756bfc10d2317eff4590cd4af8ffb5d3ea96e759d380992,1f9b3d17a98af8dc6638ca9debbd0453881d7b4f5f0a43e242f3f5ace0a947ca,1f9b3d17a98af8dc6638ca9debbd0453881d7b4f5f0a43e242f3f5ace0a947ca,59c7fb50fea4b901bf3095e34340d497980384a30fe54c38911861d8b45757fa,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,1ffceae8ec4dc807efe850ad847328743196a4fc73e3da8ce9c3268b0eb210fe,6419d75ba04cecc15cb1377e90b5f6bbadf846287fffd1301cb14c6c2c2c958f,37e066a72cab0a47202826293a7bf9825e79d77309aa7ed90aedd0a77519f9d1,q10_tenant_min,37e066a72cab0a47202826293a7bf9825e79d77309aa7ed90aedd0a77519f9d1,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q11_tenant_high_count,1f506d8d32bbd44bedd931e5bcfd027bd8ac843e0e2e25d85ecdc933f06deacc,92ebf36a8c360746c530a5d00b9abc68018eef7c0d75236fbe439da1468926a6,92ebf36a8c360746c530a5d00b9abc68018eef7c0d75236fbe439da1468926a6,275672b7af5e6b39f43c9883266544645bbfe62309a3ed17dd37748c0914421b,5e5d10fdfa8932055d31658300e8657de100e5a9a6617c3c715332b89e01839c,5e5d10fdfa8932055d31658300e8657de100e5a9a6617c3c715332b89e01839c,7457214371a46a82d416cec0478519145fceaf93f5c5951895b93fdef8cce664,f6a2bcb3cdb7e94d9201d86ef4756f171051d24059c1f12d1a53f37f851a6900,q11_tenant_high_count,f6a2bcb3cdb7e94d9201d86ef4756f171051d24059c1f12d1a53f37f851a6900,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
q12_tenant_user_sum,2fc003c6ff85ce306019e551e0b2d7febecd46bd6af4c1b9142f234fe9df5a8d,f8a6b1f621d98fe55136840e388a6a3f73e1ae322d919a433e7988aaebe545e4,f8a6b1f621d98fe55136840e388a6a3f73e1ae322d919a433e7988aaebe545e4,aa7113c188cb38aca6b2a793d1145e624468ff592257f882da3c4f99da9bed5c,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,78f49b835f2ec263b24cbefa86d9c89533b4c254bff2e0e54dc23ae3e08a65f4,53272b27226faab0c29e6da97a4204798a9552df94d6eee624b4f6d35c34de6d,7b773b722ee1cc712e6813a559a2b3b21afe2180ce60cb0023852f688a716727,q12_tenant_user_sum,7b773b722ee1cc712e6813a559a2b3b21afe2180ce60cb0023852f688a716727,"sha256(query_id, query_shape, cutoff_ts, limit_k); topology excluded",False,False,True,True
