query_run_id,k,seed,hard_cluster,max_membership,top2_margin,membership_entropy,membership_c0,membership_c1,membership_c2,membership_c3,membership_c4
20260626T113723Z-clean-run-eu-us-gac-v1__pilot-balanc--ed53d2c27948--ultiregion_top_tenants__lookback_days-1__limit_k-50,4,0,1,0.7225039955251097,0.5941992541075068,0.8514472564879285,0.12830474141760287,0.7225039955251097,0.026193530252828223,0.12299773280445922,
20260626T113746Z-clean-run-eu-us-gac-v1__pilot-balanc--42c303187471--c_fdw_global_user_join__lookback_days-3__limit_k-10,4,0,0,0.8166220107975545,0.6914453881684183,0.6204457893397652,0.8166220107975545,0.1251766226291362,0.011825385134715437,0.04637598143859393,
20260626T113805Z-clean-run-eu-us-gac-v1__pilot-balanc--be5beb641dca--fdw_user_segment_join__lookback_days-30__limit_k-25,4,0,0,0.693323688990052,0.5195419489092936,0.9034140220304246,0.693323688990052,0.17378174008075842,0.03553057204438593,0.09736399888480361,
20260626T113825Z-clean-run-eu-us-gac-v1__pilot-balanc--8840045b50ee--rollup__lookback_days-14__min_value-900__limit_k-25,4,0,1,0.49496075203579676,0.16232464194637347,1.135142768143164,0.0981369664783042,0.49496075203579676,0.07426617139647583,0.3326361100894233,
20260626T113842Z-clean-run-eu-us-gac-v1__pilot-balanc--e5f1c6ac4bf6--__gac_fdw_top_tenants__lookback_days-14__limit_k-50,4,0,1,0.7082260038299825,0.532506789274929,0.8588405561127423,0.09216015769104813,0.7082260038299825,0.02389462392391602,0.17571921455505343,
20260626T113859Z-clean-run-eu-us-gac-v1__pilot-balanc--67cf1552936c--u_tenant_id-5__us_tenant_id-10010__lookback_days-14,4,0,2,0.9858897494876027,0.979622177116127,0.08890127900319467,0.0027437047643370164,0.005098973376584576,0.9858897494876027,0.00626757237147571,
20260626T113914Z-clean-run-eu-us-gac-v1__pilot-balanc--0501943f7515--tenant_id-1000__us_tenant_id-10100__lookback_days-7,4,0,2,0.9853503374400069,0.9788722418203686,0.09176349140788588,0.002866952425745927,0.005304614514608886,0.9853503374400069,0.0064780956196383,
20260626T113929Z-clean-run-eu-us-gac-v1__pilot-balanc--7be394bafc6a--gion_tenant_tier_join__lookback_days-30__limit_k-50,4,0,0,0.6188862968737863,0.4179960491284903,1.038664658855898,0.6188862968737863,0.20089024774529593,0.054493109531953764,0.125730345848964,
20260626T113954Z-clean-run-eu-us-gac-v1__pilot-balanc--ecd596127596--rollup__lookback_days-30__min_value-900__limit_k-50,4,0,1,0.46455926754315097,0.12504701284758135,1.1773023153843587,0.10674348815097648,0.46455926754315097,0.08918498961030293,0.3395122546955696,
20260626T114011Z-clean-run-eu-us-gac-v1__pilot-balanc--739a08d4e352--_etl_user_segment_topk__lookback_days-1__limit_k-25,4,0,3,0.8591176086516413,0.763734496547619,0.5223590402687683,0.03255403531602381,0.0953831121040223,0.012945243928312469,0.8591176086516413,
