state_id,edge_remote_bytes_sum__median,edge_remote_bytes_sum__mad,edge_remote_bytes_sum__robust_relative_dispersion,edge_boundary_wait_share__median,edge_boundary_wait_share__mad,edge_boundary_wait_share__robust_relative_dispersion,edge_rtt_context_median_ms_max__median,edge_rtt_context_median_ms_max__mad,edge_rtt_context_median_ms_max__robust_relative_dispersion,regional_input_to_remote_rows_ratio__median,regional_input_to_remote_rows_ratio__mad,regional_input_to_remote_rows_ratio__robust_relative_dispersion,gac_fanin_to_final_rows_ratio__median,gac_fanin_to_final_rows_ratio__mad,gac_fanin_to_final_rows_ratio__robust_relative_dispersion,gac_temp_written_per_final_row__median,gac_temp_written_per_final_row__mad,gac_temp_written_per_final_row__robust_relative_dispersion,gac_hash_batch_excess__median,gac_hash_batch_excess__mad,gac_hash_batch_excess__robust_relative_dispersion,remote_region_actual_time_cv__median,remote_region_actual_time_cv__mad,remote_region_actual_time_cv__robust_relative_dispersion,worker_task_scan_actual_rows_cv__median,worker_task_scan_actual_rows_cv__mad,worker_task_scan_actual_rows_cv__robust_relative_dispersion
trajectory_aggregate_full_flow_s00,144.0,0.0,0.0,0.019822938752377,0.0005897779537600012,0.04411075497772632,0.402,0.01649999999999996,0.060852985074626706,1500000.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0.1979193028665198,0.0739016068423042,0.5535918968868526,0.3894702955439748,0.0,0.0
trajectory_join_pushdown_s00,229801264.0,0.0,0.0,0.2662506198055187,0.004854157617700416,0.027030074481176725,0.43,0.0050000000000000044,0.017239534883720944,1.0,0.0,0.0,318508.54545454547,0.0,0.0,6672.545454545455,0.9090909090909918,0.00020199460475764117,31.0,0.0,0.0,0.3669642446320736,0.029038387362414764,0.11732018509509372,0.8059544501859157,0.0,0.0
trajectory_sort_order_topk_s00,162601264.0,0.0,0.0,0.2440286463005001,0.00236887934207361,0.014392164878190106,0.425,0.029500000000000026,0.10290988235294127,1.0,0.0,0.0,29.03594,0.0,0.0,0.65431,3.0000000000085514e-05,6.797695282072227e-05,44.0,0.0,0.0,0.4185851417942596,0.016701618183580402,0.05915599156920644,0.3894723191079324,0.0,0.0
trajectory_join_pushdown_s01,2288.0,0.0,0.0,0.0053016893460965,0.0004560311243664997,0.12752760504226385,0.42,0.0015000000000000013,0.0052950000000000046,159254.27272727274,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0.2907542549965936,0.008740133907828351,0.04456726706165703,0.3894716854948353,0.0,0.0
trajectory_join_pushdown_s02,2288.0,0.0,0.0,-1.5106428954301236,0.04696835872305294,0.04609645923166448,0.425,0.004500000000000004,0.015698117647058835,159254.27272727274,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0.3121769306214839,0.04548458376836739,0.21601674332799212,0.3894716854948353,0.0,0.0
trajectory_sort_order_topk_s01,162601264.0,0.0,0.0,0.2649375976781243,0.0029802795086112943,0.016677747659036547,0.411,0.0,0.0,1.0,0.0,0.0,29.03594,0.0,0.0,0.30601,6.0000000000004494e-05,0.00029069638247118283,4.0,0.0,0.0,0.4030077893246062,0.009412293883366507,0.03462629577176553,0.3894723191079324,0.0,0.0
trajectory_sort_order_topk_s02,52390184.0,0.0,0.0,0.1793482211134414,0.010094580175419504,0.08344785621603971,0.4065,0.02749999999999997,0.10029889298892979,4.877178366084761,0.0,0.0,5.95343,0.0,0.0,0.0,0.0,,,,,0.3484643445601676,0.03072043467348784,0.13070524189326016,0.3894723191079324,0.0,0.0
trajectory_sort_order_topk_s03,52390184.0,0.0,0.0,0.5982863459743811,0.008650515029780759,0.021436647634445822,10.4,0.0,0.0,4.877178366084761,0.0,0.0,5.95343,0.0,0.0,0.03588,0.0,0.0,,,,0.3123241856028322,0.01202635463913082,0.05708899345582306,0.3894723191079324,0.0,0.0
trajectory_aggregate_full_flow_rollback,144.0,0.0,0.0,0.0208014261982902,0.0024387909049014,0.17382228320017867,0.406,0.027500000000000024,0.10042241379310353,1500000.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0.1259266274948364,0.0682886236878349,0.8039976571574232,0.3894702955439748,0.0,0.0
trajectory_join_pushdown_rollback,229801264.0,0.0,0.0,0.2763989874162219,0.003401628033803117,0.01824628147179859,0.411,0.0030000000000000027,0.010821897810218988,1.0,0.0,0.0,318508.54545454547,0.0,0.0,6672.454545454545,0.3636363636369424,8.079894273620774e-05,31.0,0.0,0.0,0.381774352515111,0.01742066099840911,0.0676521925218092,0.8059544501859157,0.0,0.0
trajectory_sort_order_topk_rollback,162601264.0,0.0,0.0,0.2466409406293584,0.005280416542188415,0.031741468166119474,0.3995,0.005500000000000005,0.02041126408010014,1.0,0.0,0.0,29.03594,0.0,0.0,0.65431,2.999999999997449e-05,6.797695282047069e-05,44.0,0.0,0.0,0.4002055931684913,0.053117560628872185,0.19677909737560897,0.3894723191079324,0.0,0.0
replay_A_baseline,162601264.0,0.0,0.0,0.2404138660750558,0.012358610084957117,0.07621388737302334,0.378,0.0040000000000000036,0.0156888888888889,1.0,0.0,0.0,29.03594,0.0,0.0,0.65429,6.0000000000060005e-05,0.00013595806141021406,44.0,0.0,0.0,0.3830078293362117,0.032519975052029526,0.12588284447265355,0.3894723191079324,0.0,0.0
replay_B_work_mem,162601264.0,0.0,0.0,0.2564472822640881,0.0024971896625133327,0.014437015518182108,0.3795,0.015000000000000013,0.058600790513834045,1.0,0.0,0.0,29.03594,0.0,0.0,0.30597,2.0000000000020002e-05,9.691146190812711e-05,4.0,0.0,0.0,0.3608010678006313,0.005131071846617208,0.02108454713332021,0.3894723191079324,0.0,0.0
replay_C_pushdown,52390184.0,0.0,0.0,0.2137746516984432,0.006016502225706488,0.041726491559978526,0.372,0.016500000000000015,0.06576048387096779,4.877178366084761,0.0,0.0,5.95343,0.0,0.0,0.0,0.0,,,,,0.3252313737494261,0.024275644649302985,0.11066297307708652,0.3894723191079324,0.0,0.0
replay_D_wan_delay,52390184.0,0.0,0.0,0.5882229153474281,0.002549515188731144,0.006425984299812982,10.4,0.0,0.0,4.877178366084761,0.0,0.0,5.95343,0.0,0.0,0.0,0.0,,,,,0.3127304349866091,0.014574116297518369,0.06909332257228484,0.3894723191079324,0.0,0.0
A_raw_baseline,24000000.0,0.0,0.0,0.544810840800117,0.016625286793619076,0.045242583947155454,0.3994999999999999,0.0114999999999999,0.04267809762202717,1.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,,,,,0.4434871985912718,0.02854860569261808,0.09543942403371229,0.3894702955439748,0.0,0.0
B_fetch_size,24000000.0,0.0,0.0,0.4570157242490252,0.002088377255004603,0.006774883125427666,0.4034999999999999,0.006500000000000061,0.023883271375464914,1.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,,,,,0.4462754609976839,0.034433485007255404,0.11439366340606795,0.3894702955439748,0.0,0.0
C_regional_aggregate,48.0,0.0,0.0,0.0203965203486314,0.0006769407172096016,0.04920605525747428,0.412,0.014500000000000013,0.05217888349514568,1500000.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0.2165999604328042,0.1080466785819845,0.7395661815706839,0.3894702955439748,0.0,0.0
D_wan_delay,48.0,0.0,0.0,0.0587007820927723,0.0007954617978932002,0.020090902020565578,10.4,0.0,0.0,1500000.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,0.1430925867261214,0.06532556323414318,0.6768462452657619,0.3894702955439748,0.0,0.0
R0_prime_rollback,24000000.0,0.0,0.0,0.532991424510425,0.0017173724354127007,0.004777143225299806,0.3915,0.005500000000000005,0.020828352490421472,1.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,,,,,0.4164746730833409,0.03332644713045313,0.11863816387634787,0.3894702955439748,0.0,0.0
