execution_order,block_index,position_index,state_id,state_repetition_index,template_id,fetch_size,wan_delay_ms,instance_manifest,status,sweep_dir,started_at_utc,finished_at_utc
1,1,1,A_raw_baseline,1,gac_fdw_multiregion_event_exact_raw_summary,1000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-01.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152414Z-aggregate-exact-01-a_raw_baseline,2026-08-07T15:24:06.673603Z,2026-08-07T15:25:06.876997Z
2,1,2,B_fetch_size,1,gac_fdw_multiregion_event_exact_raw_summary,10000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-02.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152515Z-aggregate-exact-02-b_fetch_size,2026-08-07T15:25:06.877677Z,2026-08-07T15:25:59.593303Z
3,1,3,D_wan_delay,1,gac_fdw_multiregion_event_exact_regional_summary,10000,10,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-03.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152612Z-aggregate-exact-03-d_wan_delay,2026-08-07T15:25:59.593956Z,2026-08-07T15:26:49.340655Z
4,1,4,C_regional_aggregate,1,gac_fdw_multiregion_event_exact_regional_summary,10000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-04.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152657Z-aggregate-exact-04-c_regional_aggregate,2026-08-07T15:26:49.341276Z,2026-08-07T15:27:28.174597Z
5,2,1,B_fetch_size,2,gac_fdw_multiregion_event_exact_raw_summary,10000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-05.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152736Z-aggregate-exact-05-b_fetch_size,2026-08-07T15:27:28.175227Z,2026-08-07T15:28:19.508814Z
6,2,2,C_regional_aggregate,2,gac_fdw_multiregion_event_exact_regional_summary,10000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-06.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152827Z-aggregate-exact-06-c_regional_aggregate,2026-08-07T15:28:19.509426Z,2026-08-07T15:28:58.878276Z
7,2,3,A_raw_baseline,2,gac_fdw_multiregion_event_exact_raw_summary,1000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-07.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T152906Z-aggregate-exact-07-a_raw_baseline,2026-08-07T15:28:58.878995Z,2026-08-07T15:29:52.598128Z
8,2,4,D_wan_delay,2,gac_fdw_multiregion_event_exact_regional_summary,10000,10,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-08.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153005Z-aggregate-exact-08-d_wan_delay,2026-08-07T15:29:52.599041Z,2026-08-07T15:30:42.746259Z
9,3,1,C_regional_aggregate,3,gac_fdw_multiregion_event_exact_regional_summary,10000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-09.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153050Z-aggregate-exact-09-c_regional_aggregate,2026-08-07T15:30:42.746887Z,2026-08-07T15:31:22.020548Z
10,3,2,D_wan_delay,3,gac_fdw_multiregion_event_exact_regional_summary,10000,10,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-10.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153135Z-aggregate-exact-10-d_wan_delay,2026-08-07T15:31:22.021296Z,2026-08-07T15:32:11.794949Z
11,3,3,B_fetch_size,3,gac_fdw_multiregion_event_exact_raw_summary,10000,0,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/instance_manifests/order-11.csv,completed,master-regimes/generated/feedback-loop-runs/20260807T152322Z-pressure-feedback-loop-aggregate-exact-v1/sweeps/20260807T153219Z-aggregate-exact-11-b_fetch_size,2026-08-07T15:32:11.795647Z,2026-08-07T15:33:03.725738Z
