decision_id,trajectory_id,source_state_id,target_state_id,action_id,reference_view,domain_id,relative_pressure_evidence,status,conflicting_component_signs,positive_component_count,negative_component_count
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,previous_accepted_state,remote_fdw_path,-0.023255609790867552,available,True,2,3
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,previous_accepted_state,regional_reduction,1.9999543558412152,available,True,2,1
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,previous_accepted_state,gac_finalization,-1.6923174543846318,available,False,0,4
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,previous_accepted_state,imbalance,-0.28572043656539503,available,True,1,3
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,previous_accepted_state,disk_spill,-1.9999995832776365,available,False,0,2
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,previous_accepted_state,repartition_locality,,insufficient_evidence,False,0,0
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,prior_logical_question_history,remote_fdw_path,-0.023255609790867552,available,True,2,3
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,prior_logical_question_history,regional_reduction,1.9999543558412152,available,True,2,1
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,prior_logical_question_history,gac_finalization,-1.6923174543846318,available,False,0,4
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,prior_logical_question_history,imbalance,-0.28572043656539503,available,True,1,3
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,prior_logical_question_history,disk_spill,-1.9999995832776365,available,False,0,2
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,prior_logical_question_history,repartition_locality,,insufficient_evidence,False,0,0
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,trajectory_origin,remote_fdw_path,-0.023255609790867552,available,True,2,3
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,trajectory_origin,regional_reduction,1.9999543558412152,available,True,2,1
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,trajectory_origin,gac_finalization,-1.6923174543846318,available,False,0,4
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,trajectory_origin,imbalance,-0.28572043656539503,available,True,1,3
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,trajectory_origin,disk_spill,-1.9999995832776365,available,False,0,2
trajectory_join_pushdown-step-01,trajectory_join_pushdown,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,trajectory_origin,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,previous_accepted_state,remote_fdw_path,0.0,available,True,2,2
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,previous_accepted_state,regional_reduction,0.0,available,False,0,1
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,previous_accepted_state,gac_finalization,-3.841403071548593e-05,available,False,0,3
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,previous_accepted_state,imbalance,0.0,available,False,0,1
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,previous_accepted_state,disk_spill,-0.725276831612481,available,False,0,2
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,previous_accepted_state,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,prior_logical_question_history,remote_fdw_path,0.0,available,True,2,2
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,prior_logical_question_history,regional_reduction,0.0,available,False,0,1
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,prior_logical_question_history,gac_finalization,-3.841403071548593e-05,available,False,0,3
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,prior_logical_question_history,imbalance,0.0,available,False,0,1
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,prior_logical_question_history,disk_spill,-0.725276831612481,available,False,0,2
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,prior_logical_question_history,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,trajectory_origin,remote_fdw_path,0.0,available,True,2,2
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,trajectory_origin,regional_reduction,0.0,available,False,0,1
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,trajectory_origin,gac_finalization,-3.841403071548593e-05,available,False,0,3
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,trajectory_origin,imbalance,0.0,available,False,0,1
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,trajectory_origin,disk_spill,-0.725276831612481,available,False,0,2
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,trajectory_origin,repartition_locality,,insufficient_evidence,False,0,0
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,previous_accepted_state,remote_fdw_path,-0.33710571128911565,available,True,1,3
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,previous_accepted_state,regional_reduction,0.0,available,False,1,0
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,previous_accepted_state,gac_finalization,0.0,available,True,1,1
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,previous_accepted_state,imbalance,0.0,available,False,1,0
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,previous_accepted_state,disk_spill,0.0,available,False,0,0
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,previous_accepted_state,repartition_locality,,insufficient_evidence,False,0,0
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,prior_logical_question_history,remote_fdw_path,-0.931713718704144,available,True,1,4
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,prior_logical_question_history,regional_reduction,1.2718606009941624,available,True,2,1
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,prior_logical_question_history,gac_finalization,-1.1800474456982997e-05,available,True,1,3
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,prior_logical_question_history,imbalance,-0.28572043656539503,available,True,1,3
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,prior_logical_question_history,disk_spill,-1.9999999999997,available,False,0,2
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,prior_logical_question_history,repartition_locality,,insufficient_evidence,False,0,0
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,trajectory_origin,remote_fdw_path,-1.717638291518031,available,True,1,4
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,trajectory_origin,regional_reduction,1.9999550616767863,available,True,2,1
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,trajectory_origin,gac_finalization,-1.274696668752825e-05,available,True,1,3
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,trajectory_origin,imbalance,-0.28572043656539503,available,True,1,3
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,trajectory_origin,disk_spill,-1.9999995832776365,available,False,0,2
trajectory_join_pushdown-step-02,trajectory_join_pushdown,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,trajectory_origin,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,previous_accepted_state,remote_fdw_path,-0.010949600449079624,available,True,2,3
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,previous_accepted_state,regional_reduction,0.867528122472992,available,False,3,0
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,previous_accepted_state,gac_finalization,-0.8860774444322412,available,False,0,4
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,previous_accepted_state,imbalance,-2.101434652047682e-05,available,False,0,2
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,previous_accepted_state,disk_spill,-1.1489028130191365,available,True,1,1
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,previous_accepted_state,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,prior_logical_question_history,remote_fdw_path,-0.012514803224385496,available,True,2,3
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,prior_logical_question_history,regional_reduction,1.2040650262368253,available,False,3,0
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,prior_logical_question_history,gac_finalization,-1.3194012924119698,available,False,0,4
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,prior_logical_question_history,imbalance,-2.1014510186053674e-05,available,False,0,2
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,prior_logical_question_history,disk_spill,-1.1809216667580515,available,True,1,1
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,prior_logical_question_history,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,trajectory_origin,remote_fdw_path,-0.041778881543208045,available,True,2,3
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,trajectory_origin,regional_reduction,1.1780487409723257,available,False,3,0
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,trajectory_origin,gac_finalization,-1.3194012924119698,available,False,0,4
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,trajectory_origin,imbalance,-2.1014510186053674e-05,available,False,0,2
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,trajectory_origin,disk_spill,-1.9995695719528954,available,True,1,1
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,trajectory_origin,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,previous_accepted_state,remote_fdw_path,0.5104267574936983,available,False,4,0
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,previous_accepted_state,regional_reduction,0.0,available,False,0,1
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,previous_accepted_state,gac_finalization,0.0,available,True,1,1
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,previous_accepted_state,imbalance,0.0,available,False,0,1
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,previous_accepted_state,disk_spill,0.0,available,False,1,0
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,previous_accepted_state,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,prior_logical_question_history,remote_fdw_path,0.6197858461622332,available,True,4,1
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,prior_logical_question_history,regional_reduction,1.1462662250407065,available,False,3,0
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,prior_logical_question_history,gac_finalization,-1.3194012924119698,available,False,0,4
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,prior_logical_question_history,imbalance,-2.1014510186053674e-05,available,False,0,2
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,prior_logical_question_history,disk_spill,-0.6793090602454325,available,True,1,1
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,prior_logical_question_history,repartition_locality,,insufficient_evidence,False,0,0
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,trajectory_origin,remote_fdw_path,0.6248795555764283,available,True,4,1
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,trajectory_origin,regional_reduction,1.1596849541290952,available,False,3,0
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,trajectory_origin,gac_finalization,-1.3623775198541337,available,False,0,4
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,trajectory_origin,imbalance,-2.1014510186053674e-05,available,False,0,2
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,trajectory_origin,disk_spill,-1.7916916292746798,available,True,1,1
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,trajectory_origin,repartition_locality,,insufficient_evidence,False,0,0
