execution_slot_id,phase,trajectory_id,logical_question_id,state_id,step_index,repeat_index,repeat_role,action_id,template_id,status,query_run_id,collection_dir,sweep_dir,started_at_utc,finished_at_utc,elapsed_seconds,result_ordered_sha256,result_multiset_sha256,execution_status
phase-a-smoke-r01,A_smoke,smoke,collector_smoke,smoke,,1,required,session_rollback_smoke,smoke_select_one,completed,20260807T123913Z-pressure-feedback-loop-phase-a-smoke__collector-smoke-r01,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T123913Z-pressure-feedback-loop-phase-a-smoke/query-collections/20260807T123913Z-pressure-feedback-loop-phase-a-smoke__collector-smoke-r01,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T123913Z-pressure-feedback-loop-phase-a-smoke,2026-08-07T12:39:35.970550Z,2026-08-07T12:39:36.014709Z,0.044160,4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865,63d1528916b5a34f352d08c19915812ce8764571d0e1c507779ed3dd2a90390e,completed
b_origin-trajectory_aggregate_full_flow-s00-r01,B_origin,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,1,required,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,20260807T124147Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r01,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00/query-collections/20260807T124147Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r01,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00,2026-08-07T12:42:05.675278Z,2026-08-07T12:42:06.418721Z,0.743444,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,517957006acb9767d27640216d2277f7aadc3d5f861c7b51efe532e7f97f84b1,completed
b_origin-trajectory_aggregate_full_flow-s00-r02,B_origin,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,2,required,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,20260807T124222Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r02,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00/query-collections/20260807T124222Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r02,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00,2026-08-07T12:42:36.190407Z,2026-08-07T12:42:36.767161Z,0.576755,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,517957006acb9767d27640216d2277f7aadc3d5f861c7b51efe532e7f97f84b1,completed
b_origin-trajectory_aggregate_full_flow-s00-r03,B_origin,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,3,required,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,20260807T124252Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r03,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00/query-collections/20260807T124252Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r03,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00,2026-08-07T12:43:06.233036Z,2026-08-07T12:43:06.956222Z,0.723187,cf63dff5b5efd85715dc94dcda0be500b999851357539fca1e1bc37c2ecc8928,dfa267c63524695eb915953b9b200ae0ffea60de2fb8c8bad93023974212b7ad,completed
b_origin-trajectory_aggregate_full_flow-s00-r04,B_origin,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,4,required,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,20260807T124322Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r04,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00/query-collections/20260807T124322Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r04,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00,2026-08-07T12:43:36.857018Z,2026-08-07T12:43:37.526682Z,0.669665,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,517957006acb9767d27640216d2277f7aadc3d5f861c7b51efe532e7f97f84b1,completed
b_origin-trajectory_aggregate_full_flow-s00-r05,B_origin,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,5,required,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,20260807T124353Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r05,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00/query-collections/20260807T124353Z-feedback-loop-b-aggregate-s00__trajectory_aggregate_full_flow_s00-r05,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00,2026-08-07T12:44:07.070105Z,2026-08-07T12:44:07.730386Z,0.660281,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,517957006acb9767d27640216d2277f7aadc3d5f861c7b51efe532e7f97f84b1,completed
correctness-b_origin-trajectory_aggregate_full_flow-s00-r01,B_correctness_only,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,1,correctness_only,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,correctness-only-r01,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness/query-collections/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness__trajectory_aggregate_full_flow_s00-r01,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness,2026-08-07T12:45:46.052387Z,2026-08-07T12:45:46.544259Z,0.492403247859329,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,39e590433e5d5c1abf768edc5b41d9a6fe840e209ffc1febea98daa3ef03e502,completed
correctness-b_origin-trajectory_aggregate_full_flow-s00-r02,B_correctness_only,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,2,correctness_only,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,correctness-only-r02,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness/query-collections/20260807T124547Z-feedback-loop-b-aggregate-s00-correctness__trajectory_aggregate_full_flow_s00-r02,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness,2026-08-07T12:45:47.334454Z,2026-08-07T12:45:47.919641Z,0.5853282250463963,cf63dff5b5efd85715dc94dcda0be500b999851357539fca1e1bc37c2ecc8928,7b14bc3b840816eded4f5eca25ff3927e7426039c3fdfa94004346956451b191,completed
correctness-b_origin-trajectory_aggregate_full_flow-s00-r03,B_correctness_only,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,3,correctness_only,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,correctness-only-r03,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness/query-collections/20260807T124548Z-feedback-loop-b-aggregate-s00-correctness__trajectory_aggregate_full_flow_s00-r03,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness,2026-08-07T12:45:48.685424Z,2026-08-07T12:45:49.279180Z,0.5939110110048205,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,39e590433e5d5c1abf768edc5b41d9a6fe840e209ffc1febea98daa3ef03e502,completed
correctness-b_origin-trajectory_aggregate_full_flow-s00-r04,B_correctness_only,trajectory_aggregate_full_flow,event_full_scan_summary,trajectory_aggregate_full_flow_s00,0,4,correctness_only,baseline,gac_fdw_multiregion_event_full_scan_summary,completed,correctness-only-r04,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness/query-collections/20260807T124549Z-feedback-loop-b-aggregate-s00-correctness__trajectory_aggregate_full_flow_s00-r04,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/correctness-sweeps/20260807T124545Z-feedback-loop-b-aggregate-s00-correctness,2026-08-07T12:45:50.054110Z,2026-08-07T12:45:50.618545Z,0.564576965989545,cf63dff5b5efd85715dc94dcda0be500b999851357539fca1e1bc37c2ecc8928,7b14bc3b840816eded4f5eca25ff3927e7426039c3fdfa94004346956451b191,completed
