decision_id,trajectory_id,step_index,source_state_id,target_state_id,action_id,result_validation_status,elapsed_log2_gain,elapsed_gain_interval_low,elapsed_gain_interval_high,noise_status,outcome_label,accepted,rollback_status,before_ordered_sha256,after_ordered_sha256,before_multiset_sha256,after_multiset_sha256
trajectory_join_pushdown-step-01,trajectory_join_pushdown,1,trajectory_join_pushdown_s00,trajectory_join_pushdown_s01,regional_pushdown_rewrite,equivalent,2.4827621856856377,2.0614110589317285,2.614639091580875,resolved,mixed,true,verified,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98
trajectory_sort_order_topk-step-01,trajectory_sort_order_topk,1,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_s01,gac_work_mem_64mb,equivalent,0.15688997447393777,0.07929644020615184,0.18159908775984127,resolved,mixed,true,verified,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a
trajectory_join_pushdown-step-02,trajectory_join_pushdown,2,trajectory_join_pushdown_s01,trajectory_join_pushdown_s02,fdw_async_capable_on,equivalent,0.5670434101792504,0.3398810554134945,1.1191425929638983,resolved,mixed,true,verified,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98
trajectory_sort_order_topk-step-02,trajectory_sort_order_topk,2,trajectory_sort_order_topk_s01,trajectory_sort_order_topk_s02,regional_pushdown_rewrite,equivalent,1.4546662123615188,1.2770241467888634,1.5646836077573412,resolved,mixed,true,verified,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a
trajectory_sort_order_topk-step-03,trajectory_sort_order_topk,3,trajectory_sort_order_topk_s02,trajectory_sort_order_topk_s03,wan_delay_10ms_probe,equivalent,-0.9050495828657144,-1.0502834629012638,-0.7311228189894583,resolved,mixed,false,verified,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a
phase-b-aggregate-exact-result-gate,trajectory_aggregate_full_flow,0,trajectory_aggregate_full_flow_s00,,baseline,unresolved_float_rendering_variation,,,,not_applicable,indeterminate,false,not_required,,,,
phase-d-trajectory_aggregate_full_flow-rollback,trajectory_aggregate_full_flow,99,trajectory_aggregate_full_flow_s00,trajectory_aggregate_full_flow_rollback,restore_origin,unresolved_origin_contract,-0.07602016609086486,-0.5717949497849932,0.1587378768008588,within_noise,rollback_audit,audit_only,verified,,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,,517957006acb9767d27640216d2277f7aadc3d5f861c7b51efe532e7f97f84b1
phase-d-trajectory_join_pushdown-rollback,trajectory_join_pushdown,99,trajectory_join_pushdown_s00,trajectory_join_pushdown_rollback,restore_origin,equivalent,0.06690115168947644,-0.04063357041401584,0.15533886413910283,within_noise,rollback_audit,audit_only,verified,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98
phase-d-trajectory_sort_order_topk-rollback,trajectory_sort_order_topk,99,trajectory_sort_order_topk_s00,trajectory_sort_order_topk_rollback,restore_origin,equivalent,0.021023617809400364,-0.17078075928233244,0.15264731959192496,within_noise,rollback_audit,audit_only,verified,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a
phase-e-replay-work-mem,trajectory_sort_order_topk,confirmatory,replay_A_baseline,replay_B_work_mem,gac_work_mem_64mb,equivalent,0.20427057154617584,0.020654117957941854,0.26434542354561297,resolved,improved,confirmatory,verified,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a
