state_id,phase,trajectory_id,logical_question_id,step_index,action_id,template_id,accepted,repetition_count,elapsed_median_seconds,elapsed_mad_seconds,elapsed_min_seconds,elapsed_max_seconds,result_status,ordered_sha256,multiset_sha256,profile_path,raw_signal_path,sweep_dir
trajectory_aggregate_full_flow_s00,B_origin,trajectory_aggregate_full_flow,event_full_scan_summary,0,baseline,gac_fdw_multiregion_event_full_scan_summary,false,5,0.669665,0.0793517172000001,0.576755,0.743444,unresolved,,,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_aggregate_full_flow_s00/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_aggregate_full_flow_s00/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124147Z-feedback-loop-b-aggregate-s00
trajectory_join_pushdown_s00,B_origin,trajectory_join_pushdown,user_segment_topk,0,baseline,gac_fdw_coordinator_local_user_join,true,5,18.55146,0.8546907305999963,17.777473,19.72425,equivalent,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_s00/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_s00/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T124618Z-feedback-loop-b-join-s00
trajectory_sort_order_topk_s00,B_origin,trajectory_sort_order_topk,user_value_topk,0,baseline,gac_fdw_coordinator_raw_user_topk,true,5,17.62415,0.05834920560000222,16.701297,17.663506,equivalent,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s00/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s00/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T125201Z-feedback-loop-b-topk-s00
trajectory_join_pushdown_s01,C_adaptive,trajectory_join_pushdown,user_segment_topk,1,regional_pushdown_rewrite,gac_fdw_coordinator_regional_user_join,true,3,3.318885,0.42279452460000005,3.033714,4.306474,equivalent,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_s01/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_s01/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T125847Z-feedback-loop-c-join-s01
trajectory_join_pushdown_s02,C_adaptive,trajectory_join_pushdown,user_segment_topk,2,fdw_async_capable_on,gac_fdw_coordinator_regional_user_join,true,3,2.240243,0.23234417640000002,1.98256,2.396957,equivalent,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_s02/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_s02/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T130627Z-feedback-loop-c-join-s02-async
trajectory_sort_order_topk_s01,C_adaptive,trajectory_sort_order_topk,user_value_topk,1,gac_work_mem_64mb,gac_fdw_coordinator_raw_user_topk,true,3,15.808097,0.1637353788000004,15.573727,15.918535,equivalent,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s01/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s01/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T130057Z-feedback-loop-c-topk-s01-workmem
trajectory_sort_order_topk_s02,C_adaptive,trajectory_sort_order_topk,user_value_topk,2,regional_pushdown_rewrite,gac_fdw_coordinator_partial_user_topk,true,3,5.767418,0.5724733728000003,5.38129,6.426433,equivalent,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s02/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s02/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T130849Z-feedback-loop-c-topk-s02-pushdown
trajectory_sort_order_topk_s03,C_adaptive,trajectory_sort_order_topk,user_value_topk,3,wan_delay_10ms_probe,gac_fdw_coordinator_partial_user_topk,false,3,10.800118,0.19672026359999945,10.667432,11.144311,equivalent,e89628a556df2cf53f03281928e47b9599038b1892f4f55194abad2ba670eb0f,86f6d1795f6465f716a823aaf69912bbfa239ad58e57760b30d37b3e6cba349a,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s03/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_sort_order_topk_s03/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T131558Z-feedback-loop-c-topk-s03-delay
trajectory_aggregate_full_flow_rollback,D_rollback,trajectory_aggregate_full_flow,event_full_scan_summary,99,baseline,gac_fdw_multiregion_event_full_scan_summary,audit_only,3,0.705898,0.08608123860000004,0.647837,0.981423,equivalent,b023d7055474a218946da611c830ca8e1bef8b74749fee9a044832c3323552e7,517957006acb9767d27640216d2277f7aadc3d5f861c7b51efe532e7f97f84b1,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_aggregate_full_flow_rollback/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_aggregate_full_flow_rollback/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T131947Z-feedback-loop-d-aggregate-rollback
trajectory_join_pushdown_rollback,D_rollback,trajectory_join_pushdown,user_segment_topk,99,baseline,gac_fdw_coordinator_local_user_join,audit_only,3,17.710827,0.2686130201999972,17.52965,18.488442,equivalent,2cefb09f4eff7a72c8726f00472eeffd6dc63f2cc0b38a7e6aff2362992352f3,2c9c24cb85b35fb0f33ffd9b5818ea53de345a7c0586f6dc03307ab27561fa98,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_rollback/domain_profile.json,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/states/trajectory_join_pushdown_rollback/raw_signals.csv,master-regimes/generated/feedback-loop-runs/20260807T123708Z-pressure-feedback-loop-v1/sweeps/20260807T132128Z-feedback-loop-d-join-rollback
