state_id,query_run_count,region_fragment_count,repartition_observed_values,mapmerge_count_values,locality_classes,parse_ok_high_count,task_count_64_count,dependent_graph_value_count,corrected_coordinate,corrected_status,correction_supported
trajectory_aggregate_full_flow_s00,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
trajectory_join_pushdown_s00,5,20,false,0,distributed_task_plan,20,20,0,0.0,available,True
trajectory_sort_order_topk_s00,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
trajectory_join_pushdown_s01,3,6,false,0,colocated_join_candidate,6,6,0,0.0,available,True
trajectory_join_pushdown_s02,3,6,false,0,colocated_join_candidate,6,6,0,0.0,available,True
trajectory_sort_order_topk_s01,3,6,false,0,distributed_task_plan,6,6,0,0.0,available,True
trajectory_sort_order_topk_s02,3,6,false,0,distributed_task_plan,6,6,0,0.0,available,True
trajectory_sort_order_topk_s03,3,6,false,0,distributed_task_plan,6,6,0,0.0,available,True
trajectory_aggregate_full_flow_rollback,3,6,false,0,distributed_task_plan,6,6,0,0.0,available,True
trajectory_join_pushdown_rollback,3,12,false,0,distributed_task_plan,12,12,0,0.0,available,True
trajectory_sort_order_topk_rollback,3,6,false,0,distributed_task_plan,6,6,0,0.0,available,True
replay_A_baseline,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
replay_B_work_mem,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
replay_C_pushdown,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
replay_D_wan_delay,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
A_raw_baseline,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
B_fetch_size,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
C_regional_aggregate,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
D_wan_delay,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
R0_prime_rollback,5,10,false,0,distributed_task_plan,10,10,0,0.0,available,True
