feature,in_f19,in_f21_development,in_p64_to_6
active_task_share,True,True,False
aggregate_rows_estimate_error_log,True,True,False
analytics_rx_bytes_sum,False,False,True
citus_repartition_observed_v2,True,False,False
citus_repartition_query,False,True,False
coordinator_blocking_input_rows_sum,False,False,True
coordinator_fanin_bytes_estimated,False,False,True
coordinator_fanin_rows,False,False,True
coordinator_final_bytes_estimated,False,False,True
coordinator_final_rows,False,False,True
coordinator_foreign_scan_time_ms_sum,False,False,True
coordinator_main_plan_total_time_ms,False,False,True
coordinator_non_foreign_time_share_proxy,False,False,True
coordinator_sort_input_rows_sum,False,False,True
coordinator_sort_time_ms_max,False,False,True
coordinator_temp_written_blocks,False,False,True
drf_bytes_proxy,False,True,False
edge_boundary_wait_ms_sum,False,False,True
edge_estimated_fetch_cycles_sum,False,False,True
edge_foreign_scan_time_ms_sum,False,False,True
edge_regional_plan_time_ms_sum,False,False,True
edge_remote_bytes_max_share,False,False,True
edge_remote_bytes_sum,False,False,True
edge_remote_rows_max_share,False,False,True
edge_remote_rows_sum,False,False,True
edge_rtt_context_median_ms_max,False,False,True
edge_rtt_context_median_ms_mean,False,False,True
edge_source_tx_bps_mean,False,False,True
edge_source_tx_bps_min,False,False,True
edge_source_tx_bytes_sum,False,False,True
edge_tcp_retrans_sum,False,False,True
elapsed_seconds,False,False,True
estimated_fanin_bytes,False,False,True
estimated_remote_output_bytes,False,False,True
estimated_result_bytes,False,False,True
foreign_scan_rows_estimate_error_log,True,True,False
foreign_scan_time_to_root_ratio,True,False,False
global_group_merge_ratio,True,True,False
hash_batch_excess,True,False,False
hash_batches_max,False,True,False
os_cpu_busy_pct_max,False,False,True
os_cpu_busy_pct_mean,False,False,True
os_disk_read_bytes_sum,False,False,True
os_disk_written_bytes_sum,False,False,True
os_mem_used_peak_bytes_max,False,False,True
os_net_rx_bytes_sum,False,False,True
os_net_tx_bytes_sum,False,False,True
os_tcp_retrans_segs_sum,False,False,True
os_tcp_timeouts_sum,False,False,True
regional_coordinator_tx_bytes_sum,False,False,True
regional_input_to_wan_rows_ratio,True,False,False
regional_temp_written_blocks_sum,False,False,True
remote_path_share,False,True,False
remote_region_actual_rows_cv,False,False,True
remote_region_actual_rows_max_share,False,False,True
remote_region_actual_rows_sum,False,False,True
remote_region_actual_time_cv,False,False,True
remote_region_actual_time_max_share,False,False,True
remote_region_actual_time_sum,False,False,True
remote_region_rows_isf,False,True,False
remote_region_rows_isf_normalized,True,False,False
remote_region_tuple_bytes_cv,False,False,True
remote_region_tuple_bytes_max_share,False,False,True
remote_region_tuple_bytes_sum,False,False,True
remote_root_rows_estimate_error_log,True,True,False
remote_to_final_rows_ratio,True,True,False
result_output_byte_count,False,False,True
result_row_count,False,False,True
root_rows_estimate_error_log,True,True,False
spill_bytes_to_wan_bytes_ratio,True,False,False
spill_per_wan_mb,False,True,False
spill_present,True,False,False
task_count,False,False,True
task_count_to_shard_count_ratio,True,True,False
temp_blks_written_sum,False,False,True
temp_blocks_per_final_row,True,True,False
temp_blocks_per_wan_row,False,True,False
temp_bytes_to_wan_bytes_ratio,False,True,False
wan_output_to_final_rows_ratio,False,True,False
worker_scan_rows_cv_normalized,True,False,False
worker_task_actual_rows_cv,False,False,True
worker_task_actual_rows_max_share,False,False,True
worker_task_actual_rows_sum,False,False,True
worker_task_scan_actual_rows_cv,False,False,True
worker_task_scan_actual_rows_max_share,False,True,True
worker_task_scan_actual_rows_sum,False,False,True
worker_task_scan_rows_isf,False,True,False
worker_task_scan_rows_isf_normalized,True,False,False
worker_task_seq_scan_share,True,True,True
worker_task_within_region_worker_scan_rows_cv_max,False,False,True
worker_task_within_region_worker_scan_rows_max_share_max,False,False,True
worker_tx_bytes_sum,False,False,True
