evaluation,representation,metric,point_estimate,ci_lower,ci_upper,cluster_key,cluster_count,bootstrap_samples,finite_bootstrap_samples
E1,R1_sql_structural,coverage,0.6,0.3333333333333333,0.8666666666666667,query_id,15,10000,10000
E1,R1_sql_structural,top1_accuracy,0.7777777777777778,0.5,1.0,query_id,15,10000,10000
E1,R1_sql_structural,mean_regret_log2,0.15994150256932194,0.0,0.4148022156876294,query_id,15,10000,10000
E1,R2_coordinator_physical,coverage,0.9333333333333333,0.8,1.0,query_id,15,10000,10000
E1,R2_coordinator_physical,top1_accuracy,0.7857142857142857,0.5384615384615384,1.0,query_id,15,10000,10000
E1,R2_coordinator_physical,mean_regret_log2,0.30865958406169286,0.0,0.7011202298275332,query_id,15,10000,10000
E1,R3_full_multilayer,coverage,0.9333333333333333,0.8,1.0,query_id,15,10000,10000
E1,R3_full_multilayer,top1_accuracy,0.8571428571428571,0.6666666666666666,1.0,query_id,15,10000,10000
E1,R3_full_multilayer,mean_regret_log2,0.044255786341838355,0.0,0.12429039099305517,query_id,15,10000,10000
E2,R1_sql_structural,coverage,0.7333333333333333,0.475,0.925,query_id,15,10000,10000
E2,R1_sql_structural,top1_accuracy,0.7575757575757576,0.42857142857142855,1.0,query_id,15,10000,10000
E2,R1_sql_structural,mean_regret_log2,0.15427807146639552,0.0,0.37698763997567764,query_id,15,10000,10000
E2,R2_coordinator_physical,coverage,0.9111111111111111,0.75,1.0,query_id,15,10000,10000
E2,R2_coordinator_physical,top1_accuracy,0.6585365853658537,0.4,0.9428571428571428,query_id,15,10000,10000
E2,R2_coordinator_physical,mean_regret_log2,0.4429701449510557,0.046850263310979835,0.9687027237117568,query_id,15,10000,10000
E2,R3_full_multilayer,coverage,0.9111111111111111,0.7142857142857143,1.0,query_id,15,10000,10000
E2,R3_full_multilayer,top1_accuracy,0.926829268292683,0.7894338118022333,1.0,query_id,15,10000,10000
E2,R3_full_multilayer,mean_regret_log2,0.021395336210752444,0.0,0.06087971770503148,query_id,15,10000,10000
E3,R1_sql_structural,coverage,0.0,0.0,0.0,query_id,15,10000,10000
E3,R1_sql_structural,top1_accuracy,,,,query_id,15,10000,0
E3,R1_sql_structural,mean_regret_log2,,,,query_id,15,10000,0
E3,R2_coordinator_physical,coverage,0.9333333333333333,0.8,1.0,query_id,15,10000,10000
E3,R2_coordinator_physical,top1_accuracy,0.6428571428571429,0.38461538461538464,0.8666666666666667,query_id,15,10000,10000
E3,R2_coordinator_physical,mean_regret_log2,0.4704444752394331,0.05263894696059231,0.9821410217555139,query_id,15,10000,10000
E3,R3_full_multilayer,coverage,0.0,0.0,0.0,query_id,15,10000,10000
E3,R3_full_multilayer,top1_accuracy,,,,query_id,15,10000,0
E3,R3_full_multilayer,mean_regret_log2,,,,query_id,15,10000,0
E4,R1_sql_structural,coverage,0.9333333333333333,0.8,1.0,query_id,15,10000,10000
E4,R1_sql_structural,top1_accuracy,0.5714285714285714,0.3076923076923077,0.8333333333333334,query_id,15,10000,10000
E4,R1_sql_structural,mean_regret_log2,0.5491968183669788,0.13538952632631546,1.035785331035296,query_id,15,10000,10000
E4,R2_coordinator_physical,coverage,1.0,1.0,1.0,query_id,15,10000,10000
E4,R2_coordinator_physical,top1_accuracy,0.5333333333333333,0.26666666666666666,0.8,query_id,15,10000,10000
E4,R2_coordinator_physical,mean_regret_log2,0.688489246948788,0.24864232276211667,1.1956794973765565,query_id,15,10000,10000
E4,R3_full_multilayer,coverage,1.0,1.0,1.0,query_id,15,10000,10000
E4,R3_full_multilayer,top1_accuracy,0.8,0.6,1.0,query_id,15,10000,10000
E4,R3_full_multilayer,mean_regret_log2,0.23069176299185404,0.0,0.633414041780971,query_id,15,10000,10000
