representation,feature,family,transform,reference_state_count,observed_count,missing_share,distinct_count,selected,decision,fit_scope
R1_sql_structural,sql_select_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_join_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_selection_predicate_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_equality_predicate_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_non_equality_predicate_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_aggregate_function_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_nested_query_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_cte_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_table_reference_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_group_by_present,sql_structure,identity,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_group_expression_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_distinct_present,sql_structure,identity,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_order_by_present,sql_structure,identity,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_order_expression_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_limit_present,sql_structure,identity,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_topk_present,sql_structure,identity,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_set_operation_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,sql_window_function_count,sql_structure,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
R1_sql_structural,plan_main_node_count,basic_plan,log1p,26.0,26.0,0.0,1.0,True,retained_constant_for_unseen_structure,development_reference_only
