representation,pair_type,left_episode_id,right_episode_id,left_round_id,right_round_id,left_query_id,right_query_id,same_query_id,representation_distance_l2,action_response_distance_l1,action_response_distance_l2,left_best_action,right_best_action,best_action_equal,action_rank_disagreement,action_response_spearman
R1_sql_structural,N2-N3,n2_control::q01_event_value_desc,phase_a::q01_event_value_desc,n2_control,phase_a,q01_event_value_desc,q01_event_value_desc,True,0.16250815213227618,0.27049865229610365,0.19318492372941204,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q01_event_value_desc,phase_b::q01_event_value_desc,n2_control,phase_b,q01_event_value_desc,q01_event_value_desc,True,0.16250815213227618,0.3887739999174609,0.2748003876446099,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q02_event_value_asc,phase_a::q02_event_value_asc,n2_control,phase_a,q02_event_value_asc,q02_event_value_asc,True,0.16250815213227618,1.0181591360228726,0.6048466710890595,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q02_event_value_asc,phase_b::q02_event_value_asc,n2_control,phase_b,q02_event_value_asc,q02_event_value_asc,True,0.16250815213227618,0.5744752803955551,0.38523409115655316,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.3333333333333333,0.5
R1_sql_structural,N2-N3,n2_control::q03_event_recent,phase_a::q03_event_recent,n2_control,phase_a,q03_event_recent,q03_event_recent,True,0.15965384373503894,0.38730438199642775,0.3297753909812492,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q03_event_recent,phase_b::q03_event_recent,n2_control,phase_b,q03_event_recent,q03_event_recent,True,0.15965384373503894,0.2680083872200797,0.25337298532536506,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q04_event_oldest,phase_a::q04_event_oldest,n2_control,phase_a,q04_event_oldest,q04_event_oldest,True,0.15965384373503894,0.2970192882944151,0.18660667713134274,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q04_event_oldest,phase_b::q04_event_oldest,n2_control,phase_b,q04_event_oldest,q04_event_oldest,True,0.15965384373503894,0.08328101349115703,0.06203329287852902,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q05_event_deviation,phase_a::q05_event_deviation,n2_control,phase_a,q05_event_deviation,q05_event_deviation,True,0.16250815213227618,0.6145465328269497,0.44540324887129357,regional_topk_candidates,regional_topk_candidates,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q05_event_deviation,phase_b::q05_event_deviation,n2_control,phase_b,q05_event_deviation,q05_event_deviation,True,0.16250815213227618,0.4487661445114312,0.40546812842389846,regional_topk_candidates,regional_topk_candidates,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q06_tenant_sum,phase_a::q06_tenant_sum,n2_control,phase_a,q06_tenant_sum,q06_tenant_sum,True,0.16075913981495854,0.32221895514507637,0.28496474122396387,regional_topk_candidates,regional_topk_candidates,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q06_tenant_sum,phase_b::q06_tenant_sum,n2_control,phase_b,q06_tenant_sum,q06_tenant_sum,True,0.16075913981495854,0.529515158435965,0.38512330232151387,regional_topk_candidates,regional_topk_candidates,True,0.0,1.0
R1_sql_structural,N2-N3,n2_control::q07_tenant_count,phase_a::q07_tenant_count,n2_control,phase_a,q07_tenant_count,q07_tenant_count,True,0.16075913981495854,0.5548496423310275,0.5328825336763378,regional_topk_candidates,regional_topk_candidates,True,0.0,1.0
