evaluation,candidate,baseline,metric,difference_formula,positive_favors_R3,mean_difference,ci_lower,ci_upper,bootstrap_samples
E1,R3_full_multilayer,R1_sql_structural,coverage,R3_minus_baseline,True,0.33318000000000003,0.1333333333333333,0.6,10000
E1,R3_full_multilayer,R1_sql_structural,top1_accuracy,R3_minus_baseline,True,0.08065260517260518,-0.25,0.4222222222222223,10000
E1,R3_full_multilayer,R1_sql_structural,mean_regret_log2,baseline_minus_R3,True,0.11596053804548888,-0.08261080117143159,0.38157809854613783,10000
E1,R3_full_multilayer,R2_coordinator_physical,coverage,R3_minus_baseline,True,0.00014666666666666636,-0.19999999999999996,0.19999999999999996,10000
E1,R3_full_multilayer,R2_coordinator_physical,top1_accuracy,R3_minus_baseline,True,0.07296423104673105,-0.2362637362637363,0.3846153846153847,10000
E1,R3_full_multilayer,R2_coordinator_physical,mean_regret_log2,baseline_minus_R3,True,0.26652813786530194,-0.04563712057376411,0.6747809660073583,10000
E2,R3_full_multilayer,R1_sql_structural,coverage,R3_minus_baseline,True,0.18406225354875447,0.039215686274509776,0.39473684210526316,10000
E2,R3_full_multilayer,R1_sql_structural,top1_accuracy,R3_minus_baseline,True,0.1648418761578206,-0.13888888888888884,0.5009077901430842,10000
E2,R3_full_multilayer,R1_sql_structural,mean_regret_log2,baseline_minus_R3,True,0.13257626879733506,-0.04099460319719269,0.35262185747771535,10000
E2,R3_full_multilayer,R2_coordinator_physical,coverage,R3_minus_baseline,True,0.0023573074129886167,-0.23219034954407247,0.21999999999999997,10000
E2,R3_full_multilayer,R2_coordinator_physical,top1_accuracy,R3_minus_baseline,True,0.260502622750151,-0.06644395078605576,0.5582011368377138,10000
E2,R3_full_multilayer,R2_coordinator_physical,mean_regret_log2,baseline_minus_R3,True,0.4135499861050305,0.013245696047746312,0.9518465960463012,10000
E3,R3_full_multilayer,R1_sql_structural,coverage,R3_minus_baseline,True,0.0,0.0,0.0,10000
E3,R3_full_multilayer,R1_sql_structural,top1_accuracy,R3_minus_baseline,True,,,,10000
E3,R3_full_multilayer,R1_sql_structural,mean_regret_log2,baseline_minus_R3,True,,,,10000
E3,R3_full_multilayer,R2_coordinator_physical,coverage,R3_minus_baseline,True,-0.9327533333333333,-1.0,-0.8,10000
E3,R3_full_multilayer,R2_coordinator_physical,top1_accuracy,R3_minus_baseline,True,,,,10000
E3,R3_full_multilayer,R2_coordinator_physical,mean_regret_log2,baseline_minus_R3,True,,,,10000
E4,R3_full_multilayer,R1_sql_structural,coverage,R3_minus_baseline,True,0.06588666666666666,0.0,0.19999999999999996,10000
E4,R3_full_multilayer,R1_sql_structural,top1_accuracy,R3_minus_baseline,True,0.22831791375291377,-0.033333333333333326,0.49230769230769234,10000
E4,R3_full_multilayer,R1_sql_structural,mean_regret_log2,baseline_minus_R3,True,0.3159527844986963,0.0,0.6763403086156632,10000
E4,R3_full_multilayer,R2_coordinator_physical,coverage,R3_minus_baseline,True,0.0,0.0,0.0,10000
E4,R3_full_multilayer,R2_coordinator_physical,top1_accuracy,R3_minus_baseline,True,0.2660666666666667,0.0,0.5333333333333334,10000
E4,R3_full_multilayer,R2_coordinator_physical,mean_regret_log2,baseline_minus_R3,True,0.4568925085295256,0.09861639740122907,0.8843550284164088,10000
