representation,pair_type,left_episode_id,right_episode_id,left_round_id,right_round_id,left_query_id,right_query_id,same_query_id,representation_distance_l2,action_response_distance_l1,action_response_distance_l2,left_best_action,right_best_action,best_action_equal,action_rank_disagreement,action_response_spearman
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q02_event_value_asc,n2_control,n2_control,q01_event_value_desc,q02_event_value_asc,False,0.0,1.9410393292018178,1.4912863256873705,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q03_event_recent,n2_control,n2_control,q01_event_value_desc,q03_event_recent,False,0.052595439437442014,1.3285769054249665,1.1091858866095425,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q04_event_oldest,n2_control,n2_control,q01_event_value_desc,q04_event_oldest,False,0.052595439437442014,0.7204000474158874,0.601738791591885,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q05_event_deviation,n2_control,n2_control,q01_event_value_desc,q05_event_deviation,False,0.0,3.3395115513267513,2.271271386727653,mitigate_remote_path_bundle,regional_topk_candidates,False,0.3333333333333333,0.5
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q06_tenant_sum,n2_control,n2_control,q01_event_value_desc,q06_tenant_sum,False,0.5030933542678232,3.098089677978225,2.9099260065056725,mitigate_remote_path_bundle,regional_topk_candidates,False,0.3333333333333333,0.5
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q07_tenant_count,n2_control,n2_control,q01_event_value_desc,q07_tenant_count,False,0.5030933542678232,7.221595068739267,5.946187908393981,mitigate_remote_path_bundle,regional_topk_candidates,False,0.3333333333333333,0.5
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q08_tenant_avg,n2_control,n2_control,q01_event_value_desc,q08_tenant_avg,False,0.5030933542678232,5.846716232443587,4.59351759274444,mitigate_remote_path_bundle,regional_topk_candidates,False,0.3333333333333333,0.5
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q09_tenant_max,n2_control,n2_control,q01_event_value_desc,q09_tenant_max,False,0.5030933542678232,1.5470148955496699,1.0665106423596293,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q10_tenant_min,n2_control,n2_control,q01_event_value_desc,q10_tenant_min,False,0.5030933542678232,2.4508513782420964,1.9304260261928463,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,1.0
R1_sql_structural,N2-N2,n2_control::q01_event_value_desc,n2_control::q11_tenant_high_count,n2_control,n2_control,q01_event_value_desc,q11_tenant_high_count,False,0.5121509415946086,3.2641507761066624,2.2807363615937395,mitigate_remote_path_bundle,regional_topk_candidates,False,0.3333333333333333,0.5
