evaluation,representation,episode_count,recommendation_count,abstention_count,coverage,correct_decision_count,top1_accuracy,mean_regret_log2,nearest_distance_median,nearest_distance_p25,nearest_distance_p75,nearest_distance_p95,coverage_threshold
E1,R1_sql_structural,15,9,6,0.6,7,0.7777777777777778,0.15994150256932194,0.0,0.0,0.06348831160442263,0.26154890869641423,0.0
E1,R2_coordinator_physical,15,14,1,0.9333333333333333,11,0.7857142857142857,0.30865958406169286,0.48859922034176684,0.3552140388219852,0.5412857819031713,0.6613548847073536,0.7712676406493916
E1,R3_full_multilayer,15,14,1,0.9333333333333333,12,0.8571428571428571,0.044255786341838355,1.2029897840268182,0.935997042427317,1.330411642532471,3.571717377249907,1.9533554892194176
E2,R1_sql_structural,45,33,12,0.7333333333333333,25,0.7575757575757576,0.15427807146639552,0.0,0.0,0.042973603055164546,0.16075913981495854,0.0
E2,R2_coordinator_physical,45,41,4,0.9111111111111111,27,0.6585365853658537,0.4429701449510557,0.47662818292430637,0.4104528638394356,0.5517524284397342,0.7835819525434582,0.7712676406493916
E2,R3_full_multilayer,45,41,4,0.9111111111111111,38,0.926829268292683,0.021395336210752444,1.1616815548815769,0.9646254389823443,1.3134709118135817,8.348806309747719,1.9533554892194176
E3,R1_sql_structural,15,0,15,0.0,0,,,0.15376156626358028,0.12902649792291018,0.15495789540957797,0.17584929321519324,0.0
E3,R2_coordinator_physical,15,14,1,0.9333333333333333,9,0.6428571428571429,0.4704444752394331,0.4887279290596526,0.3564685970535654,0.5519334817710204,0.6431349996054605,0.7712676406493916
E3,R3_full_multilayer,15,0,15,0.0,0,,,6.657744442985115,5.942143642834724,8.313572931200973,8.56159662179103,1.9533554892194176
E4,R1_sql_structural,15,14,1,0.9333333333333333,8,0.5714285714285714,0.5491968183669788,0.0,0.0,0.0,0.022314355131420896,0.0
E4,R2_coordinator_physical,15,15,0,1.0,8,0.5333333333333333,0.688489246948788,0.4851831967789241,0.3568658413328882,0.5013514315281574,0.5368303705122283,0.7712676406493916
E4,R3_full_multilayer,15,15,0,1.0,12,0.8,0.23069176299185404,1.31348336529344,1.2296213404596887,1.4773303938531197,1.6092008330674101,1.9533554892194176
