episode_id,sql_select_count,sql_join_count,sql_selection_predicate_count,sql_equality_predicate_count,sql_non_equality_predicate_count,sql_aggregate_function_count,sql_nested_query_count,sql_cte_count,sql_table_reference_count,sql_group_by_present,sql_group_expression_count,sql_distinct_present,sql_order_by_present,sql_order_expression_count,sql_limit_present,sql_topk_present,sql_set_operation_count,sql_window_function_count,plan_main_node_count,plan_blocking_operator_count,plan_sort_operator_count,plan_aggregate_operator_count,plan_join_operator_count,plan_window_operator_count,plan_limit_operator_count
q01_event_value_desc::run-1,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q02_event_value_asc::run-1,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q02_event_value_asc::run-2,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q03_event_recent::run-1,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q03_event_recent::run-2,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q03_event_recent::run-3,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q04_event_oldest::run-1,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q04_event_oldest::run-2,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q04_event_oldest::run-3,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q04_event_oldest::run-4,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q05_event_deviation::run-1,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q05_event_deviation::run-2,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q05_event_deviation::run-3,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q05_event_deviation::run-4,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q05_event_deviation::run-5,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,6,1,1,0,0,0,1
q06_tenant_sum::run-1,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,7,2,1,1,0,0,1
