evaluation,candidate,baseline,metric,difference_definition,difference_formula,mean_difference,ci_lower,ci_upper,bootstrap_samples
first_occurrence,full_multilayer,sql_structural,coverage,positive_favors_full,full_minus_baseline,0.3331133333333333,0.1333333333333333,0.6,10000
first_occurrence,full_multilayer,sql_structural,top1_accuracy,positive_favors_full,full_minus_baseline,0.0800958116883117,-0.2666666666666667,0.41666666666666663,10000
first_occurrence,full_multilayer,sql_structural,mean_regret_log2,positive_favors_full,baseline_minus_full,0.116703576653648,-0.08261080117143159,0.3831843037002111,10000
first_occurrence,full_multilayer,coordinator_physical,coverage,positive_favors_full,full_minus_baseline,-0.0005199999999999997,-0.19999999999999996,0.19999999999999996,10000
first_occurrence,full_multilayer,coordinator_physical,top1_accuracy,positive_favors_full,full_minus_baseline,0.0705095337995338,-0.24102564102564106,0.3846969696969686,10000
first_occurrence,full_multilayer,coordinator_physical,mean_regret_log2,positive_favors_full,baseline_minus_full,0.261659493804931,-0.044255786341838355,0.6634981325922173,10000
same_query_excluded,full_multilayer,sql_structural,coverage,positive_favors_full,full_minus_baseline,0.18433865753464557,0.039215686274509776,0.3939393939393939,10000
same_query_excluded,full_multilayer,sql_structural,top1_accuracy,positive_favors_full,full_minus_baseline,0.1641558908601588,-0.1428571428571429,0.5,10000
same_query_excluded,full_multilayer,sql_structural,mean_regret_log2,positive_favors_full,baseline_minus_full,0.133292528789299,-0.041741954694274865,0.3573389775340936,10000
same_query_excluded,full_multilayer,coordinator_physical,coverage,positive_favors_full,full_minus_baseline,0.0021144134693968264,-0.23404255319148937,0.22580645161290325,10000
same_query_excluded,full_multilayer,coordinator_physical,top1_accuracy,positive_favors_full,full_minus_baseline,0.25408822828370764,-0.07692307692307687,0.5625302032244662,10000
same_query_excluded,full_multilayer,coordinator_physical,mean_regret_log2,positive_favors_full,baseline_minus_full,0.40425902577692385,0.011401828513283882,0.9380436187505581,10000
