representation,feature,family,transform,included,source_scope,reason
sql_structural,sql_select_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_join_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_selection_predicate_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_equality_predicate_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_non_equality_predicate_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_aggregate_function_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_nested_query_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_cte_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_table_reference_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_group_by_present,sql_structure,identity,True,normalized_sql,frozen_structural_contract
sql_structural,sql_group_expression_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_distinct_present,sql_structure,identity,True,normalized_sql,frozen_structural_contract
sql_structural,sql_order_by_present,sql_structure,identity,True,normalized_sql,frozen_structural_contract
sql_structural,sql_order_expression_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_limit_present,sql_structure,identity,True,normalized_sql,frozen_structural_contract
sql_structural,sql_topk_present,sql_structure,identity,True,normalized_sql,frozen_structural_contract
sql_structural,sql_set_operation_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,sql_window_function_count,sql_structure,log1p,True,normalized_sql,frozen_structural_contract
sql_structural,plan_main_node_count,basic_plan,log1p,True,basic_gac_plan,frozen_structural_contract
sql_structural,plan_blocking_operator_count,basic_plan,log1p,True,basic_gac_plan,frozen_structural_contract
sql_structural,plan_sort_operator_count,basic_plan,log1p,True,basic_gac_plan,frozen_structural_contract
sql_structural,plan_aggregate_operator_count,basic_plan,log1p,True,basic_gac_plan,frozen_structural_contract
sql_structural,plan_join_operator_count,basic_plan,log1p,True,basic_gac_plan,frozen_structural_contract
sql_structural,plan_window_operator_count,basic_plan,log1p,True,basic_gac_plan,frozen_structural_contract
sql_structural,plan_limit_operator_count,basic_plan,log1p,True,basic_gac_plan,frozen_structural_contract
coordinator_physical,elapsed_seconds,execution,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,elapsed_seconds,execution,log1p,True,execution,unchanged_existing_93_candidate_contract
coordinator_physical,result_row_count,execution,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,result_row_count,execution,log1p,True,execution,unchanged_existing_93_candidate_contract
coordinator_physical,result_output_byte_count,execution,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,result_output_byte_count,execution,log1p,True,execution,unchanged_existing_93_candidate_contract
coordinator_physical,shared_blks_hit_sum,execution,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,shared_blks_hit_sum,execution,log1p,True,execution,unchanged_existing_93_candidate_contract
coordinator_physical,shared_blks_read_sum,execution,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,shared_blks_read_sum,execution,log1p,True,execution,unchanged_existing_93_candidate_contract
coordinator_physical,temp_blks_written_sum,execution,log1p,True,coordinator_or_standard_execution,standard_coordinator_post_execution_evidence
full_multilayer,temp_blks_written_sum,execution,log1p,True,execution,unchanged_existing_93_candidate_contract
coordinator_physical,estimated_result_bytes,flow,log1p,False,flow,excluded_multilayer_region_worker_edge_or_telemetry
full_multilayer,estimated_result_bytes,flow,log1p,True,flow,unchanged_existing_93_candidate_contract
coordinator_physical,estimated_remote_output_bytes,flow,log1p,False,flow,excluded_multilayer_region_worker_edge_or_telemetry
