episode_id,query_id,topology_id,cohort,scenario_order,logical_question_id,round_id,case_index,best_action,winner_margin_log2,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,gain__increase_gac_work_mem,gain__regional_topk_candidates,gain__mitigate_remote_path_bundle
"reference::cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}",eu_us_gac,reference,1,event_raw_wide_sample,development,0,regional_topk_candidates,0.5781693289455241,3.7915856443374003,0.6455829191404471,1.2981007074515034,0.8031815046382363,1.0746523020403747,0.5501278564531965,0.0116307678132073,5.045466088749672,4.467296759804148
"reference::cross-action-pilot-v1::pilot_gac_topk::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}","cross-action-pilot-v1::pilot_gac_topk::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}",eu_us_gac,reference,2,event_raw_wide_sample,development,1,mitigate_remote_path_bundle,2.1890713358559077,-0.25642106022204625,0.8778162741572574,0.5730394105839887,-0.36492525416313165,-0.1655795012490893,-0.01808961263896292,0.0106406666902462,1.5442528549456571,3.733324190801565
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,3,event_raw_wide_sample,development,2,regional_topk_candidates,0.29745950732161397,2.575428871269651,0.8827531601441666,-0.14590968965183038,0.05295961537478902,-0.11393144452018926,-0.13694805106332814,0.033912495820706,2.983182859705127,2.685723352383513
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,4,event_raw_wide_sample,development,3,regional_topk_candidates,1.5069035591654578,2.226490324899238,-1.3353666297255053,-0.006429746292128548,0.08162019372859204,-0.07381265746921493,-0.20704493195362675,-0.0218364506141406,4.405764321102397,2.898860761936939
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,5,event_raw_wide_sample,development,4,mitigate_remote_path_bundle,0.3228642924552312,1.6618876269642786,0.9259049702575038,-0.3679634011723171,-0.5321334382573917,-0.1706398418215861,-0.05534158563424264,0.0128070569269704,2.3178971333467917,2.640761425802023
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,6,event_raw_wide_sample,development,5,regional_topk_candidates,0.26052249824145157,1.4272169489681459,-1.1866062790546898,-0.05739520338206124,-0.6148584109606343,0.11120681586539256,-0.01549833692626418,0.0072951999589837,2.9074514602042885,2.646928961962837
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,7,event_raw_wide_sample,development,6,mitigate_remote_path_bundle,1.8530878151609926,-1.8197354691170444,1.3486832308016348,0.08679977043865447,-0.13619485383906219,0.466328059979918,-0.3551860252075112,0.0038033844690445,0.0197799321236082,1.872867747284601
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,8,event_raw_wide_sample,development,7,mitigate_remote_path_bundle,1.5480963761940818,-2.098325939261273,-0.8605683470477049,0.09915594705764746,0.28159428936509107,0.25725375398001143,-0.33161255774098847,0.0558843856774697,0.44208027974939,1.990176655943472
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",eu_us_gac,reference,9,event_raw_wide_sample,development,8,mitigate_remote_path_bundle,1.8075568166264722,-2.570212603651555,0.6889319139039684,0.14109142734395244,-0.6432820204736078,0.232030693494415,0.32120737036378244,0.0150523391068186,0.005319769899148,1.8226091557332909
"reference::fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}","fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",eu_us_gac,reference,10,event_raw_wide_sample,development,9,mitigate_remote_path_bundle,1.657608558823928,-2.6691985033789822,-0.8605526558963682,0.3551978756627421,-0.4557825249142463,0.11603795087056958,0.2538592451844362,0.0157288694887206,0.229469143231732,1.88707770205566
