episode_id,round_id,episode_order,query_id,query_shape,logical_query_hash,normalized_sql_hash,profile,dataset_pair,dataset_pair_id,dataset_profile_id,topology_id,region_count,baseline_query_run_id,baseline_elapsed_seconds,applicable_actions_json,before__elapsed_seconds,before__result_row_count,before__result_output_byte_count,before__shared_blks_hit_sum,before__shared_blks_read_sum,before__temp_blks_written_sum,before__estimated_result_bytes,before__estimated_remote_output_bytes,before__estimated_fanin_bytes,before__coordinator_main_plan_total_time_ms,before__coordinator_foreign_scan_time_ms_sum,before__coordinator_non_foreign_time_share_proxy,before__coordinator_fanin_rows,before__coordinator_fanin_bytes_estimated,before__coordinator_final_rows,before__coordinator_final_bytes_estimated,before__coordinator_blocking_input_rows_sum,before__coordinator_temp_written_blocks,before__coordinator_hash_batches_max,before__coordinator_sort_input_rows_sum,before__coordinator_sort_time_ms_max,before__coordinator_aggregate_input_rows_sum,before__coordinator_aggregate_time_ms_max,before__coordinator_join_input_rows_sum,before__coordinator_join_time_ms_max,before__task_count,before__task_time_mean_ms,before__task_time_cv,before__task_rows_mean,before__task_rows_cv,before__remote_region_actual_rows_sum,before__remote_region_actual_rows_cv,before__remote_region_actual_rows_max_share,before__remote_region_actual_time_sum,before__remote_region_actual_time_cv,before__remote_region_actual_time_max_share,before__remote_region_tuple_bytes_sum,before__remote_region_tuple_bytes_cv,before__remote_region_tuple_bytes_max_share,before__regional_temp_written_blocks_sum,before__regional_spill_present,before__remote_citus_map_merge_job_count_sum,before__remote_citus_dependent_map_task_count_sum,before__remote_citus_repartition_fanout_ratio_max,before__citus_repartition_observed_v2,before__worker_task_actual_rows_sum,before__worker_task_actual_rows_cv,before__worker_task_actual_rows_max_share,before__worker_task_scan_actual_rows_sum,before__worker_task_scan_actual_rows_cv,before__worker_task_scan_actual_rows_max_share,before__worker_task_actual_time_sum,before__worker_task_actual_time_cv,before__worker_task_actual_time_max_share,before__worker_task_seq_scan_share,before__worker_task_index_scan_share,before__worker_task_join_node_count,before__worker_task_aggregate_node_count,before__worker_task_sort_node_count,before__worker_task_spill_count,before__worker_task_temp_written_sum,before__worker_task_within_region_worker_scan_rows_cv_max,before__worker_task_within_region_worker_scan_rows_max_share_max,before__regional_coordinator_tx_bytes_sum,before__analytics_rx_bytes_sum,before__worker_tx_bytes_sum,before__os_cpu_busy_pct_mean,before__os_cpu_busy_pct_max,before__os_mem_used_peak_bytes_max,before__os_disk_read_bytes_sum,before__os_disk_written_bytes_sum,before__os_net_rx_bytes_sum,before__os_net_tx_bytes_sum,before__os_tcp_retrans_segs_sum,before__os_tcp_timeouts_sum,before__edge_count,before__edge_remote_rows_sum,before__edge_remote_rows_max_share,before__edge_remote_bytes_sum,before__edge_remote_bytes_max_share,before__edge_foreign_scan_time_ms_sum,before__edge_regional_plan_time_ms_sum,before__edge_boundary_wait_ms_sum,before__edge_estimated_fetch_cycles_sum,before__edge_rtt_context_median_ms_mean,before__edge_rtt_context_median_ms_max,before__edge_source_tx_bytes_sum,before__edge_source_tx_bps_mean,before__edge_source_tx_bps_min,before__edge_qdisc_drops_sum,before__edge_qdisc_overlimits_sum,before__edge_tcp_retrans_sum,before__edge_available_share
n2_control::q01_event_value_desc,n2_control,1,q01_event_value_desc,event_value_desc,310585c8ca908d0dd5275dde782b189ac7354c2d3a1f3f808e83ef3dafa4093e,ad7f1beefcb86b44e6bcd60f1e092a838d67200996b3cf5a69df119b546d5ed5,transport,small,topology-isolation-small-v1,topology-isolation-small-n2-v1,eu_us_gac,2,20260806T013410Z-n3-topology-memory-v1-n2_control__to--4dae5c435433--6-06-30-00-00-00-00__limit_k-25__include_apac-False,1.197887,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",1.197887,25,1289,9.0,0.0,9.0,2000.0,55560.0,100008.0,390.352,389.21,0.0029255646186006,1389.0,100008.0,25.0,2000.0,1389.0,9.0,,1389.0,390.346,,,,,32,,,,,1389.0,0.0295176385889128,0.5147588192944564,107.474,0.2820775257271526,0.6410387628635763,55296.0,0.037037037037037,0.5185185185185185,0.0,False,,,,False,1389.0,0.2703831858702803,0.0532757379409647,1389.0,0.2703831858702803,0.0532757379409647,,,,1.0,0.0,0,0.0,0.0,0,,0.0801186943620178,0.5400593471810089,174540,115067,194825,6.885428571428571,15.333,713220096,0,794624,378861,378381,2,0,2,1389.0,0.5147588192944564,100008.0,0.5147588192944564,389.21,107.47399999999999,281.736,4,30.5,30.5,174540,582826.2599059845,567793.1223896745,0.0,0.0,2,1.0
n2_control::q02_event_value_asc,n2_control,2,q02_event_value_asc,event_value_asc,0a2cb0044b1e65e7356e0ddfd28a8c7c5f90a0c57a1c018cc567fd8ae053e58b,5456d57953fe990f1580484e462a435d7cf573381f761e43b638485f128031d7,memory,small,topology-isolation-small-v1,topology-isolation-small-n2-v1,eu_us_gac,2,20260806T012450Z-n3-topology-memory-v1-n2_control__to--d706b2e320dc---06-29-00-00-00-00__limit_k-100__include_apac-False,0.46649,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",0.46649,100,5101,9.0,0.0,19.0,8000.0,107400.0,193320.0,218.335,216.051,0.0104609888474134,2685.0,193320.0,100.0,8000.0,2685.0,19.0,,2685.0,218.326,,,,,32,,,,,2685.0,0.0234636871508379,0.511731843575419,152.54500000000002,0.0653643187256218,0.5326821593628109,107520.0,0.0285714285714285,0.5142857142857142,19.0,True,,,,False,2685.0,0.2505515833214782,0.0502793296089385,2685.0,0.2505515833214782,0.0502793296089385,,,,1.0,0.0,0,0.0,0.0,0,,0.0709382151029748,0.5354691075514875,273102,210038,297414,16.823714285714285,39.474,723554304,0,614400,580274,579720,5,0,2,2685.0,0.511731843575419,193320.0,0.511731843575419,216.051,152.54500000000002,63.506,2,5.452500000000001,5.485,273102,2341760.8094492913,2318163.3046796285,0.0,0.0,4,1.0
n2_control::q03_event_recent,n2_control,3,q03_event_recent,event_recent,103816223390607dc69118af636dad298c818617bfce8e9037bf2d58b927b051,76893bdca8771bf15968c663228c2bb3475ab41d7df033a16ad555cc74a679a3,balanced,small,topology-isolation-small-v1,topology-isolation-small-n2-v1,eu_us_gac,2,20260806T011637Z-n3-topology-memory-v1-n2_control__to--b30b8a3db9f4---06-24-00-00-00-00__limit_k-250__include_apac-False,0.912952,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",0.912952,250,13987,9.0,0.0,64.0,20000.0,367040.0,660672.0,467.541,459.281,0.0176668998013008,9176.0,660672.0,250.0,20000.0,9176.0,64.0,,9176.0,467.526,,,,,32,,,,,9176.0,0.029642545771578,0.514821272885789,110.689,0.2249997741419653,0.6124998870709827,367616.0,0.0306406685236768,0.5153203342618384,62.0,True,,,,False,9176.0,0.2627377938407463,0.0520924149956408,9176.0,0.2627377938407463,0.0520924149956408,,,,1.0,0.0,0,0.0,0.0,0,,0.0664869721473495,0.5332434860736748,755976,687648,755313,8.045285714285715,10.236,732377088,0,942080,1527983,1528235,7,2,2,9176.0,0.514821272885789,660672.0,0.514821272885789,459.281,110.689,348.592,10,15.475,15.5,755796,3311438.0602704193,3291721.799174546,0.0,0.0,4,1.0
n2_control::q04_event_oldest,n2_control,4,q04_event_oldest,event_oldest,c3d91b2920a74ade62b28eb247eb3b65854d78456aaf4ddf84657b9c10719f34,7ac514d1b6aff5b67e0ed359f81f5121c7bf970bcc0b492f338fd0abac46c36e,transport,small,topology-isolation-small-v1,topology-isolation-small-n2-v1,eu_us_gac,2,20260806T013336Z-n3-topology-memory-v1-n2_control__to--699bb2f75248---06-17-00-00-00-00__limit_k-500__include_apac-False,2.801037,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",2.801037,500,28138,9.0,0.0,128.0,40000.0,725560.0,1306008.0,1996.743,1978.35,0.0092115009292633,18139.0,1306008.0,500.0,40000.0,18139.0,128.0,,18139.0,1996.715,,,,,32,,,,,18139.0,0.0157120017641545,0.5078560008820773,176.655,0.0256035775947468,0.5128017887973734,726016.0,0.0155148095909732,0.5077574047954866,120.0,True,,,,False,18139.0,0.2434781435030711,0.0506643144605546,18139.0,0.2434781435030711,0.0506643144605546,,,,1.0,0.0,0,0.0,0.0,0,,0.0628430603786266,0.5314215301893134,1437320,1353653,1416913,5.173285714285714,9.03,714051584,8192,2318336,2894610,2894218,6,0,2,18139.0,0.5078560008820773,1306008.0,0.5078560008820773,1978.35,176.655,1801.695,37,30.45,30.45,1437320,2052554.1076394208,2011409.345895824,0.0,0.0,6,1.0
n2_control::q05_event_deviation,n2_control,5,q05_event_deviation,event_deviation,a8f3388bb09e719bae97bfc84c4a0a624df5224b1ea226aecb1aec5b26ea4cfe,bd5d33dbf428b5dfe5fde653651a56bf4036327ea0a4ea3cb42a933b2a2200b1,memory,large,topology-isolation-large-v1,topology-isolation-large-n2-v1,eu_us_gac,2,20260806T002645Z-n3-topology-memory-v1-n2_control__to--a974eff5e4d3--6-06-30-00-00-00-00__limit_k-50__include_apac-False,2.049012,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",2.049012,50,2959,9.0,0.0,910.0,4000.0,5144200.0,9259560.0,1843.815,1749.826,0.050975287650876,128605.0,9259560.0,50.0,4000.0,128605.0,910.0,,128605.0,1843.808,,,,,128,,,,,128605.0,0.001656234205513,0.5008281171027565,440.389,0.0612117923018058,0.5306058961509029,5144576.0,0.001592356687898,0.5007961783439491,849.0,True,,,,False,128605.0,0.1806232735399734,0.0117491543874654,257210.0,0.1806232735399734,0.0117491543874654,,,,0.0,0.0,0,0.0,0.0,0,,0.0494423328556296,0.5247211664278149,9971072,9708284,9402367,14.716571428571427,22.174,742359040,0,925696,19448259,19450257,36,0,2,128605.0,0.5008281171027565,9259560.0,0.5008281171027565,1749.826,440.389,1309.437,66,5.48,5.485,9971072,19465131.48776093,19052975.77564212,0.0,0.0,36,1.0
n2_control::q06_tenant_sum,n2_control,6,q06_tenant_sum,tenant_sum,f191e4e54c9891e70a6ea25f5072e629ad857314cdbc2ee05dca066eda638e00,82a4b1652b8883fb8dad714052530b1788280c0ae3dd3cb8823fe3b0d8dea3ac,balanced,large,topology-isolation-large-v1,topology-isolation-large-n2-v1,eu_us_gac,2,20260806T001521Z-n3-topology-memory-v1-n2_control__to--7f71a08e8c85---06-29-00-00-00-00__limit_k-100__include_apac-False,8.794506,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",8.794506,100,2831,9.0,0.0,1825.0,8000.0,10310960.0,18559728.0,8336.722,8165.519,0.0205360092372037,257774.0,18559728.0,100.0,8000.0,261774.0,1825.0,1.0,4000.0,8336.71,257774.0,8335.634,,,128,,,,,257774.0,0.0003646605165765,0.5001823302582883,717.088,0.0768971172296845,0.5384485586148423,10310656.0,0.0002979441851226,0.5001489720925614,1700.0,True,,,,False,257774.0,0.1770028764912236,0.0116768952648443,515548.0,0.1770028764912236,0.0116768952648443,,,,0.0,0.0,0,0.0,0.0,0,,0.0426729954860626,0.5213364977430314,19821094,19467582,18601782,6.956428571428572,10.754,740745216,0,34742272,38696520,38698274,66,5,2,257774.0,0.5001823302582883,18559728.0,0.5001823302582883,8165.519,717.088,7448.4310000000005,258,15.475,15.5,19821094,9015216.545420516,8818632.905589012,0.0,0.0,40,1.0
n2_control::q07_tenant_count,n2_control,7,q07_tenant_count,tenant_count,83407397bd0c3a1d071ff599cd0c692ae7fc61021485d5033bafeeb8a8a95e3b,e2883a3d8a1df39316eb339275178d1251674b54de02a31a771e6d2aeced7e7b,transport,large,topology-isolation-large-v1,topology-isolation-large-n2-v1,eu_us_gac,2,20260806T003831Z-n3-topology-memory-v1-n2_control__to--6b94aa7dd6cc---06-24-00-00-00-00__limit_k-250__include_apac-False,87.126684,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",87.126684,250,4039,9.0,0.0,11801.0,20000.0,36057720.0,64903896.0,86290.378,85446.927,0.009774566058802,901443.0,64903896.0,250.0,20000.0,905443.0,11801.0,5.0,4000.0,86290.361,901443.0,86289.307,,,128,,,,,901443.0,0.0011969697473939,0.500598484873697,1669.303,0.1547070843340005,0.5773535421670003,35651584.0,0.0,0.5,5943.0,True,,,,False,901443.0,0.1757897130174245,0.0114538578701038,1802886.0,0.1757897130174245,0.0114538578701038,,,,0.0,0.0,0,0.0,0.0,0,,0.0404976277586585,0.5202488138793293,69081855,68254044,64293374,3.5204285714285715,5.62,752607232,24576,289333248,135113271,135110147,73,4,2,901443.0,0.500598484873697,64903896.0,0.500598484873697,85446.927,1669.3029999999999,83777.62400000001,1804,30.525,30.55,69080863,3171513.471119824,3111234.0279127345,0.0,0.0,60,1.0
n2_control::q08_tenant_avg,n2_control,8,q08_tenant_avg,tenant_avg,eba1ec0d96424a03d44b3e9e306d4103e68db78ef6d132729c2f2492e48acda3,8e8d2f98539f4a009d76e2bafa2994da93c550be0df9a6a7019b81cb79140fb8,memory,large,topology-isolation-large-v1,topology-isolation-large-n2-v1,eu_us_gac,2,20260806T002525Z-n3-topology-memory-v1-n2_control__to--d790e0e29de6---06-17-00-00-00-00__limit_k-500__include_apac-False,23.927701,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",23.927701,500,15017,9.0,0.0,31374.0,40000.0,72197320.0,129955176.0,23676.684,22022.14,0.0698807316092068,1804933.0,129955176.0,500.0,40000.0,1808933.0,31374.0,21.0,4000.0,23676.656,1804933.0,23675.79,,,128,,,,,1804933.0,1.1634780903224663e-05,0.5000058173904516,4185.582,0.1078492787860803,0.5539246393930402,71303168.0,0.0,0.5,11898.0,True,,,,False,1804933.0,0.1761676360289259,0.0115511212881586,1804933.0,0.1761676360289259,0.0115511212881586,,,,1.0,0.0,0,0.0,0.0,0,,0.0416773781768861,0.5208386890884431,137445586,136075892,127820590,9.89057142857143,18.946,761925632,0,417038336,266110044,266109436,71,5,2,1804933.0,0.5000058173904516,129955176.0,0.5000058173904516,22022.14,4185.582,17836.557999999997,904,5.455,5.470000000000001,137445586,22976814.36256663,22486144.23926477,0.0,0.0,53,1.0
n2_control::q09_tenant_max,n2_control,9,q09_tenant_max,tenant_max,ef321334db0dd2faca8d4552ceaaa10d5688a821afa59dc67ff503fe605d9dc1,4014faad162c2d85240fd3628f1ed3c20223b339905f97262c0543a4b86a4d56,balanced,medium,topology-isolation-medium-v1,topology-isolation-medium-n2-v1,eu_us_gac,2,20260806T005250Z-n3-topology-memory-v1-n2_control__to--7ae9213264fe--6-06-30-00-00-00-00__limit_k-50__include_apac-False,1.33779,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",1.33779,50,960,9.0,0.0,136.0,4000.0,774000.0,1393200.0,884.923,871.75,0.0148860409323749,19350.0,1393200.0,50.0,4000.0,22346.0,136.0,1.0,2996.0,884.917,19350.0,884.491,,,64,,,,,19350.0,0.3371576227390181,0.668578811369509,233.616,0.0054020272584069,0.5027010136292035,774144.0,0.335978835978836,0.667989417989418,129.0,True,,,,False,19350.0,0.3699785889309249,0.0271834625322997,38700.0,0.3699785889309249,0.0271834625322997,,,,0.0,0.0,0,0.0,0.0,0,,0.0525495088102292,0.5262747544051146,1591473,1464465,1567689,10.02657142857143,12.5,732381184,0,1384448,3184922,3185214,16,0,2,19350.0,0.668578811369509,1393200.0,0.668578811369509,871.75,233.61599999999999,638.134,20,15.475,15.5,1591473,4758513.668064494,3168509.257805784,0.0,0.0,10,1.0
n2_control::q10_tenant_min,n2_control,10,q10_tenant_min,tenant_min,37e066a72cab0a47202826293a7bf9825e79d77309aa7ed90aedd0a77519f9d1,59c7fb50fea4b901bf3095e34340d497980384a30fe54c38911861d8b45757fa,transport,medium,topology-isolation-medium-v1,topology-isolation-medium-n2-v1,eu_us_gac,2,20260806T010753Z-n3-topology-memory-v1-n2_control__to--912b73682879---06-29-00-00-00-00__limit_k-100__include_apac-False,4.77702,"[""increase_gac_work_mem"",""regional_topk_candidates"",""mitigate_remote_path_bundle""]",4.77702,100,1712,9.0,0.0,579.0,8000.0,1543680.0,2778624.0,3969.886,3935.997,0.0085365171695105,38592.0,2778624.0,100.0,8000.0,41592.0,579.0,5.0,3000.0,3969.828,38592.0,3969.185,,,64,,,,,38592.0,0.3284618573797678,0.6642309286898839,237.611,0.0588314514058692,0.5294157257029346,1543168.0,0.3284671532846715,0.6642335766423357,255.0,True,,,,False,38592.0,0.3574389218934642,0.0260675787728026,77184.0,0.3574389218934642,0.0260675787728026,,,,0.0,0.0,0,0.0,0.0,0,,0.0398209600246951,0.5199104800123476,3065337,2918206,2925944,5.18,7.229,726654976,0,3506176,6070837,6070485,15,4,2,38592.0,0.6642309286898839,2778624.0,0.6642309286898839,3935.9970000000003,237.611,3698.386,78,30.475,30.5,3065067,2566509.665021289,1692062.4154807809,0.0,0.0,11,1.0
