memory_size,sampling_repetitions,target_count_per_repetition,pooled_coverage,pooled_top1_issued,pooled_regret_issued_log2,pooled_candidate_top1,pooled_candidate_regret_log2,coverage_q025,coverage_median,coverage_q975,top1_issued_q025,top1_issued_median,top1_issued_q975,regret_issued_q025,regret_issued_median,regret_issued_q975,candidate_top1_q025,candidate_top1_median,candidate_top1_q975,candidate_regret_q025,candidate_regret_median,candidate_regret_q975
5,2000,15,0.5306,0.5299032541776605,0.4452340506651421,0.5239,0.4531070050441483,0.26666666666666666,0.5333333333333333,0.8,0.18181818181818182,0.5454545454545454,0.8571428571428571,0.041683624039616216,0.4262191931003564,0.9188031494005234,0.26666666666666666,0.5333333333333333,0.7333333333333333,0.1825954235383848,0.4480757494114225,0.7438639179357888
10,2000,15,0.7808666666666667,0.5453769316144454,0.4143679868898715,0.5444,0.4217847462039663,0.5333333333333333,0.8,1.0,0.2727272727272727,0.5454545454545454,0.8181818181818182,0.10456631869544596,0.40424879226380656,0.775739101898909,0.3333333333333333,0.5333333333333333,0.8,0.15509348304457785,0.4164216059977952,0.7223879705919065
15,2000,15,0.9017333333333334,0.5452092266745527,0.4146184729976856,0.5465333333333333,0.41686403294303026,0.7333333333333333,0.9333333333333333,1.0,0.2857142857142857,0.5384615384615384,0.7857142857142857,0.12893159186851028,0.40704678762138585,0.7384857449736338,0.3333333333333333,0.5333333333333333,0.8,0.15500592399975202,0.4118624932389835,0.7232257649833876
20,2000,15,0.9576666666666667,0.5321963104768535,0.44596059689811685,0.5338,0.4454200743400067,0.8666666666666667,1.0,1.0,0.26666666666666666,0.5333333333333333,0.7857142857142857,0.14917927008727305,0.43783797479955966,0.7672116920849061,0.26666666666666666,0.5333333333333333,0.7333333333333333,0.1532646978379855,0.4387272647377891,0.7592741971856651
30,2000,15,0.9914,0.5392038195144913,0.44890045220888125,0.5386,0.4503000863503757,0.9333333333333333,1.0,1.0,0.26666666666666666,0.5333333333333333,0.8,0.14958314317854274,0.4475323393511771,0.7639522345274002,0.26666666666666666,0.5333333333333333,0.8,0.1519932111246202,0.44899836304926255,0.7639522345274002
40,2000,15,0.9989333333333333,0.5587960491190603,0.42059129323110095,0.5585666666666667,0.42108104442850985,1.0,1.0,1.0,0.3333333333333333,0.5333333333333333,0.8,0.1509842597977044,0.412296766462779,0.7338406432758651,0.3333333333333333,0.5333333333333333,0.8,0.1520281808783611,0.41232893454974195,0.7350960719865646
60,2000,15,0.9999666666666667,0.5951865062168739,0.3684345629967164,0.5952,0.3684222818446165,1.0,1.0,1.0,0.4,0.6,0.8,0.13742455524457775,0.36570014004319457,0.641575080556277,0.4,0.6,0.8,0.13742455524457775,0.36570014004319457,0.641575080556277
80,2000,15,1.0,0.6102,0.3545052026447572,0.6102,0.3545052026447572,1.0,1.0,1.0,0.4,0.6,0.8,0.14100772520978186,0.35780858039464575,0.5712099607421895,0.4,0.6,0.8,0.14100772520978186,0.35780858039464575,0.5712099607421895
100,2000,15,1.0,0.6187666666666667,0.3530891420321907,0.6187666666666667,0.3530891420321907,1.0,1.0,1.0,0.4666666666666667,0.6,0.8,0.1560326443987783,0.3713682849477724,0.5437073779486857,0.4666666666666667,0.6,0.8,0.1560326443987783,0.3713682849477724,0.5437073779486857
116,2000,15,1.0,0.6175333333333334,0.3651868607119218,0.6175333333333334,0.3651868607119218,1.0,1.0,1.0,0.5333333333333333,0.6,0.7333333333333333,0.2433426861577384,0.3908248355624412,0.462138254929609,0.5333333333333333,0.6,0.7333333333333333,0.2433426861577384,0.3908248355624412,0.462138254929609
130,2000,15,1.0,0.6,0.3908248355624413,0.6,0.3908248355624413,1.0,1.0,1.0,0.6,0.6,0.6,0.3908248355624412,0.3908248355624412,0.3908248355624412,0.6,0.6,0.6,0.3908248355624412,0.3908248355624412,0.3908248355624412
