scope,target_index,target_query_id,target_cohort,target_winner,neighbor_index,neighbor_query_id,neighbor_cohort,neighbor_winner,distance,same_winner
all_other_cases,0,"cross-action-pilot-v1::pilot_gac_topk::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}",reference,regional_topk_candidates,18,"fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,2.056915703364297,False
all_other_cases,1,"cross-action-pilot-v1::pilot_gac_topk::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-01 00:00:00+00"",""limit_k"":5000}",reference,mitigate_remote_path_bundle,35,q04_event_oldest,final_dba,mitigate_remote_path_bundle,1.0338992894860983,True
all_other_cases,2,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference,regional_topk_candidates,18,"fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,0.905320466598039,False
all_other_cases,3,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",reference,regional_topk_candidates,41,q06_tenant_sum,final_dba,regional_topk_candidates,0.9051312948498461,True
all_other_cases,4,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,20,"fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,0.9572339088455939,True
all_other_cases,5,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-large-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",reference,regional_topk_candidates,41,q06_tenant_sum,final_dba,regional_topk_candidates,0.5032662909240595,True
all_other_cases,6,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,22,"fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,0.7290054280523193,True
all_other_cases,7,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",reference,mitigate_remote_path_bundle,23,"fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-24 00:00:00+00"",""limit_k"":100}",reference,mitigate_remote_path_bundle,0.7881208239668235,True
all_other_cases,8,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,16,"fuzzy-memory-topk-panel-v1::fuzzy_topk_memory_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":10000}",reference,mitigate_remote_path_bundle,0.9002987539675815,True
all_other_cases,9,"fuzzy-memory-topk-panel-v1::fuzzy_topk_balanced::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",reference,mitigate_remote_path_bundle,25,"fuzzy-memory-topk-panel-v1::fuzzy_topk_transport_severe::raw-small-balanced-v1::{""cutoff_ts"":""2026-06-29 00:00:00+00"",""limit_k"":100}",reference,mitigate_remote_path_bundle,0.48248436121472127,True
