pair_subset,response_metric,pair_count,spearman_rho,naive_pairwise_p
all,response_distance_raw,8515,0.003036647569197779,0.7793459312214301
all,response_distance_centered,8515,0.002755358427366724,0.7993266067616899
all,response_rank_distance,8515,0.00422449217734574,0.6967088847691231
different_query_id,response_distance_raw,8275,-0.03978841913904482,0.0002942378150458502
different_query_id,response_distance_centered,8275,-0.03983701748837966,0.00028924515496542573
different_query_id,response_rank_distance,8275,-0.018166554008954686,0.0984440494446814
same_query_id,response_distance_raw,240,0.37023559436795767,3.2720087089344325e-09
same_query_id,response_distance_centered,240,0.3505616416951683,2.3965227214989048e-08
same_query_id,response_rank_distance,240,0.00559021847016209,0.9313457292655246
confirmatory_vs_all_prior,response_distance_raw,1740,-0.12968998274506152,5.671762857193782e-08
confirmatory_vs_all_prior,response_distance_centered,1740,-0.12693015613795072,1.0820778165141366e-07
confirmatory_vs_all_prior,response_rank_distance,1740,-0.03462106124759768,0.14886450318365893
confirmatory_vs_reference,response_distance_raw,390,0.1711556288995983,0.0006880861124368708
confirmatory_vs_reference,response_distance_centered,390,0.09962812682225697,0.04928978516357421
confirmatory_vs_reference,response_rank_distance,390,0.04837083477594053,0.34072231700027045
confirmatory_vs_final_dba,response_distance_raw,675,-0.16101678381979687,2.6335406968904924e-05
confirmatory_vs_final_dba,response_distance_centered,675,-0.13631583157262228,0.00038287243472502494
confirmatory_vs_final_dba,response_rank_distance,675,-0.033896240103297476,0.379254571474378
confirmatory_vs_topology,response_distance_raw,675,-0.15946170038842947,3.1558646027326115e-05
confirmatory_vs_topology,response_distance_centered,675,-0.15479925942833955,5.374420465434605e-05
confirmatory_vs_topology,response_rank_distance,675,-0.010333455327450333,0.7887142464958129
confirmatory_vs_confirmatory,response_distance_raw,105,0.2889695210449927,0.0027928219390526126
confirmatory_vs_confirmatory,response_distance_centered,105,0.24747045407422763,0.010922076713235541
confirmatory_vs_confirmatory,response_rank_distance,105,0.20595707714884146,0.03504631645329879
