scenario_order,query_id,memory_size,nearest_distance,available,candidate_action,actual_best_action,candidate_correct,candidate_regret_log2,recommended_action,top1_correct,regret_log2,cumulative_coverage,cumulative_top1_issued,cumulative_regret_issued_log2,cumulative_candidate_top1
1,q16_event_value_squared,26,4.703317655976879,False,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,,False,,0.0,,,1.0
2,q17_event_log_value,27,0.7920559665996397,True,mitigate_remote_path_bundle,regional_topk_candidates,False,0.1422002404011935,mitigate_remote_path_bundle,False,0.1422002404011935,0.5,0.0,0.1422002404011935,0.5
3,q18_event_recent_high_value,28,0.8464692549123659,True,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,mitigate_remote_path_bundle,True,0.0,0.6666666666666666,0.5,0.07110012020059675,0.6666666666666666
4,q19_event_old_low_value,29,0.6534068210445694,True,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,mitigate_remote_path_bundle,True,0.0,0.75,0.6666666666666666,0.04740008013373117,0.75
5,q20_event_tenant_weighted,30,1.2402755570617412,True,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,mitigate_remote_path_bundle,True,0.0,0.8,0.75,0.035550060100298375,0.8
6,q21_tenant_value_range,31,0.5803817394971122,True,mitigate_remote_path_bundle,regional_topk_candidates,False,0.2033955682968993,mitigate_remote_path_bundle,False,0.2033955682968993,0.8333333333333334,0.6,0.06911916173961856,0.6666666666666666
7,q22_tenant_distinct_users,32,0.5310997157005328,True,mitigate_remote_path_bundle,regional_topk_candidates,False,1.0697012905075165,mitigate_remote_path_bundle,False,1.0697012905075165,0.8571428571428571,0.5,0.23588284986760155,0.5714285714285714
8,q23_tenant_even_user_count,33,0.506699209593876,True,mitigate_remote_path_bundle,regional_topk_candidates,False,1.635146184186874,mitigate_remote_path_bundle,False,1.635146184186874,0.875,0.42857142857142855,0.4357776119132119,0.5
9,q24_tenant_midband_sum,34,0.7157135213419004,True,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,mitigate_remote_path_bundle,True,0.0,0.8888888888888888,0.5,0.3813054104240604,0.5555555555555556
10,q25_tenant_day_avg,35,0.5686667204009199,True,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,mitigate_remote_path_bundle,True,0.0,0.9,0.5555555555555556,0.3389381425991648,0.6
11,q26_tenant_hour_count,36,0.29621418869504684,True,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,mitigate_remote_path_bundle,True,0.0,0.9090909090909091,0.6,0.3050443283392483,0.6363636363636364
12,q27_user_sum,37,0.24750366997692044,True,mitigate_remote_path_bundle,regional_topk_candidates,False,0.29184825922003155,mitigate_remote_path_bundle,False,0.29184825922003155,0.9166666666666666,0.5454545454545454,0.3038446856920468,0.5833333333333334
13,q28_user_count,38,0.3393025743106615,True,regional_topk_candidates,regional_topk_candidates,True,0.0,regional_topk_candidates,True,0.0,0.9230769230769231,0.5833333333333334,0.27852429521770955,0.6153846153846154
14,q29_user_value_range,39,0.1742895065723318,True,mitigate_remote_path_bundle,regional_topk_candidates,False,1.5887719636974098,mitigate_remote_path_bundle,False,1.5887719636974098,0.9285714285714286,0.5384615384615384,0.37931257740845575,0.5714285714285714
15,q30_user_day_sum,40,0.4215700641875937,True,mitigate_remote_path_bundle,mitigate_remote_path_bundle,True,0.0,mitigate_remote_path_bundle,True,0.0,0.9333333333333333,0.5714285714285714,0.35221882187928033,0.6
