dataset_id,profile_path,profile_sha256,generator,seed,base_time_unix,lookback_days,shard_count,topologies_in_query_catalog,query_catalog_rows,regeneration_contract
locked_current_dataset_snapshot,experiments/feedback-loop-v1/query_trajectory_manifest.yaml,d67a7de6627cf8af495dfabc4443cfed98baba54b4fe9efe540b528b7f057d86,citus-datagen; exact original profile name not recorded,not_recorded,1782864000,30,not_recorded_in_feedback_contract,eu_us_gac,9,recorded snapshot; exact regeneration is not guaranteed
n3-large-apac-dominant-wide-global-dim-v1,sources/master-regimes/datasets/profiles/n3-large-apac-dominant-wide-global-dim.yml,87a3e88482706fe595f0ed3e4f6bc2993c34154b483c12134403552906cd9b85,citus-datagen,243,1782864000,30,64,eu_us_apac_gac,8,profile + generator commit + seed + base_time_unix
n3-large-balanced-wide-global-dim-v1,sources/master-regimes/datasets/profiles/n3-large-balanced-wide-global-dim.yml,5bba6a13921037d3546c2c606193e331453829f98fc7aadc3422bc2b3e93e5e9,citus-datagen,242,1782864000,30,64,eu_us_apac_gac,20,profile + generator commit + seed + base_time_unix
n3-medium-apac-dominant-wide-global-dim-v1,sources/master-regimes/datasets/profiles/n3-medium-apac-dominant-wide-global-dim.yml,dc6ee37df1dcec218c8d20aea0bca0917b856eaf2e1ce8db5989c8ed5d602e6d,citus-datagen,143,1782864000,30,32,eu_us_apac_gac,8,profile + generator commit + seed + base_time_unix
n3-medium-balanced-wide-global-dim-v1,sources/master-regimes/datasets/profiles/n3-medium-balanced-wide-global-dim.yml,42055b4d259b32ab3843dd2bc738a71f5d492173bc851ddd23eef4571e9b41ed,citus-datagen,142,1782864000,30,32,eu_us_apac_gac,24,profile + generator commit + seed + base_time_unix
pilot-balanced-v1,sources/master-regimes/datasets/profiles/pilot-balanced.yml,fc817adaad62f84c0032165e7645a817b0c9f02949be4050027c96c4f3419909,citus-datagen,42,1782864000,30,32,eu_us_gac,1325,profile + generator commit + seed + base_time_unix
pilot-balanced-wide-global-dim-v1,sources/master-regimes/datasets/profiles/pilot-balanced-wide-global-dim.yml,cff7b062c193fd248a177ef134a8029aa213336ce08ef8d9858da5c31af52ea3,citus-datagen,42,1782864000,30,32,eu_us_gac,32,profile + generator commit + seed + base_time_unix
pilot-region-imbalanced-v1,sources/master-regimes/datasets/profiles/pilot-region-imbalanced.yml,06129501fc35a642390dac272aad294519d5e7236e46bc8c43a6b9a907654936,citus-datagen,42,1782864000,30,32,eu_us_gac,175,profile + generator commit + seed + base_time_unix
pilot-region-local-skew-asymmetric-medium-v1,sources/master-regimes/datasets/profiles/pilot-region-local-skew-asymmetric-medium.yml,510b8ada01c3d873e4d55e8f558d92b674ed86c25366ba0bf820cb1b2a8af198,citus-datagen,42,1782864000,30,32,eu_us_gac,173,profile + generator commit + seed + base_time_unix
pilot-skew-heavy-v1,sources/master-regimes/datasets/profiles/pilot-skew-heavy.yml,ab0049cc1f74c50be6d37b877b13fe31c3ba9d1234ff18e36eab1a40434e6ddd,citus-datagen,42,1782864000,30,32,eu_us_gac,1055,profile + generator commit + seed + base_time_unix
