query_run_id,main_root_actual_total_time_ms,main_root_actual_rows,main_root_plan_rows,main_total_cost,has_foreign_scan,has_custom_scan,has_join,has_sort,has_hash,has_aggregate,has_limit,has_materialize,join_node_count,hash_join_count,merge_join_count,nested_loop_count,remote_path_share,fdw_remote_sql_count,fdw_remote_plan_count,remote_region_actual_rows_sum,remote_region_actual_rows_cv,remote_region_actual_rows_max_share,remote_region_actual_rows_min_max_ratio,remote_region_actual_rows_active_share,remote_region_zero_row_count,remote_region_nonzero_count,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_cv,remote_region_tuple_bytes_max_share,remote_region_tuple_bytes_min_max_ratio,remote_region_tuple_bytes_active_share,remote_region_task_count_sum,remote_region_task_count_cv,remote_region_task_count_max_share,remote_region_task_count_min_max_ratio,remote_region_task_count_active_share,remote_region_plan_fingerprint_count,remote_region_dominant_plan_fingerprint_share,remote_plan_node_count_sum,remote_plan_max_depth,remote_has_custom_scan,remote_has_sort,remote_has_hash_join,remote_actual_rows_sum,global_fanin_ratio,remote_to_final_rows_ratio,finalize_share,drf_bytes_proxy,wan_output_rows,wan_output_bytes_proxy,regional_reduction_input_rows_proxy,regional_reduction_input_bytes_proxy,drf_rows_proxy,wan_output_to_final_rows_ratio,global_group_count_proxy,global_group_density,global_group_merge_ratio,task_count_to_shard_count_ratio,task_count_to_configured_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_ratio,active_task_share,tasks_per_worker_ratio,temp_bytes_to_wan_bytes_ratio,temp_blocks_per_wan_row,temp_blocks_per_final_row,temp_blocks_per_regional_input_row,spill_per_wan_mb,root_rows_estimate_error_log,rows_estimate_error_max_abs_log,rows_estimate_error_mean_abs_log,foreign_scan_rows_estimate_error_log,aggregate_rows_estimate_error_log,join_rows_estimate_error_log,sort_rows_estimate_error_log,remote_root_rows_estimate_error_log,temp_blocks_sum,spill_flag,external_sort_count,sort_space_used_max,hash_batches_max,memory_pressure_score_v1,task_count,citus_map_merge_job_count,citus_repartition_query,worker_task_plan_count,worker_task_actual_rows_sum,worker_task_actual_rows_cv,worker_task_actual_rows_max_share,worker_task_scan_actual_rows_sum,worker_task_scan_actual_rows_cv,worker_task_scan_actual_rows_max_share,remote_region_rows_isf,remote_region_bytes_isf,worker_task_scan_rows_isf,worker_task_root_rows_isf,worker_task_within_region_scan_rows_isf_max,worker_task_index_scan_share,worker_task_seq_scan_share,worker_task_bitmap_scan_share,worker_task_node_count_sum,worker_task_plan_max_depth_max,worker_task_plan_max_depth_mean,worker_task_join_node_count,worker_task_aggregate_node_count,worker_task_sort_node_count,worker_task_blocking_node_count,worker_task_scan_node_count,worker_task_materialization_node_count,worker_task_parallel_node_count,worker_task_bitmap_node_count,worker_task_index_access_node_count,worker_task_sequential_access_node_count,worker_task_spill_capable_node_count,worker_task_plan_fingerprint_count,worker_task_plan_fingerprint_dominant_share,worker_task_region_task_count_cv,worker_task_region_rows_cv,worker_task_region_rows_max_share,worker_task_region_scan_rows_cv,worker_task_region_scan_rows_max_share,worker_task_within_region_rows_cv_max,worker_task_within_region_rows_cv_mean,worker_task_within_region_rows_max_share_max,worker_task_within_region_scan_rows_cv_max,worker_task_within_region_scan_rows_cv_mean,worker_task_within_region_scan_rows_max_share_max,worker_task_within_region_plan_fingerprint_count_max,worker_task_within_region_plan_fingerprint_count_mean,main_node_type_count_ForeignScan,main_node_type_count_IncrementalSort,main_node_type_count_Limit,main_node_type_count_MergeAppend,main_node_type_count_SubqueryScan,main_node_type_count_Aggregate,main_node_type_count_Append,main_node_type_count_Sort,main_node_type_count_CTEScan,worker_node_count_seq_scan,worker_node_count_index_scan,worker_node_count_index_only_scan,worker_node_count_bitmap_heap_scan,worker_node_count_bitmap_index_scan,worker_node_count_hash_join,worker_node_count_merge_join,worker_node_count_nested_loop,worker_node_count_sort,worker_node_count_incremental_sort,worker_node_count_hash_aggregate,worker_node_count_group_aggregate,worker_node_count_aggregate,worker_node_count_materialize,worker_node_count_memoize,worker_node_count_other
20260802T093758Z-cross-action-pilot-v1__raw-large-bal--32a4b2be0f90--_limit_k-10000__payload_repeat-8__payload_width-256,371706.096,0.0,284.0,489.12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999998493433372,2.0,2.0,4000000.0,0.0,0.5,1.0,1.0,0.0,2.0,159383552.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,8000000.0,0.0,4000000.0,1.5065666284446643e-07,1.0,4000000.0,159383552.0,4000000.0,159383552.0,1.0,4000000.0,0.0,0.0,4000000.0,2.0,1.0,1.0,1.0,32.0,21.998972039473685,0.107003,428012.0,0.107003,2815.8684210526317,-5.652489180268651,5.652489180268651,5.1927261469294885,-4.962844630259907,,,-5.652489180268651,2.9957227736038656,428012.0,1.0,2.0,105736.0,1.0,14.966908847934434,128.0,,0,128.0,4000000.0,0.1760908856244411,0.0115,4000000.0,0.1760908856244411,0.0115,1.0,1.0,1.472,1.472,1.472,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.19374209661299735,0.17510147716893046,0.023,0.19374209661299735,0.17510147716893046,0.023,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T094454Z-cross-action-pilot-v1__raw-large-bal--32a4b2be0f90--_limit_k-10000__payload_repeat-8__payload_width-256,373378.541,0.0,284.0,489.12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999998419834201,2.0,2.0,4000000.0,0.0,0.5,1.0,1.0,0.0,2.0,159383552.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,8000000.0,0.0,4000000.0,1.5801657992602622e-07,1.0,4000000.0,159383552.0,4000000.0,159383552.0,1.0,4000000.0,0.0,0.0,4000000.0,2.0,1.0,1.0,1.0,32.0,21.998972039473685,0.107003,428012.0,0.107003,2815.8684210526317,-5.652489180268651,5.652489180268651,5.1927261469294885,-4.962844630259907,,,-5.652489180268651,2.9957227736038656,428012.0,1.0,2.0,105736.0,1.0,14.966908847934434,128.0,,0,128.0,4000000.0,0.1760908856244411,0.0115,4000000.0,0.1760908856244411,0.0115,1.0,1.0,1.472,1.472,1.472,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.19374209661299735,0.17510147716893046,0.023,0.19374209661299735,0.17510147716893046,0.023,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T095805Z-cross-action-pilot-v1__raw-large-bal--32a4b2be0f90--_limit_k-10000__payload_repeat-8__payload_width-256,371705.436,0.0,284.0,489.12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.999999843962465,2.0,2.0,4000000.0,0.0,0.5,1.0,1.0,0.0,2.0,159383552.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,8000000.0,0.0,4000000.0,1.5603753494981025e-07,1.0,4000000.0,159383552.0,4000000.0,159383552.0,1.0,4000000.0,0.0,0.0,4000000.0,2.0,1.0,1.0,1.0,32.0,21.998972039473685,0.107003,428012.0,0.107003,2815.8684210526317,-5.652489180268651,5.652489180268651,5.1927261469294885,-4.962844630259907,,,-5.652489180268651,2.9957227736038656,428012.0,1.0,2.0,105736.0,1.0,14.966908847934434,128.0,,0,128.0,4000000.0,0.1760908856244411,0.0115,4000000.0,0.1760908856244411,0.0115,1.0,1.0,1.472,1.472,1.472,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.19374209661299735,0.17510147716893046,0.023,0.19374209661299735,0.17510147716893046,0.023,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T100454Z-cross-action-pilot-v1__raw-large-bal--a3bee5177b17--ent_filter_summary__lookback_days-30__min_value-950,18101.307,1.0,1.0,593.86,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999989503520381,2.0,2.0,199531.0,0.00022552886518886788,0.5001127644325944,0.9995490439732232,1.0,0.0,2.0,3191808.0,0.0003208213025344883,0.5001604106512673,0.9993585631815266,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,199531.0,0.0,199531.0,1.0496479618976039e-06,1.0,199531.0,3191808.0,199531.0,3191808.0,1.0,199531.0,1.0,5.01175255975262e-06,199531.0,2.0,1.0,1.0,1.0,32.0,3.757459095283927,0.007337205747477835,1464.0,0.007337205747477835,480.95476419634264,0.0,5.43372200355424,1.8423306272520463,-5.43372200355424,-0.6931471805599453,,,-0.0025732823531650854,1464.0,1.0,0.0,,1.0,7.289610521451167,128.0,,0,128.0,199531.0,0.18077877249684085,0.011757571505179646,199531.0,0.18077877249684085,0.011757571505179646,1.000225528865189,1.0003208213025345,1.5049691526629947,1.5049691526629947,1.5046298152082416,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.00022552886518886788,0.5001127644325944,0.00022552886518886788,0.5001127644325944,0.19848106563091966,0.1798026692863629,0.023509840862628775,0.19848106563091966,0.1798026692863629,0.023509840862628775,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T100542Z-cross-action-pilot-v1__raw-large-bal--8f29f11aa3cd--fdw_multiregion_raw_region_rollup__lookback_days-30,350214.138,0.0,199.0,823.16,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998857841657,2.0,2.0,4000000.0,0.0,0.5,1.0,1.0,0.0,2.0,65011712.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4000000.0,0.0,4000000.0,1.1421583436772973e-07,1.0,4000000.0,65011712.0,4000000.0,65011712.0,1.0,4000000.0,0.0,0.0,4000000.0,2.0,1.0,1.0,1.0,32.0,3.6920362903225805,0.007325,29300.0,0.007325,472.5806451612903,-5.298317366548036,6.75110146893676,5.893196518639285,-6.059123195581797,-5.298317366548036,,-5.298317366548036,2.9957227736038656,29300.0,1.0,0.0,25.0,1.0,10.285376924115587,128.0,,0,128.0,4000000.0,0.1760908856244411,0.0115,4000000.0,0.1760908856244411,0.0115,1.0,1.0,1.472,1.472,1.472,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.19374209661299735,0.17510147716893046,0.023,0.19374209661299735,0.17510147716893046,0.023,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T101210Z-cross-action-pilot-v1__raw-large-bal--a3bee5177b17--ent_filter_summary__lookback_days-30__min_value-950,17892.906,1.0,1.0,593.86,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999989940147229,2.0,2.0,199531.0,0.00022552886518886788,0.5001127644325944,0.9995490439732232,1.0,0.0,2.0,3191808.0,0.0003208213025344883,0.5001604106512673,0.9993585631815266,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,199531.0,0.0,199531.0,1.0059852770717683e-06,1.0,199531.0,3191808.0,199531.0,3191808.0,1.0,199531.0,1.0,5.01175255975262e-06,199531.0,2.0,1.0,1.0,1.0,32.0,3.757459095283927,0.007337205747477835,1464.0,0.007337205747477835,480.95476419634264,0.0,5.43372200355424,1.8423306272520463,-5.43372200355424,-0.6931471805599453,,,-0.0025732823531650854,1464.0,1.0,0.0,,1.0,7.289610521451167,128.0,,0,128.0,199531.0,0.18077877249684085,0.011757571505179646,199531.0,0.18077877249684085,0.011757571505179646,1.000225528865189,1.0003208213025345,1.5049691526629947,1.5049691526629947,1.5046298152082416,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.00022552886518886788,0.5001127644325944,0.00022552886518886788,0.5001127644325944,0.19848106563091966,0.1798026692863629,0.023509840862628775,0.19848106563091966,0.1798026692863629,0.023509840862628775,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T101258Z-cross-action-pilot-v1__raw-large-bal--8f29f11aa3cd--fdw_multiregion_raw_region_rollup__lookback_days-30,350054.734,0.0,199.0,823.16,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998914455475,2.0,2.0,4000000.0,0.0,0.5,1.0,1.0,0.0,2.0,65011712.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4000000.0,0.0,4000000.0,1.085544525173188e-07,1.0,4000000.0,65011712.0,4000000.0,65011712.0,1.0,4000000.0,0.0,0.0,4000000.0,2.0,1.0,1.0,1.0,32.0,3.6920362903225805,0.007325,29300.0,0.007325,472.5806451612903,-5.298317366548036,6.75110146893676,5.893196518639285,-6.059123195581797,-5.298317366548036,,-5.298317366548036,2.9957227736038656,29300.0,1.0,0.0,25.0,1.0,10.285376924115587,128.0,,0,128.0,4000000.0,0.1760908856244411,0.0115,4000000.0,0.1760908856244411,0.0115,1.0,1.0,1.472,1.472,1.472,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.19374209661299735,0.17510147716893046,0.023,0.19374209661299735,0.17510147716893046,0.023,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T101925Z-cross-action-pilot-v1__raw-large-bal--8f29f11aa3cd--fdw_multiregion_raw_region_rollup__lookback_days-30,351033.689,0.0,199.0,823.16,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999880353364,2.0,2.0,4000000.0,0.0,0.5,1.0,1.0,0.0,2.0,65011712.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4000000.0,0.0,4000000.0,1.196466360122845e-07,1.0,4000000.0,65011712.0,4000000.0,65011712.0,1.0,4000000.0,0.0,0.0,4000000.0,2.0,1.0,1.0,1.0,32.0,3.6920362903225805,0.007325,29300.0,0.007325,472.5806451612903,-5.298317366548036,6.75110146893676,5.893196518639285,-6.059123195581797,-5.298317366548036,,-5.298317366548036,2.9957227736038656,29300.0,1.0,0.0,25.0,1.0,10.285376924115587,128.0,,0,128.0,4000000.0,0.1760908856244411,0.0115,4000000.0,0.1760908856244411,0.0115,1.0,1.0,1.472,1.472,1.472,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.19374209661299735,0.17510147716893046,0.023,0.19374209661299735,0.17510147716893046,0.023,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T103152Z-cross-action-pilot-v1__raw-large-bal--a3bee5177b17--ent_filter_summary__lookback_days-30__min_value-950,17895.237,1.0,1.0,593.86,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999989941457607,2.0,2.0,199531.0,0.00022552886518886788,0.5001127644325944,0.9995490439732232,1.0,0.0,2.0,3191808.0,0.0003208213025344883,0.5001604106512673,0.9993585631815266,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,199531.0,0.0,199531.0,1.005854239316814e-06,1.0,199531.0,3191808.0,199531.0,3191808.0,1.0,199531.0,1.0,5.01175255975262e-06,199531.0,2.0,1.0,1.0,1.0,32.0,3.757459095283927,0.007337205747477835,1464.0,0.007337205747477835,480.95476419634264,0.0,5.43372200355424,1.8423306272520463,-5.43372200355424,-0.6931471805599453,,,-0.0025732823531650854,1464.0,1.0,0.0,,1.0,7.289610521451167,128.0,,0,128.0,199531.0,0.18077877249684085,0.011757571505179646,199531.0,0.18077877249684085,0.011757571505179646,1.000225528865189,1.0003208213025345,1.5049691526629947,1.5049691526629947,1.5046298152082416,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.00022552886518886788,0.5001127644325944,0.00022552886518886788,0.5001127644325944,0.19848106563091966,0.1798026692863629,0.023509840862628775,0.19848106563091966,0.1798026692863629,0.023509840862628775,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260802T103430Z-cross-action-pilot-v1__raw-large-bal--0beed46c6b29--_limit_k-10000__payload_repeat-8__payload_width-256,134841.407,0.0,284.0,489.12,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999995995295421,2.0,2.0,4000000.0,0.0,0.5,1.0,1.0,0.0,2.0,159383552.0,0.0,0.5,1.0,1.0,128.0,0.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,8000000.0,0.0,4000000.0,4.0047045788928385e-07,1.0,4000000.0,159383552.0,4000000.0,159383552.0,1.0,4000000.0,0.0,0.0,4000000.0,2.0,1.0,1.0,1.0,32.0,21.998972039473685,0.107003,428012.0,0.107003,2815.8684210526317,-5.652489180268651,5.652489180268651,5.1927261469294885,-4.962844630259907,,,-5.652489180268651,2.9957227736038656,428012.0,1.0,2.0,105736.0,1.0,14.966908847934434,128.0,,0,128.0,4000000.0,0.1760908856244411,0.0115,4000000.0,0.1760908856244411,0.0115,1.0,1.0,1.472,1.472,1.472,0.0,1.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.19374209661299735,0.17510147716893046,0.023,0.19374209661299735,0.17510147716893046,0.023,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
