query_run_id,dataset_id,runtime_config_id,template_id,instance_id,severity_contract,severity_model_role,severity_score,severity_band,deployment_relative_intensity_score,wan_fetch_intensity_score,memory_spill_intensity_score,imbalance_intensity_score,capacity_intensity_score,corpus_relative_severity_score,sum_pressure_score,tail_pressure_score,capacity_relative_severity_score,timeout_relative_severity_score,severity_basis,execution_time_seconds,execution_time_corpus_percentile,hard_timeout_seconds,timeout_utilization_ratio,wan_output_rows,wan_output_bytes,wan_output_mb,wan_output_bytes_corpus_percentile,remote_region_tuple_bytes_sum,remote_region_tuple_bytes_corpus_percentile,regional_reduction_input_rows_proxy,regional_reduction_input_bytes_proxy,regional_reduction_input_mb_proxy,drf_rows_proxy,drf_bytes_proxy,temp_blocks_sum,temp_mb,temp_blocks_corpus_percentile,remote_region_rows_isf,remote_region_rows_isf_corpus_percentile,worker_task_scan_rows_isf,worker_task_scan_rows_isf_corpus_percentile,worker_task_within_region_scan_rows_isf_max,worker_task_within_region_scan_rows_isf_corpus_percentile,active_task_share,active_task_share_corpus_percentile,tasks_per_worker_ratio,tasks_per_worker_ratio_corpus_percentile,task_count_to_configured_region_shard_slots_ratio,task_count_to_configured_region_shard_slots_corpus_percentile,task_count_to_observed_region_shard_slots_ratio,task_count_to_observed_region_shard_slots_corpus_percentile
20260802T093758Z-cross-action-pilot-v1__raw-large-bal--32a4b2be0f90--_limit_k-10000__payload_repeat-8__payload_width-256,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_event_raw_wide_sample,pilot_wide_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.206991745,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",372.585141,,1800.0,0.206991745,4000000.0,159383552.0,152.0,,159383552.0,,4000000.0,159383552.0,152.0,1.0,1.0,428012.0,3343.84375,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T094454Z-cross-action-pilot-v1__raw-large-bal--32a4b2be0f90--_limit_k-10000__payload_repeat-8__payload_width-256,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_event_raw_wide_sample,pilot_wide_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.20791995333333335,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",374.255916,,1800.0,0.20791995333333335,4000000.0,159383552.0,152.0,,159383552.0,,4000000.0,159383552.0,152.0,1.0,1.0,428012.0,3343.84375,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T095805Z-cross-action-pilot-v1__raw-large-bal--32a4b2be0f90--_limit_k-10000__payload_repeat-8__payload_width-256,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_event_raw_wide_sample,pilot_wide_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.20700143166666665,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",372.602577,,1800.0,0.20700143166666665,4000000.0,159383552.0,152.0,,159383552.0,,4000000.0,159383552.0,152.0,1.0,1.0,428012.0,3343.84375,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T100454Z-cross-action-pilot-v1__raw-large-bal--a3bee5177b17--ent_filter_summary__lookback_days-30__min_value-950,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_event_filter_summary,pilot_filter_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-950,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9691046235196698,0.1683230508876649,0.7961501380100539,,1.0,0.1683230508876649,0.7961501380100539,0.010510979444444445,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",18.919763,,1800.0,0.010510979444444445,199531.0,3191808.0,3.0439453125,,3191808.0,,199531.0,3191808.0,3.0439453125,1.0,1.0,1464.0,11.4375,,1.000225528865189,,1.5049691526629947,,1.5046298152082416,,1.0,,32.0,,1.0,,1.0,
20260802T100542Z-cross-action-pilot-v1__raw-large-bal--8f29f11aa3cd--fdw_multiregion_raw_region_rollup__lookback_days-30,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_raw_region_rollup,pilot_rollup_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9605009633044596,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.19502262722222222,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",351.040729,,1800.0,0.19502262722222222,4000000.0,65011712.0,62.0,,65011712.0,,4000000.0,65011712.0,62.0,1.0,1.0,29300.0,228.90625,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T101210Z-cross-action-pilot-v1__raw-large-bal--a3bee5177b17--ent_filter_summary__lookback_days-30__min_value-950,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_event_filter_summary,pilot_filter_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-950,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9691046235196698,0.1683230508876649,0.7961501380100539,,1.0,0.1683230508876649,0.7961501380100539,0.010391334444444445,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",18.704402,,1800.0,0.010391334444444445,199531.0,3191808.0,3.0439453125,,3191808.0,,199531.0,3191808.0,3.0439453125,1.0,1.0,1464.0,11.4375,,1.000225528865189,,1.5049691526629947,,1.5046298152082416,,1.0,,32.0,,1.0,,1.0,
20260802T101258Z-cross-action-pilot-v1__raw-large-bal--8f29f11aa3cd--fdw_multiregion_raw_region_rollup__lookback_days-30,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_raw_region_rollup,pilot_rollup_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9605009633044596,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.1949335761111111,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",350.880437,,1800.0,0.1949335761111111,4000000.0,65011712.0,62.0,,65011712.0,,4000000.0,65011712.0,62.0,1.0,1.0,29300.0,228.90625,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T101925Z-cross-action-pilot-v1__raw-large-bal--8f29f11aa3cd--fdw_multiregion_raw_region_rollup__lookback_days-30,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_raw_region_rollup,pilot_rollup_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_raw_region_rollup__lookback_days-30,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9605009633044596,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.1954790027777778,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",351.862205,,1800.0,0.1954790027777778,4000000.0,65011712.0,62.0,,65011712.0,,4000000.0,65011712.0,62.0,1.0,1.0,29300.0,228.90625,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
20260802T103152Z-cross-action-pilot-v1__raw-large-bal--a3bee5177b17--ent_filter_summary__lookback_days-30__min_value-950,raw-large-balanced-v1,cross_action_bandwidth_mitigated,gac_fdw_multiregion_event_filter_summary,pilot_filter_bandwidth__dataset-raw-large-balanced-v1__runtime-cross_action_bandwidth_mitigated__gac_fdw_multiregion_event_filter_summary__lookback_days-30__min_value-950,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,0.9691046235196698,0.1683230508876649,0.7961501380100539,,1.0,0.1683230508876649,0.7961501380100539,0.010393325555555555,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",18.707986,,1800.0,0.010393325555555555,199531.0,3191808.0,3.0439453125,,3191808.0,,199531.0,3191808.0,3.0439453125,1.0,1.0,1464.0,11.4375,,1.000225528865189,,1.5049691526629947,,1.5046298152082416,,1.0,,32.0,,1.0,,1.0,
20260802T103430Z-cross-action-pilot-v1__raw-large-bal--0beed46c6b29--_limit_k-10000__payload_repeat-8__payload_width-256,raw-large-balanced-v1,cross_action_delay_mitigated,gac_fdw_multiregion_event_raw_wide_sample,pilot_wide_delay__dataset-raw-large-balanced-v1__runtime-cross_action_delay_mitigated__gac_fdw_multiregion_event_raw_wide_sample__lookback_days-30__min_value-0__limit_k-10000__payload_repeat-8__payload_width-256,deployment_relative_pressure_proxy_v2,posthoc_audit_not_clustering_input,1.0,critical,1.0,1.0,1.0,0.15733333333333333,0.7961501380100539,,1.0,0.15733333333333333,0.7961501380100539,0.07499657166666666,"wan_fetch_intensity,memory_spill_intensity,imbalance_intensity,capacity_intensity,timeout_utilization",134.993829,,1800.0,0.07499657166666666,4000000.0,159383552.0,152.0,,159383552.0,,4000000.0,159383552.0,152.0,1.0,1.0,428012.0,3343.84375,,1.0,,1.472,,1.472,,1.0,,32.0,,1.0,,1.0,
