experiment_id,state_id,state_name,placement_state_id,placement_action,logical_data_contract_id,execution_condition_id,query_condition_id,pairing_key,logical_question_id,physical_strategy_id,execution_strategy,template_id,param_json,rendered_sql_path,rendered_sql_sha256,dataset_id,runtime_config_id,target_group,source_corpus_cell_id,source_instance_id,planned_repetitions
confirmatory-skew-v1,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,confirm-skew-v1::A::top_tenants__regional_reduced,top_tenants__regional_reduced,top_tenants__regional_reduced,top_tenants,regional_reduced,multiregion_union,gac_fdw_multiregion_top_tenants,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50.sql,8d6c0320860e6efb9c49d46d5398f3b7e1318b4f4c0dd467225404921caab657,pilot-balanced-v1,default,analytics_clients,confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default,confirm_top_tenants_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50,3
confirmatory-skew-v1,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,confirm-skew-v1::A::top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,top_tenants,raw_gac_finalize,multiregion_union,gac_fdw_multiregion_top_tenants_raw_finalize,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50.sql,58374d883f0e6002baf06955905352968d041ba7f334ed4ef3f07a1c34464a40,pilot-balanced-v1,default,analytics_clients,confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default,confirm_top_tenants_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,3
confirmatory-skew-v1,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,confirm-skew-v1::A::tenant_point__regional_reduced,tenant_point__regional_reduced,tenant_point__regional_reduced,tenant_point_rollup,regional_reduced,multiregion_union,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":1,""lookback_days"":7,""us_tenant_id"":10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,22c3949f74e3867922dd5984a4137f36290f57340a7de57c7f6efeed94f51173,pilot-balanced-v1,default,analytics_clients,confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default,confirm_tenant_point_regional_reduced__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,3
confirmatory-skew-v1,A,balanced,balanced_default,audit_only,pilot-balanced-v1-seed-42,confirm-skew-v1::A::tenant_point__raw_gac_finalize,tenant_point__raw_gac_finalize,tenant_point__raw_gac_finalize,tenant_point_rollup,raw_gac_finalize,multiregion_union,gac_fdw_multiregion_tenant_point_raw_finalize,"{""eu_tenant_id"":1,""lookback_days"":7,""us_tenant_id"":10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-balanced-v1__default__analytics_clients/queries/confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,9214e0597ae63fe7ab9a19d07f25b4f519f08ed25c70a5a2f6cb9f18053db339,pilot-balanced-v1,default,analytics_clients,confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default,confirm_tenant_point_raw_finalize__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,3
confirmatory-skew-v1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-skew-heavy-v1-seed-42,confirm-skew-v1::B::top_tenants__regional_reduced,top_tenants__regional_reduced,top_tenants__regional_reduced,top_tenants,regional_reduced,multiregion_union,gac_fdw_multiregion_top_tenants,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-skew-heavy-v1__default__analytics_clients/queries/confirm_top_tenants_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50.sql,8d6c0320860e6efb9c49d46d5398f3b7e1318b4f4c0dd467225404921caab657,pilot-skew-heavy-v1,default,analytics_clients,confirm_top_tenants_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default,confirm_top_tenants_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50,3
confirmatory-skew-v1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-skew-heavy-v1-seed-42,confirm-skew-v1::B::top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,top_tenants,raw_gac_finalize,multiregion_union,gac_fdw_multiregion_top_tenants_raw_finalize,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-skew-heavy-v1__default__analytics_clients/queries/confirm_top_tenants_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50.sql,58374d883f0e6002baf06955905352968d041ba7f334ed4ef3f07a1c34464a40,pilot-skew-heavy-v1,default,analytics_clients,confirm_top_tenants_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default,confirm_top_tenants_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,3
confirmatory-skew-v1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-skew-heavy-v1-seed-42,confirm-skew-v1::B::tenant_point__regional_reduced,tenant_point__regional_reduced,tenant_point__regional_reduced,tenant_point_rollup,regional_reduced,multiregion_union,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":1,""lookback_days"":7,""us_tenant_id"":10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-skew-heavy-v1__default__analytics_clients/queries/confirm_tenant_point_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,22c3949f74e3867922dd5984a4137f36290f57340a7de57c7f6efeed94f51173,pilot-skew-heavy-v1,default,analytics_clients,confirm_tenant_point_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default,confirm_tenant_point_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,3
confirmatory-skew-v1,B,skew_dispersed,hot_shards_dispersed,disperse_hot_shards,pilot-skew-heavy-v1-seed-42,confirm-skew-v1::B::tenant_point__raw_gac_finalize,tenant_point__raw_gac_finalize,tenant_point__raw_gac_finalize,tenant_point_rollup,raw_gac_finalize,multiregion_union,gac_fdw_multiregion_tenant_point_raw_finalize,"{""eu_tenant_id"":1,""lookback_days"":7,""us_tenant_id"":10001}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-skew-heavy-v1__default__analytics_clients/queries/confirm_tenant_point_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7.sql,9214e0597ae63fe7ab9a19d07f25b4f519f08ed25c70a5a2f6cb9f18053db339,pilot-skew-heavy-v1,default,analytics_clients,confirm_tenant_point_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default,confirm_tenant_point_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_tenant_point_raw_finalize__eu_tenant_id-1__us_tenant_id-10001__lookback_days-7,3
confirmatory-skew-v1,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-skew-heavy-v1-seed-42,confirm-skew-v1::C::top_tenants__regional_reduced,top_tenants__regional_reduced,top_tenants__regional_reduced,top_tenants,regional_reduced,multiregion_union,gac_fdw_multiregion_top_tenants,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-skew-heavy-v1__default__analytics_clients/queries/confirm_top_tenants_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50.sql,8d6c0320860e6efb9c49d46d5398f3b7e1318b4f4c0dd467225404921caab657,pilot-skew-heavy-v1,default,analytics_clients,confirm_top_tenants_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default,confirm_top_tenants_regional_reduced__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants__lookback_days-7__limit_k-50,3
confirmatory-skew-v1,C,skew_concentrated,hot_shards_concentrated,concentrate_hot_shards,pilot-skew-heavy-v1-seed-42,confirm-skew-v1::C::top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,top_tenants__raw_gac_finalize,top_tenants,raw_gac_finalize,multiregion_union,gac_fdw_multiregion_top_tenants_raw_finalize,"{""limit_k"":50,""lookback_days"":7}",master-regimes/generated/corpus/confirmatory-skew-v1-source/groups/confirmatory-skew-v1-source__pilot-skew-heavy-v1__default__analytics_clients/queries/confirm_top_tenants_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50.sql,58374d883f0e6002baf06955905352968d041ba7f334ed4ef3f07a1c34464a40,pilot-skew-heavy-v1,default,analytics_clients,confirm_top_tenants_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default,confirm_top_tenants_raw_finalize__dataset-pilot-skew-heavy-v1__runtime-default__gac_fdw_multiregion_top_tenants_raw_finalize__lookback_days-7__limit_k-50,3
