condition_id,source_query_run_id,source_logical_run_id,source_plan_id,logical_question_id,execution_strategy,dataset_id,runtime_config_id,network_profile_id,target_group,corpus_cell_id,instance_id,template_id,param_json,expected_shape_tags,source_sql_file,topology_id,intervention_role,intervention_axis,expected_regime_targets,execution_class,hard_cluster,max_membership,top2_margin,membership_entropy,display_state,sentinel_flag,planned_repetitions,selection_seed,selection_score
cond-4f778474755e588e8aa1,20260626T150642Z-clean-run-eu-us-gac-v1__pilot-balanc--afde275e290c--_rollup__lookback_days-7__min_value-900__limit_k-10,clean-run-v1,clean-run-v1,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,,analytics_clients,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-7__min_value-900__limit_k-10,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"":10,""lookback_days"":7,""min_value"":900}","fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-7__min_value-900__limit_k-10.sql,eu_us_gac,baseline,,gac_finalization_heavy,pilot,1.0,0.5132121948902675,0.189752027516817,1.1128308463143255,mixed_boundary,True,5,20260724,00452d37df8cfcebab631209e6192370fb9409a32060690776234bbd09d5e9a3
cond-0815667b5c439756a642,20260626T134239Z-clean-run-eu-us-gac-v1__pilot-balanc--7516b2b63028--u_tenant_id-1__us_tenant_id-10005__lookback_days-30,clean-run-v1,clean-run-v1,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,,analytics_clients,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10005__lookback_days-30,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":1,""lookback_days"":30,""us_tenant_id"":10005}","fdw_union_all,tenant_filter,remote_pushdown_candidate",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1__us_tenant_id-10005__lookback_days-30.sql,eu_us_gac,negative_control,,well_reduced_localized,pilot,2.0,0.972383883457741,0.9600606086269438,0.1552385261057539,clear_prototype,True,5,20260724,004e64731a919c68df9271a0916252216f15eebbcfd4ef3e8201cc0f25304a7a
cond-7a5d985fe2a5157c737d,20260626T145820Z-clean-run-eu-us-gac-v1__pilot-balanc--eaa20d84f1db--c_fdw_daily_rollup__lookback_days-14__min_value-900,clean-run-v1,clean-run-v1,daily_tenant_rollup,fdw_raw,pilot-balanced-v1,default,,analytics_clients,fdw_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,fdw_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_daily_rollup__lookback_days-14__min_value-900,gac_fdw_daily_rollup,"{""lookback_days"":14,""min_value"":900}","fdw_remote_scan,remote_aggregate_candidate,coordinator_fanin",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_daily_rollup__lookback_days-14__min_value-900.sql,eu_us_gac,baseline,,gac_finalization_heavy,pilot,3.0,0.4522718985488859,0.1607408132158417,1.2446566074489578,mixed_boundary,True,5,20260724,00b03ddb15742dfc7e0689d8d0bb695a32753347ab0118320180a7833f01d060
cond-2f7c5c4be6cf31156182,20260626T145026Z-clean-run-eu-us-gac-v1__pilot-balanc--3578b3b30e0a--tenant_tier_left_join__lookback_days-1__limit_k-100,clean-run-v1,clean-run-v1,tenant_tier_daily_join,multiregion_union,pilot-balanced-v1,default,,analytics_clients,mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default,mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_left_join__lookback_days-1__limit_k-100,gac_fdw_multiregion_tenant_tier_left_join,"{""limit_k"":100,""lookback_days"":1}","fdw_remote_join,reference_join,outer_join,fdw_union_all,daily_group_by",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_tier_left_join__lookback_days-1__limit_k-100.sql,eu_us_gac,baseline,,gac_finalization_heavy,pilot,0.0,0.3936060879806059,0.1025292022662395,1.2872517873378857,mixed_boundary,True,5,20260724,00c1a3430be3c46c10ef0d8abf4335ad98810cdf790a8a730a67a43cc8bba566
cond-1ef8768e78a1de56adf1,20260626T144021Z-clean-run-eu-us-gac-v1__pilot-balanc--e2733444a1b3--tenant_tier_left_join__lookback_days-14__limit_k-50,clean-run-v1,clean-run-v1,tenant_tier_daily_join,fdw_raw,pilot-balanced-v1,default,,analytics_clients,fdw_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default,fdw_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_tenant_tier_left_join__lookback_days-14__limit_k-50,gac_fdw_tenant_tier_left_join,"{""limit_k"":50,""lookback_days"":14}","fdw_remote_join,reference_join,outer_join,group_by",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_tenant_tier_left_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_tenant_tier_left_join__lookback_days-14__limit_k-50.sql,eu_us_gac,baseline,,gac_finalization_heavy,pilot,0.0,0.4073491383111993,0.0981258701236259,1.2416324655266555,mixed_boundary,True,5,20260724,00d2e5daf4cbf36e2b206d934536c3f82509a8aa3cb58bf8ae79058af253cdc6
cond-8c64ffbc156a42d5de5e,20260626T130207Z-clean-run-eu-us-gac-v1__pilot-balanc--e0253af1aaf8--t__gac_fdw_top_tenants__lookback_days-3__limit_k-50,clean-run-v1,clean-run-v1,top_tenants,fdw_raw,pilot-balanced-v1,default,,analytics_clients,fdw_top_tenants_default__dataset-pilot-balanced-v1__runtime-default,fdw_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_top_tenants__lookback_days-3__limit_k-50,gac_fdw_top_tenants,"{""limit_k"":50,""lookback_days"":3}","fdw_remote_scan,topk,final_ordering",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_top_tenants_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_top_tenants__lookback_days-3__limit_k-50.sql,eu_us_gac,baseline,,"remote_fetch_heavy,gac_finalization_heavy",pilot,1.0,0.7136606904092061,0.5409697986100455,0.8541606096141152,clear_prototype,True,5,20260724,01359534db8b38a2864f14aa17834803875321df60facdc25f271a350908b7a3
cond-2934cc7da1de670fd716,20260626T121809Z-clean-run-eu-us-gac-v1__pilot-balanc--e7bfd6e07d36--nt_rollup__lookback_days-3__min_value-0__limit_k-50,clean-run-v1,clean-run-v1,daily_tenant_rollup,multiregion_union,pilot-balanced-v1,default,,analytics_clients,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default,mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-3__min_value-0__limit_k-50,gac_fdw_multiregion_daily_tenant_rollup,"{""limit_k"":50,""lookback_days"":3,""min_value"":0}","fdw_union_all,remote_aggregate_candidate,coordinator_fanin,daily_group_by",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_daily_rollup_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_daily_tenant_rollup__lookback_days-3__min_value-0__limit_k-50.sql,eu_us_gac,baseline,,gac_finalization_heavy,pilot,1.0,0.8118542813237256,0.718707544850247,0.6546205987693567,clear_prototype,True,5,20260724,0194e4ad59e3efaec8a96553400bc90c03894010078fa4cf4ac7ca971a4ff95a
cond-786bf7b48205fb7374ea,20260626T141933Z-clean-run-eu-us-gac-v1__pilot-balanc--1334da8c63ac--enant_id-1000__us_tenant_id-10005__lookback_days-14,clean-run-v1,clean-run-v1,tenant_point_rollup,multiregion_union,pilot-balanced-v1,default,,analytics_clients,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default,mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1000__us_tenant_id-10005__lookback_days-14,gac_fdw_multiregion_tenant_point_rollup,"{""eu_tenant_id"":1000,""lookback_days"":14,""us_tenant_id"":10005}","fdw_union_all,tenant_filter,remote_pushdown_candidate",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_tenant_point_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_tenant_point_rollup__eu_tenant_id-1000__us_tenant_id-10005__lookback_days-14.sql,eu_us_gac,negative_control,,well_reduced_localized,pilot,2.0,0.9844994302885396,0.977604465708022,0.0961882239492539,clear_prototype,False,3,20260724,01cfa243b78d3c2961b8eb01f2c6b68c05c38d37d42af837a88c6f09bcbbcebb
cond-fb730b7faa8045049194,20260626T135327Z-clean-run-eu-us-gac-v1__pilot-balanc--fa744f3010f5--_event_filter_summary__lookback_days-3__min_value-0,clean-run-v1,clean-run-v1,event_filter_summary,fdw_raw,pilot-balanced-v1,default,,analytics_clients,fdw_event_filter_default__dataset-pilot-balanced-v1__runtime-default,fdw_event_filter_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_event_filter_summary__lookback_days-3__min_value-0,gac_fdw_event_filter_summary,"{""lookback_days"":3,""min_value"":0}","fdw_remote_scan,selective_filter,remote_aggregate_candidate",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/fdw_event_filter_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_event_filter_summary__lookback_days-3__min_value-0.sql,eu_us_gac,baseline,,well_reduced_localized,pilot,1.0,0.4039898515797751,0.0164313757003791,1.1657654567683218,mixed_boundary,True,5,20260724,02945a22ef02e1a1b643b21099fb04448147dc7b96c10f4c68d48160f03bdae7
cond-36f3dc2b7cc2196e32e8,20260626T123702Z-clean-run-eu-us-gac-v1__pilot-balanc--a055d2447640--ion_global_user_join__lookback_days-30__limit_k-100,clean-run-v1,clean-run-v1,global_user_topk,multiregion_union,pilot-balanced-v1,default,,analytics_clients,mr_global_user_default__dataset-pilot-balanced-v1__runtime-default,mr_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_global_user_join__lookback_days-30__limit_k-100,gac_fdw_multiregion_global_user_join,"{""limit_k"":100,""lookback_days"":30}","fdw_remote_join,non_colocated_join,fdw_union_all,topk",master-regimes/generated/corpus/clean-run-v1/groups/clean-run-eu-us-gac-v1__pilot-balanced-v1__default__analytics_clients/queries/mr_global_user_default__dataset-pilot-balanced-v1__runtime-default__gac_fdw_multiregion_global_user_join__lookback_days-30__limit_k-100.sql,eu_us_gac,baseline,,"join_movement,gac_finalization_heavy",pilot,0.0,0.5306429718913418,0.3004882942164349,1.170147448045219,mixed_boundary,True,5,20260724,02d7fd1503fb6b6ded180af7b017925b8e3e9db8be7ddc0186c6c39ab5f9ba96
